,Word,Audio,Pronunciation,Predicted_Pronunciation,Result,Levenshtein,Pos
54,bifurca,821_0.wav,bifurka,bifuka,True,1,noun
55,a bàng,774_0.wav,a˧˥ baŋ˦˨,abaŋ,True,5,noun
56,muara,640_0.wav,muara,mua,False,2,noun
57,반란,231_0.wav,pa̠ɭɭa̠n,pan,False,5,adjective
58,akan,29_0.wav,akan,akan,True,0,verb
59,sovaĝa,200_0.wav,sovad͡ʒa,sovadʒa,True,1,adjective
60,发展,1377_0.wav,fa˥˥ ʈʂan˨˩˦,fadan,False,8,verb
61,repeat,48_0.wav,ɹiˈpit,pit,False,3,verb
62,파리,108_0.wav,pʰa̠ɾi,pai,True,3,adjective
63,miau,1620_0.wav,mjau,miau,False,1,noun
64,가이단,1505_0.wav,ka̠ida̠n,kaidan,True,2,verb
65,aliman,1431_0.wav,aliman,aliman,True,0,noun
66,bidouilla,773_0.wav,biduja,binuja,False,1,noun
67,boudina,1140_0.wav,budina,budina,True,0,noun
68,أودينيزي,1371_0.wav,ʔuːdiːniːziː,udinizi,True,5,noun
69,führt,527_0.wav,ˈfyɾt,flt,False,3,verb
70,trandafiriu,1281_0.wav,trandafiriw,tandafi,False,4,adjective
71,lipat,394_0.wav,lipat,lipat,True,0,adjective
72,반란,479_0.wav,pa̠ɭɭa̠n,pan,False,5,verb
73,abréviasi,1659_0.wav,abreviasi,abfiasi,False,3,noun
74,深い,430_0.wav,ɸɯkai,kai,True,2,adjective
75,akapari,1598_0.wav,akapari,akapai,True,1,noun
76,nữ phi hành gia,960_0.wav,nɯ˧˩˨ fi˧˥ han˦˨ ja˧˥,nfianja,True,14,noun
77,Saurbæ,1564_0.wav,sœirpai,sapai,False,3,noun
78,말단,458_0.wav,ma̠ɭda̠n,mata,False,5,adjective
79,bobina,1000_0.wav,bobina,bobina,True,0,noun
80,갈강이다,1149_0.wav,ka̠ɭɡa̠ŋida̠,kaɡaŋida,True,4,noun
81,こだま,894_0.wav,kodama,oama,False,2,noun
82,무모,529_0.wav,mumo̞,mumo,True,1,adjective
83,fortika,266_0.wav,fortika,fotika,True,1,adjective
84,abatían,1491_0.wav,aβaˈtian,atian,False,3,verb
85,bodoh,273_0.wav,bodoh,bodo,True,1,adjective
86,가극,767_0.wav,ka̠ɡɯk̚,kaɡ,False,4,noun
87,dorno,586_0.wav,dorno,dono,True,1,verb
88,자극하다,405_0.wav,t͡ɕa̠ɡɯkʰa̠da̠,taɡkada,True,7,adjective
89,あぶり出し,1325_0.wav,abɯɾidaɕi,abidai,True,3,noun
90,bodi,1512_0.wav,bodi,bodi,True,0,noun
91,adakala,1011_0.wav,adakala,adakala,True,0,noun
92,hồng y giáo chủ,1037_0.wav,hoŋ͡m˦˨ i˧˥ jaw˩˧ cu˧˩˨,amijawu,False,17,noun
93,고립하다,1385_0.wav,ko̞ɾipʰa̠da̠,koipada,True,5,noun
94,abjadiah,1254_0.wav,abdʒadiah,adʒadia,False,2,adjective
95,bergairah,131_0.wav,bərgairah,bəa,False,6,adjective
96,대답하다,645_0.wav,tɛ̝da̠pʰa̠da̠,tɛdapada,True,5,noun
97,Tori,1314_0.wav,ˈtoːɾi,toi,True,3,noun
98,آحيني,740_0.wav,aːħiːnijj,ainaij,False,5,noun
99,ＮＡＳＡ,1612_0.wav,nasa,nasa,True,0,noun
100,motivasi,201_0.wav,motivasi,mətifasi,False,2,verb
101,괴롭히다,36_0.wav,kø̞ɾo̞pʰida̠,kopida,False,6,adjective
102,abrakadabra,1280_0.wav,abrakadabra,abakadaba,True,2,noun
103,ぴったり,3_0.wav,pitːaɾi,pitai,True,2,adjective
104,paú,923_0.wav,paˈu,pau,True,1,noun
105,iri,890_0.wav,iri,i,False,2,noun
106,수로,343_0.wav,sʰuɾo̞,so,False,4,adjective
107,wazir,392_0.wav,wazir,wazi,True,1,adjective
108,아빠,559_0.wav,a̠p͈a̠,apa,True,3,verb
109,개다시마,1497_0.wav,kɛ̝da̠ɕʰima̠,kidaima,False,6,adjective
110,ハイファイ,669_0.wav,haiɸai,aiai,True,2,noun
111,abau,749_0.wav,abau,abau,True,0,noun
112,prasarana,905_0.wav,prasarana,pasana,False,3,noun
113,蜡烛,1410_0.wav,la˥˩ ʈʂu˧˥,lau,True,7,noun
114,antinazis,1328_0.wav,ɑ̃tinazi,ɑ̃tinazi,True,0,noun
115,柳,626_0.wav,janagi,janai,True,1,noun
116,razi,477_0.wav,razi,aʒi,False,2,verb
117,An Quảng Hữu,875_0.wav,aŋ˧˥ waŋ˧˩˨ hɯw˧˩˨,aŋwaŋw,True,12,noun
118,bayam,1496_0.wav,bajam,bajam,True,0,verb
119,밝히다,141_0.wav,pa̠ɭkçida̠,pakida,True,4,verb
120,大地,898_0.wav,ta˥˩ ti˥˩,tati,True,5,noun
121,부담하다,109_0.wav,puda̠mɦa̠da̠,pudanada,False,5,verb
122,manusia,592_0.wav,manusia,mausia,False,1,adjective
123,不敌,1394_0.wav,pu˥˩ ti˧˥,puti,True,5,verb
124,빨아들이다,151_0.wav,p͈a̠ɾa̠dɯɾida̠,pauida,False,9,adjective
125,汚い,332_0.wav,kitanai,ktanai,False,1,adjective
126,fumaĵi,1081_0.wav,fumaʒi,fumaʒi,True,0,verb
127,disepakati,339_0.wav,disəpakati,disəpakati,True,0,adjective
128,Humor,1610_0.wav,ˈhuːmoɾ,umo,True,4,noun
129,えぞ鹿,1245_0.wav,ezoɕika,ezoika,True,1,noun
130,celanaku,1271_0.wav,tʃəlanaku,tʃəlanaku,True,0,noun
131,awam,96_0.wav,awam,awam,True,0,verb
132,다수,493_0.wav,ta̠sʰu,tasu,True,2,verb
133,bivaki,1074_0.wav,bivaki,bivaki,True,0,verb
134,dihadiri,1429_0.wav,dihadiri,diadi,False,3,verb
135,applaudira,1067_0.wav,aplodiʁa,akldiʁa,False,2,noun
136,korala,1640_0.wav,korala,koala,True,1,adjective
137,おいた,1633_0.wav,oita,oita,True,0,noun
138,储蓄,1375_0.wav,ʈʂʰu˧˥ ɕy˥˩,u,False,10,noun
139,abarataba,1342_0.wav,aβaɾataβa,ata,False,6,verb
140,얇은,357_0.wav,ja̠ɭbɯn,jabn,True,3,verb
141,makadam,1221_0.wav,makad'amː,maka,False,5,noun
142,mengawasi,86_0.wav,məŋawasi,məŋawasi,True,0,verb
143,stabila,39_0.wav,stabila,sabila,False,1,adjective
144,boroș,1346_0.wav,boroʃ,boʃ,False,2,noun
145,chicharraban,1503_0.wav,tʃitʃaraβan,titan,False,6,verb
146,ciocoiu,1059_0.wav,tʃ̩okojw,tʃokou,False,3,verb
147,栅栏,611_0.wav,ʈʂa˥˩ lan˧˥,talan,False,7,noun
148,giorno,1169_0.wav,dʒ̩orno,dʒono,True,2,noun
149,buriu,1405_0.wav,buriw,buiu,False,2,adjective
150,abajaría,1358_0.wav,aβaxaˈɾia,aia,False,6,verb
151,mangachapuy,1209_0.wav,maŋgatʃapuj,manatʃaui,False,4,verb
152,affalâmes,866_0.wav,afalam,afam,False,2,noun
153,話し,505_0.wav,hanaɕi,anai,True,2,verb
154,치료하다,400_0.wav,t͡ɕʰiɾjoɦa̠da̠,tioada,False,8,verb
155,Euthanasie,1192_0.wav,ɔɪ̯tanaˈziː,atanazi,False,5,noun
156,rapida,714_0.wav,rapida,apida,True,1,noun
157,origini,254_0.wav,origini,oini,False,3,verb
158,弹无虚发,1008_0.wav,tan˥˩ u˧˥ ɕy˥˥ fa˥˥,taufa,False,14,noun
159,diapir,851_0.wav,diapir,diapi,True,1,noun
160,plead,116_0.wav,ˈpɫid,kid,False,3,verb
161,أقتني,819_0.wav,ʔaqqataniː,atuni,False,6,noun
162,capiau,1386_0.wav,tʃapiau,kapiau,False,2,noun
163,brucita,920_0.wav,bɾuθita,buita,True,2,verb
164,cara,513_0.wav,tʃara,tʃa,False,2,verb
165,가각히,914_0.wav,ˈka̠ːɡa̠kçi,kaki,False,7,noun
166,accaparas,1190_0.wav,akapaʁa,akapaʁa,True,0,noun
167,mabuk,472_0.wav,mabuʔ,mabu,True,1,verb
168,笑う,644_0.wav,ɰᵝaɾaɯ,a,False,5,noun
169,갓난아이,763_0.wav,ka̠nna̠na̠i,kananai,False,4,noun
170,さっ果,1398_0.wav,sakːa,saka,True,1,noun
171,그리다,467_0.wav,kɯɾida̠,kuida,False,3,verb
172,fobia,1050_0.wav,fobia,fobia,True,0,noun
173,honorarii,748_0.wav,honorarii,onoai,False,4,noun
174,babau,882_0.wav,babaw,babaw,True,0,adjective
175,bải hoải bài hoài,824_0.wav,baj˧˩˨ hwaj˧˩˨ baj˦˨ hwaj˦˨,bajwawajwaj,False,17,verb
176,Akku,1534_0.wav,ˈʔaku,aku,True,2,noun
177,下午,1476_0.wav,ɕja˥˩ u˨˩˦,jau,True,7,noun
178,abadiah,1616_0.wav,abadiah,abadia,True,1,noun
179,예측하다,90_0.wav,je̞t͡ɕʰɯkʰa̠da̠,nitkada,False,10,verb
180,bibi,1307_0.wav,bibi,bibi,True,0,noun
181,naiva,272_0.wav,naiva,naiva,True,0,adjective
182,blóðgjafa,816_0.wav,plouðcava,plouava,True,2,noun
183,trik,893_0.wav,triʔ,təi,False,2,noun
184,bacșiș,1567_0.wav,bakʃiʃ,bakʃiʃ,True,0,noun
185,쉬파리,1447_0.wav,ʃʰɥipʰa̠ɾi,ʃipai,False,5,verb
186,天下无敌,1602_0.wav,tʰjɛn˥˥ ɕja˥˩ u˧˥ ti˧˥,tauti,False,17,adjective
187,weepy,552_0.wav,ˈwipi,wipi,True,1,adjective
188,토하다,470_0.wav,tʰo̞ɦa̠da̠,oada,False,6,verb
189,파티,262_0.wav,pʰa̠tʰi,pakti,False,3,adjective
190,griv,924_0.wav,ɡriv,bɡi,False,3,adjective
191,chirusa,1551_0.wav,tʃiɾusa,tiusa,False,2,verb
192,boucana,743_0.wav,bukana,buka,False,2,noun
193,cărturarii,957_0.wav,kərturarij,katuai,False,5,noun
194,آسيا,1095_0.wav,aːsiːaː,asia,True,3,noun
195,komika,424_0.wav,komika,komika,True,0,adjective
196,halangan,382_0.wav,halaŋan,alaŋan,True,1,verb
197,buai,1312_0.wav,buai,buai,True,0,noun
198,acaju,1062_0.wav,akaʒu,akaʒu,True,0,verb
199,buziaș,907_0.wav,buzijaʃ,buziaʃ,False,1,adjective
200,perjalanan,417_0.wav,pərdʒalanan,pəʒalanan,False,2,verb
201,kaŝi,1175_0.wav,kaʃi,kaʃi,True,0,verb
202,cinabru,855_0.wav,tʃinabru,tʃinabu,True,1,noun
203,cañí,1374_0.wav,kaˈɲi,kaɲi,True,1,noun
204,Japan,618_0.wav,ˈjaːpan,japan,True,2,noun
205,duplikati,1404_0.wav,duplikati,diuplikati,False,1,adjective
206,속이다,54_0.wav,sʰo̞ɡida̠,soɡida,True,3,adjective
207,baru,577_0.wav,baru,bau,True,1,adjective
208,bigamie,1270_0.wav,bigami,biami,True,1,adjective
209,가름,1453_0.wav,ka̠ɾɯm,ka,False,4,verb
210,tatapan,376_0.wav,tatapan,tatapan,True,0,verb
211,آتزر,1026_0.wav,aːtazir,ai,False,5,verb
212,小さい,67_0.wav,tɕiisai,isai,False,3,adjective
213,annan,764_0.wav,²'anːan,anan,True,3,adjective
214,비싸다,447_0.wav,pis͈a̠da̠,pisada,True,3,adjective
215,가결의하다,1636_0.wav,ˈka̠ːɡjʌ̹ɾɰiɦa̠da̠,kaɡjaiada,False,10,noun
216,afum,906_0.wav,afum,afu,False,1,noun
217,亚麻布,915_0.wav,ja˥˩ ma˧˥ pu˥˩,jamapu,True,8,noun
218,慕う,523_0.wav,ɕitaɯ,ita,True,2,verb
219,beliau,1005_0.wav,bəliau,bəliau,True,0,noun
220,cheap,443_0.wav,ˈtʃip,tʃip,True,1,adjective
221,Fíat,1243_0.wav,fiːjat,fiat,False,2,noun
222,batí,1031_0.wav,baˈti,bai,False,2,noun
223,방황하다,259_0.wav,pa̠ŋβwa̠ŋɦa̠da̠,pamaŋada,False,8,verb
224,giratar,1260_0.wav,dʒiratar,dʒiata,True,2,noun
225,Pirat,1427_0.wav,piˈʁaːt,piat,False,3,noun
226,agamaku,836_0.wav,agamaku,amaku,False,2,noun
227,أدبك,878_0.wav,ʔaddabaka,adaba,False,4,noun
228,påkalla,1265_0.wav,²p'oːkalːa,pokala,True,4,verb
229,下雨,1173_0.wav,ɕja˥˩ y˨˩˦,a,False,9,verb
230,chí tái chí tam,1208_0.wav,ci˩˧ taj˩˧ ci˩˧ tam˧˥,iaitam,False,15,noun
231,bau,260_0.wav,bau,bau,True,0,verb
232,의존하다,247_0.wav,ɰid͡ʑo̞nɦa̠da̠,idonada,True,7,verb
233,mía,896_0.wav,ˈmia,mia,True,1,noun
234,사나이,148_0.wav,sʰa̠na̠i,sanai,True,3,adjective
235,terkulai,466_0.wav,tərkulai,əkulai,False,2,verb
236,ĉirkaŭ,612_0.wav,t͡ʃirkau,tʃikau,True,2,noun
237,ＧＡＢＡ,1538_0.wav,gjaba,ama,False,3,noun
238,横たわる,340_0.wav,jokotaɰᵝaɾɯ,jokta,False,6,verb
239,Kanada,859_0.wav,ˈkanada,kada,False,3,noun
240,얕은,245_0.wav,ja̠tʰɯn,jatn,True,3,adjective
241,acumularea,1286_0.wav,akumularĕa,auma,False,6,noun
242,儿媳妇儿,1466_0.wav,aɻ˧˥ ɕi˧˥ fu˧ aɻ˧,afua,False,13,noun
243,가득히,1249_0.wav,ka̠dɯkçi,kadki,True,3,noun
244,retrieve,224_0.wav,ɹiˈtɹiv,i,False,6,verb
245,곱하다,120_0.wav,ko̞pʰa̠da̠,kopada,True,4,verb
246,가기하다,723_0.wav,ka̠ɡiɦa̠da̠,kaɡiada,True,4,verb
247,胡子拉碴,1329_0.wav,xu˧˥ tsɯ˧ la˥˥ ʈʂʰa˥˥,usla,False,17,noun
248,ＣＰ,1539_0.wav,ɕiːpiː,ipi,True,3,noun
249,puŝi,346_0.wav,puʃi,puʃi,True,0,verb
250,biadi,768_0.wav,biadi,biadi,True,0,noun
251,마수,263_0.wav,ma̠sʰu,masu,True,2,adjective
252,bajingan,535_0.wav,badʒiŋan,badʒiŋan,True,0,verb
253,porno,1577_0.wav,porno,pono,True,1,noun
254,이상,609_0.wav,isʰa̠ŋ,isaŋ,True,2,noun
255,serigala,661_0.wav,sərigala,siala,False,3,noun
256,humila,303_0.wav,humila,umila,True,1,adjective
257,bruñí,902_0.wav,bɾuˈɲi,bɲi,False,3,noun
258,abdicaba,1637_0.wav,aβðikaβa,aika,False,4,verb
259,أنغليكاني,787_0.wav,ʔanɣliːkaːnijj,anlikanaij,False,6,noun
260,하프,555_0.wav,ha̠pʰɯ,ap,True,4,verb
261,ramai,128_0.wav,ramai,amai,True,1,adjective
262,통과하다,179_0.wav,tʰo̞ŋɡwa̠ɦa̠da̠,toŋɡwada,False,7,verb
263,알다,590_0.wav,a̠ɭda̠,ada,True,3,verb
264,a la hán,1001_0.wav,a˧˥ la˧˥ haŋ˩˧,alaŋ,False,10,adjective
265,시합,589_0.wav,ɕʰiɦa̠p̚,ia,False,6,verb
266,花花绿绿,1603_0.wav,xwa˥˥ xwa˥˥ ly˥˩ ly˥˩,wawaly,False,15,adjective
267,أخصائي,947_0.wav,ʔaxisˤˤaːʔijj,saij,False,9,noun
268,동그라미,1237_0.wav,to̞ŋɡɯɾa̠mi,toŋami,False,5,noun
269,大胆,474_0.wav,ta˥˩ tan˨˩˦,tatan,True,6,verb
270,失う,72_0.wav,ɯɕinaɯ,sina,False,3,verb
271,가감은휘,1223_0.wav,ka̠ɡa̠mɯnɦɥi,kaɡamni,False,5,noun
272,bilis,1129_0.wav,bilis,bilis,True,0,adjective
273,媳妇儿,1085_0.wav,ɕi˧˥ fu˧ aɻ˧,ifa,False,9,noun
274,الأباجور,1156_0.wav,aːlʔabaːdʒuːr,alabadʒu,True,5,noun
275,ingat,40_0.wav,iŋat,iŋat,True,0,verb
276,不寒而栗,761_0.wav,pu˥˩ xan˧˥ aɻ˧˥ li˥˩,puali,False,15,verb
277,Abruf,985_0.wav,ˈʔapˌɾuːf,apu,False,6,noun
278,Kakadu,857_0.wav,ˈkakaˌduː,kakalu,False,4,noun
279,부족하다,122_0.wav,pud͡ʑo̞kʰa̠da̠,pudokada,True,6,verb
280,가와사끼 시,910_0.wav,ka̠wa̠sʰa̠k͈i ɕʰi,kasaki,False,11,noun
281,낙하산,282_0.wav,na̠kʰa̠sʰa̠n,nakasan,True,5,verb
282,モットー,657_0.wav,motːoː,moto,True,2,noun
283,ba-xí ba-tú,1069_0.wav,ba˧˥-si˩˧ ba˧˥-tu˩˧,basibatu,True,11,noun
284,utama,565_0.wav,utama,,False,5,adjective
285,お久,863_0.wav,oçisa,oisa,True,1,noun
286,これと言った,1197_0.wav,koɾetoitːa,koetoita,True,2,verb
287,吐き出す,600_0.wav,hakidasɯ,kakias,False,3,noun
288,berbagai,68_0.wav,bərbagai,bəbai,False,3,adjective
289,bahaduri,1499_0.wav,bahaduri,badui,False,3,adjective
290,samaran,607_0.wav,samaran,saman,False,2,noun
291,béatifie,1356_0.wav,beatifi,beatfi,False,1,adjective
292,sease,349_0.wav,ˈsiz,sis,False,2,verb
293,abarrotaba,867_0.wav,aβarotaβa,ata,False,6,verb
294,미라,162_0.wav,miɾa̠,mida,False,2,adjective
295,疑う,511_0.wav,ɯtagaɯ,ta,False,4,verb
296,atacuri,1075_0.wav,atakurʲ,ataku,True,2,noun
297,equivalí,1218_0.wav,ekiβaˈli,ekali,False,3,verb
298,６日,1366_0.wav,mɯika,mika,True,1,noun
299,귤피,1592_0.wav,kjuɭpʰi,kupi,False,3,noun
300,bền gan vững chí,823_0.wav,ben˦˨ ɣaŋ˧˥ jɯŋ˧˩˨ ci˩˧,beaŋi,False,18,noun
301,おしゃまさん,1630_0.wav,oɕamasaɴ,oasa,False,4,noun
302,timigi,291_0.wav,timigi,timi,False,2,verb
303,affabulâmes,1419_0.wav,afabylam,afabylam,True,0,noun
304,dijaga,336_0.wav,didʒaga,bidʒa,False,3,verb
305,不遗余力,1639_0.wav,pu˥˩ i˧˥ y˧˥ li˥˩,puili,False,12,adjective
306,navigi,327_0.wav,navigi,navi,False,2,verb
307,lojala,677_0.wav,loiala,loiala,True,0,noun
308,가시관,1240_0.wav,ka̠ɕʰiɡwa̠n,kaiɡan,False,5,noun
309,或いは,689_0.wav,aɾɯiha,aia,True,3,noun
310,imagi,1274_0.wav,imagi,imai,True,1,verb
311,비싼,209_0.wav,pis͈a̠n,pisan,True,2,adjective
312,玉玺,1528_0.wav,y˥˩ ɕi˨˩˦,i,False,8,noun
313,騒がしい,278_0.wav,saɰᵝagaɕii,sai,False,7,adjective
314,真っ赤,695_0.wav,makːa,maka,True,1,noun
315,أرناوطي,1224_0.wav,ʔarnaːwutˤijj,anawutij,False,5,noun
316,biara,356_0.wav,biara,bia,False,2,verb
317,引っ張る,220_0.wav,çipːaɾɯ,ipa,True,4,verb
318,流す,451_0.wav,nagasɯ,nas,False,3,verb
319,akar,579_0.wav,akar,aka,True,1,verb
320,tuko,463_0.wav,tuko,tluko,False,1,verb
321,pedagogia,330_0.wav,pedagogia,pedaoia,True,2,adjective
322,哈哈儿,1017_0.wav,xa˥˥ xa˧ aɻ˧,a,False,11,noun
323,إدواردو,726_0.wav,ʔidwaːrduː,aldiadu,False,6,noun
324,kemilau,469_0.wav,kəmilau,kəmilau,True,0,verb
325,akui,1126_0.wav,akui,akui,True,0,noun
326,파노라마,296_0.wav,pʰa̠no̞ɾa̠ma̠,paŋama,False,8,adjective
327,budianu,751_0.wav,budijanu,buijanlu,False,2,noun
328,Árný,737_0.wav,aurni,ani,False,2,noun
329,カラス,675_0.wav,kaɾasɯ,kas,False,3,noun
330,diubah,248_0.wav,diubah,diuba,True,1,verb
331,acapullaba,1490_0.wav,akapuʎaβa,akapua,False,3,verb
332,figura,762_0.wav,figura,fiua,True,2,noun
333,취하다,57_0.wav,t͡ɕʰɥiɦa̠da̠,iada,False,8,verb
334,동의하다,101_0.wav,to̞ŋɰiɦa̠da̠,toŋiada,True,5,verb
335,喇叭裤,1556_0.wav,la˨˩˦ pa˧ kʰu˥˩,lapaku,True,9,noun
336,larĝa,274_0.wav,lard͡ʒa,ladʒa,True,2,adjective
337,ハスキー,696_0.wav,hasɯkiː,aski,True,3,noun
338,ĉina,1228_0.wav,t͡ʃina,tʃina,True,1,adjective
339,上がる,632_0.wav,agaɾɯ,a,False,4,noun
340,aga,1533_0.wav,aɡa,aba,False,1,noun
341,bardagann,946_0.wav,partaɣan,patan,False,3,noun
342,menghargai,84_0.wav,məŋhargai,məŋai,False,4,verb
343,사기,348_0.wav,sʰa̠ɡi,saɡi,True,2,adjective
344,어울리다,24_0.wav,ʌ̹uɭʎida̠,uida,True,5,verb
345,bit,1338_0.wav,bit,bi,False,1,noun
346,baŭ,1311_0.wav,bau,bau,True,0,verb
347,刈る,103_0.wav,kaɾɯ,ka,True,2,verb
348,다다구,1118_0.wav,ta̠da̠ɡu,nadaɡu,False,3,noun
349,abataj,846_0.wav,abataʒ,abataʒ,True,0,noun
350,チルダ,628_0.wav,tɕiɾɯda,tida,True,3,noun
351,달하다,129_0.wav,ta̠ɾɦa̠da̠,tada,False,6,adjective
352,拙い,544_0.wav,tsɯtanai,kstanai,False,2,adjective
353,미사,388_0.wav,misʰa̠,misa,True,2,verb
354,áp-ga-ni,880_0.wav,ap˦˥-ɣa˧˥-ni˧˥,apani,True,9,verb
355,riang,194_0.wav,riaŋ,iaŋ,True,1,adjective
356,위시,901_0.wav,ɥiɕʰi,i,False,4,verb
357,memarahi,157_0.wav,məmarahi,məmai,False,3,adjective
358,porĉiama,415_0.wav,port͡ʃiama,potʃiama,True,2,adjective
359,armaturi,1552_0.wav,armaturi,amatui,True,2,noun
360,amuk,112_0.wav,amuʔ,amu,True,1,verb
361,abagiu,732_0.wav,abadʒiw,abadʒiw,True,0,noun
362,أتأيم,1222_0.wav,ʔataʔajjam,atajm,False,5,noun
363,kaya,549_0.wav,kaja,kaja,True,0,adjective
364,italy,1458_0.wav,itali,italij,False,1,noun
365,빠른,602_0.wav,p͈a̠ɾɯn,pan,True,4,noun
366,aprobarea,736_0.wav,aprobarĕa,apoba,False,4,noun
367,나타나다,15_0.wav,na̠tʰa̠na̠da̠,natanada,True,5,verb
368,amasigi,1139_0.wav,amasigi,amasi,False,2,verb
369,weave,450_0.wav,ˈwiv,wi,False,2,verb
370,leafy,167_0.wav,ˈɫifi,ifi,True,2,adjective
371,animala,1230_0.wav,animala,alimala,False,1,noun
372,caí,834_0.wav,kaˈi,kai,True,1,verb
373,Rotor,1450_0.wav,ˈɾoːtoɾ,to,False,5,noun
374,adam,759_0.wav,adam,adam,True,0,noun
375,vojaĝi,418_0.wav,voiad͡ʒi,voiadʒi,True,1,verb
376,abangan,852_0.wav,abaŋan,abaŋan,True,0,noun
377,doudoune,970_0.wav,dudun,dudu,False,1,noun
378,leavy,384_0.wav,ˈɫivi,ivi,True,2,adjective
379,dukun,662_0.wav,dukun,bukun,False,1,noun
380,bani,318_0.wav,bani,bani,True,0,verb
381,akuŝi,1217_0.wav,akuʃi,akuʃi,True,0,verb
382,adiaŭ,794_0.wav,adiau,adiau,True,0,noun
383,babi,528_0.wav,babi,babi,True,0,verb
384,菱形,597_0.wav,çiɕigata,ʃiata,False,4,noun
385,accaparâmes,983_0.wav,akapaʁam,akapam,False,2,verb
386,乾いた,485_0.wav,kaɰᵝaita,kaita,False,3,verb
387,난류,1550_0.wav,na̠ɭʎju,naju,True,3,noun
388,ripari,360_0.wav,ripari,ipai,True,2,verb
389,lucarii,854_0.wav,lukarij,lukaij,True,1,noun
390,あま噛み,1024_0.wav,amakami,amakami,True,0,verb
391,menakuti,290_0.wav,mənakuti,mənakuti,True,0,verb
392,afmarkaða,1018_0.wav,avmar̥kaða,amaka,False,5,adjective
