,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun,next_word_index_verb_count,next_word_index_adjective_count,next_word_index_noun_count,predicted_pronunciation
56,datang,id,verb,/dataŋ/,ɶɶm,come,139:215:246:283:457:474:479:540:542:811:1377,87:105:231:458:462:537:764,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,11,7,25,məŋawasi
57,취하다,ko,verb,/t͡ɕʰɥiɦa̠da̠/,byɶɶ,drunk,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,78:80:81:415:445:802:991:1134:1212:1445:1473:1545,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,14,12,33,paɡan
58,dramigi,eo,verb,/dramigi/,ɶyy,dramatize,140:242:359:785:796:911:1380:1429,20:33:65:74:127:183:236:267:278:338:366:501:517:873:1043:1281:1356:1603,604:734:735:740:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1138:1151:1158:1242:1480,8,18,23,asam
59,fortikigi,eo,verb,/fortikigi/,oyyy,fortify,69:402:1105:1383,79:1382:1462:1471:1639,685:778:790:793:801:964:1019:1042:1045:1076:1109:1141:1142:1184:1264:1267:1278:1294:1296:1371:1384:1390:1436:1475:1485:1584,4,5,26,nitkada
60,瞬く,ja,verb,/ɕibatakɯ/,yɶɶu,Blink,722:780:1062:1191:1209:1268,166:738:870:1470,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,6,4,22,tʃatatan
61,sinyal,id,verb,/siɲal/,yɶb,signal,191:545:589:845,38:755:1417:1583,757:779:806:929:1047:1147:1202:1243:1427:1486:1492,4,4,11,awam
62,허용하다,ko,verb,/hʌ̹joŋɦa̠da̠/,ɔoɶɶ,permit,867:996:1265:1468,200:258:741:941:945:969:1293:1368:1640,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,4,9,17,kjasanada
63,보증하다,ko,verb,/po̞d͡ʑɯŋɦa̠da̠/,obuɶɶ,guarantee,782:837:1035:1061:1103:1490:1522,28:110:414:435:565:1225:1303:1642,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1286:1290:1329:1359:1389:1435:1526:1557:1621,7,8,22,məŋakui
64,malĝoja,eo,adjective,/mald͡ʒoia/,ɶboyɶ,sad,132:241:309:1197:1306:1414:1415,36:54:753:772:943:990:1153:1463,671:693:784:805:863:919:1000:1039:1050:1067:1213:1245:1269:1372:1443:1474:1633,7,8,17,inikada
65,悲しい,ja,adjective,/kanaɕii/,ɶɶyy,sad,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,873:1043:1281:1356:1603,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,18,5,22,saluti
66,아픈,ko,adjective,/a̠pʰɯn/,ɶum,Hurt,319:747:974:1124,172:520:543,623:630:733:786:906:938:1020:1055:1246:1266:1411:1569:1600,4,3,13,toŋiada
67,小さい,ja,adjective,/tɕiisai/,byyɶy,small,121:201:320:360:411:418:1074:1106:1218:1274:1447,385:434:441:719:752:989:1270:1403:1404,620:768:787:851:935:947:987:1068:1104:1125:1148:1233:1277:1288:1298:1299:1328:1388:1416:1434:1458:1488:1519:1525:1564:1615:1659,11,9,27,ka
68,berbagai,id,adjective,/bərbagai/,əɶɶy,various,505:569:761:880:937:1007:1024:1026:1066:1216,17:34:148:153:244:250:332:353:358:403:544:788:1157,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,10,13,37,pan
69,mengelilingi,id,verb,/məŋəliliŋi/,əəyyy,Surround,59:254:268:291:402:409:1105:1383,79:1382:1462:1471:1639,685:698:778:790:801:964:1019:1042:1076:1109:1141:1142:1184:1264:1267:1294:1296:1371:1384:1390:1436:1464:1475:1485:1584,8,5,25,tʃit
70,無駄になる,ja,adjective,/mɯdaninaɾɯ/,uɶyɶu,Become wasted,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,sini
71,유익하다,ko,adjective,/juikʰa̠da̠/,uyɶɶ,helpful,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,78:80:81:415:445:802:991:1134:1212:1445:1473:1545,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,14,12,33,pai
72,失う,ja,verb,/ɯɕinaɯ/,uyɶu,lose,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,pudanada
73,rahasia,id,adjective,/rahasia/,ɶɶyɶ,secret,88:141:485:716:862:1051:1300:1358:1360:1514:1518:1570:1587,0:27:39:137:195:197:225:251:272:321:538:580:869:973:978:1128:1497,621:633:650:714:742:756:795:812:933:939:963:977:1012:1016:1089:1094:1095:1133:1149:1154:1284:1472:1517:1627:1660,13,17,25,ʒua
74,忙しい,ja,adjective,/isogaɕii/,yoɶyy,busy,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,873:1043:1281:1356:1603,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,18,5,22,amu
75,줄이다,ko,verb,/t͡ɕuɾida̠/,buyɶ,Reduce,369:822:920:1430:1433:1461,123:173:303:471:592:907:1193:1657,689:708:739:865:883:975:1002:1008:1010:1082:1120:1140:1195:1234:1258:1301:1366:1413:1482:1510:1591,6,8,21,i
76,mengatakan,id,verb,/məŋatakan/,əɶɶɶm,say,282:724:798:983:1231:1503,12:984:1001:1013:1344,728:820:866:871:946:997:1036:1221:1222:1259:1261:1291:1630,6,5,13,pada
77,朗らか,ja,adjective,/hogaɾaka/,oɶɶɶ,Cheerfulness,5:11:15:97:109:115:117:133:146:171:176:179:259:270:308:328:373:378:453:799:824:835:916:988:1096:1211:1342:1355:1428:1537:1618,30:51:129:135:163:219:233:265:423:1018:1079:1623,645:653:721:727:730:745:769:843:846:859:864:878:897:905:934:1011:1017:1021:1025:1072:1088:1090:1091:1100:1101:1189:1190:1280:1317:1334:1456:1565:1568,31,12,33,tɛdapada
78,imaginara,eo,adjective,/imaginara/,yɶyɶɶ,imaginary,7:57:92:99:101:198:240:293:329:336:356:397:401:419:482:723:775:826:850:999:1093:1155:1401:1575:1588:1635:1637,71:81:234:447:802:991:1445:1473:1545,597:598:608:661:672:673:800:803:828:841:874:940:958:959:960:1064:1078:1146:1187:1244:1256:1260:1295:1302:1331:1336:1385:1444:1465:1636:1641,27,9,31,kid
79,寂しい,ja,adjective,/sabiɕii/,ɶyyy,lonely,59:69:254:268:291:409:1105:1383,1382:1462:1471:1639,698:778:790:793:801:964:1042:1045:1076:1109:1142:1184:1264:1267:1278:1294:1296:1371:1384:1390:1436:1464:1475:1485:1584,8,4,25,dai
80,ordinara,eo,adjective,/ordinara/,oyɶɶ,ordinary,7:57:92:99:101:198:240:293:329:336:356:397:401:419:482:723:775:826:850:999:1093:1155:1401:1575:1588:1635:1637,71:81:234:447:802:991:1445:1473:1545,597:598:608:661:672:673:800:803:828:841:874:940:958:959:960:1064:1078:1146:1187:1244:1256:1260:1295:1302:1331:1336:1385:1444:1465:1636:1641,27,9,31,kopada
81,biasa,id,adjective,/biasa/,yɶɶ,Ordinary,57:92:99:101:198:240:293:329:401:419:482:723:775:826:850:999:1093:1155:1401:1575:1588:1635:1637,71:78:80:234:415:445:447:802:991:1134:1212:1445:1473:1545,597:598:672:677:792:800:803:841:874:940:958:959:960:1110:1146:1187:1230:1244:1256:1260:1295:1302:1331:1336:1385:1444:1465:1597:1604:1636:1641,23,14,31,pudokada
82,誓う,ja,verb,/tɕikaɯ/,byɶu,swear,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,məmulai
83,lihat,id,verb,/lihat/,yɶb,see,191:545:589:845,38:755:1417:1583,757:779:806:929:1047:1147:1202:1243:1427:1486:1492,4,4,11,amai
84,menghargai,id,verb,/məŋhargai/,əɶɶy,appreciate,505:569:761:880:937:1007:1024:1026:1066:1216,17:34:148:153:244:250:332:353:358:403:544:788:1157,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,10,13,37,tada
85,감독하다,ko,verb,/ka̠mdo̞kʰa̠da̠/,ɶmoɶɶ,Supervise,867:996:1265:1468,200:258:741:941:945:969:1293:1368:1640,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,4,9,17,bəa
86,mengawasi,id,verb,/məŋawasi/,əɶɶy,Oversee,505:569:761:880:937:1007:1024:1026:1066:1216,17:34:148:153:244:250:332:353:358:403:544:788:1157,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,10,13,37,ida
87,빨간,ko,adjective,/p͈a̠ɭɡa̠n/,ɶɶm,Red,29:56:96:143:196:215:283:295:429:474:522:811:1377:1496,42:89:182:192:285:371:512:764,611:618:646:647:674:679:707:744:759:774:813:831:872:876:917:1107:1204:1239:1273:1313:1361:1607:1624,14,8,23,tida
88,알리다,ko,verb,/a̠ɭʎida̠/,ɶyɶ,inform,253:485:716:862:1051:1300:1358:1360:1514:1587,27:39:73:131:137:195:197:225:251:272:321:538:580:869:978:1128:1254,621:650:714:742:756:795:812:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1154:1284:1349:1472:1517:1616:1627,10,17,25,bəbaja
89,asam,id,adjective,/asam/,ɶɶm,acid,139:215:246:283:457:474:479:540:542:811:1377,87:105:231:458:462:537:764,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,11,7,25,oŋboada
90,예측하다,ko,verb,/je̞t͡ɕʰɯkʰa̠da̠/,øbuɶɶ,predict,782:837:1035:1061:1103:1490:1522,28:110:414:435:565:1225:1303:1642,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1286:1290:1329:1359:1389:1435:1526:1557:1621,7,8,22,asaŋ
91,menyadari,id,verb,/məɲadari/,əɶɶy,Realize,505:569:761:880:937:1007:1024:1026:1066:1216,17:34:148:153:244:250:332:353:358:403:544:788:1157,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,10,13,37,pakida
92,무시하다,ko,verb,/muɕʰiɦa̠da̠/,uyɶɶ,Ignore,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,78:80:81:415:445:802:991:1134:1212:1445:1473:1545,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,14,12,33,a
