,Word,Audio,Pronunciation,Predicted_Pronunciation,Result,Levenshtein
120,大地,898_0.wav,ta˥˩ ti˥˩,tati,True,5
121,부담하다,109_0.wav,puda̠mɦa̠da̠,pudanada,False,5
122,manusia,592_0.wav,manusia,mausia,False,1
123,不敌,1394_0.wav,pu˥˩ ti˧˥,puti,True,5
124,빨아들이다,151_0.wav,p͈a̠ɾa̠dɯɾida̠,pauida,False,9
125,汚い,332_0.wav,kitanai,ktanai,False,1
126,fumaĵi,1081_0.wav,fumaʒi,fumaʒi,True,0
127,disepakati,339_0.wav,disəpakati,disəpakati,True,0
128,Humor,1610_0.wav,ˈhuːmoɾ,umo,True,4
129,えぞ鹿,1245_0.wav,ezoɕika,ezoika,True,1
130,celanaku,1271_0.wav,tʃəlanaku,tʃəlanaku,True,0
131,awam,96_0.wav,awam,awam,True,0
132,다수,493_0.wav,ta̠sʰu,tasu,True,2
133,bivaki,1074_0.wav,bivaki,bivaki,True,0
134,dihadiri,1429_0.wav,dihadiri,diadi,False,3
135,applaudira,1067_0.wav,aplodiʁa,akldiʁa,False,2
136,korala,1640_0.wav,korala,koala,True,1
137,おいた,1633_0.wav,oita,oita,True,0
138,储蓄,1375_0.wav,ʈʂʰu˧˥ ɕy˥˩,u,False,10
139,abarataba,1342_0.wav,aβaɾataβa,ata,False,6
140,얇은,357_0.wav,ja̠ɭbɯn,jabn,True,3
141,makadam,1221_0.wav,makad'amː,maka,False,5
142,mengawasi,86_0.wav,məŋawasi,məŋawasi,True,0
143,stabila,39_0.wav,stabila,sabila,False,1
144,boroș,1346_0.wav,boroʃ,boʃ,False,2
145,chicharraban,1503_0.wav,tʃitʃaraβan,titan,False,6
146,ciocoiu,1059_0.wav,tʃ̩okojw,tʃokou,False,3
147,栅栏,611_0.wav,ʈʂa˥˩ lan˧˥,talan,False,7
148,giorno,1169_0.wav,dʒ̩orno,dʒono,True,2
149,buriu,1405_0.wav,buriw,buiu,False,2
150,abajaría,1358_0.wav,aβaxaˈɾia,aia,False,6
151,mangachapuy,1209_0.wav,maŋgatʃapuj,manatʃaui,False,4
152,affalâmes,866_0.wav,afalam,afam,False,2
153,話し,505_0.wav,hanaɕi,anai,True,2
154,치료하다,400_0.wav,t͡ɕʰiɾjoɦa̠da̠,tioada,False,8
155,Euthanasie,1192_0.wav,ɔɪ̯tanaˈziː,atanazi,False,5
156,rapida,714_0.wav,rapida,apida,True,1
157,origini,254_0.wav,origini,oini,False,3
158,弹无虚发,1008_0.wav,tan˥˩ u˧˥ ɕy˥˥ fa˥˥,taufa,False,14
159,diapir,851_0.wav,diapir,diapi,True,1
160,plead,116_0.wav,ˈpɫid,kid,False,3
161,أقتني,819_0.wav,ʔaqqataniː,atuni,False,6
162,capiau,1386_0.wav,tʃapiau,kapiau,False,2
163,brucita,920_0.wav,bɾuθita,buita,True,2
164,cara,513_0.wav,tʃara,tʃa,False,2
165,가각히,914_0.wav,ˈka̠ːɡa̠kçi,kaki,False,7
166,accaparas,1190_0.wav,akapaʁa,akapaʁa,True,0
167,mabuk,472_0.wav,mabuʔ,mabu,True,1
168,笑う,644_0.wav,ɰᵝaɾaɯ,a,False,5
169,갓난아이,763_0.wav,ka̠nna̠na̠i,kananai,False,4
170,さっ果,1398_0.wav,sakːa,saka,True,1
171,그리다,467_0.wav,kɯɾida̠,kuida,False,3
172,fobia,1050_0.wav,fobia,fobia,True,0
173,honorarii,748_0.wav,honorarii,onoai,False,4
174,babau,882_0.wav,babaw,babaw,True,0
175,bải hoải bài hoài,824_0.wav,baj˧˩˨ hwaj˧˩˨ baj˦˨ hwaj˦˨,bajwawajwaj,False,17
176,Akku,1534_0.wav,ˈʔaku,aku,True,2
177,下午,1476_0.wav,ɕja˥˩ u˨˩˦,jau,True,7
178,abadiah,1616_0.wav,abadiah,abadia,True,1
179,예측하다,90_0.wav,je̞t͡ɕʰɯkʰa̠da̠,nitkada,False,10
180,bibi,1307_0.wav,bibi,bibi,True,0
181,naiva,272_0.wav,naiva,naiva,True,0
182,blóðgjafa,816_0.wav,plouðcava,plouava,True,2
183,trik,893_0.wav,triʔ,təi,False,2
184,bacșiș,1567_0.wav,bakʃiʃ,bakʃiʃ,True,0
185,쉬파리,1447_0.wav,ʃʰɥipʰa̠ɾi,ʃipai,False,5
186,天下无敌,1602_0.wav,tʰjɛn˥˥ ɕja˥˩ u˧˥ ti˧˥,tauti,False,17
187,weepy,552_0.wav,ˈwipi,wipi,True,1
188,토하다,470_0.wav,tʰo̞ɦa̠da̠,oada,False,6
189,파티,262_0.wav,pʰa̠tʰi,pakti,False,3
190,griv,924_0.wav,ɡriv,bɡi,False,3
191,chirusa,1551_0.wav,tʃiɾusa,tiusa,False,2
192,boucana,743_0.wav,bukana,buka,False,2
193,cărturarii,957_0.wav,kərturarij,katuai,False,5
194,آسيا,1095_0.wav,aːsiːaː,asia,True,3
195,komika,424_0.wav,komika,komika,True,0
196,halangan,382_0.wav,halaŋan,alaŋan,True,1
197,buai,1312_0.wav,buai,buai,True,0
198,acaju,1062_0.wav,akaʒu,akaʒu,True,0
199,buziaș,907_0.wav,buzijaʃ,buziaʃ,False,1
200,perjalanan,417_0.wav,pərdʒalanan,pəʒalanan,False,2
201,kaŝi,1175_0.wav,kaʃi,kaʃi,True,0
202,cinabru,855_0.wav,tʃinabru,tʃinabu,True,1
203,cañí,1374_0.wav,kaˈɲi,kaɲi,True,1
204,Japan,618_0.wav,ˈjaːpan,japan,True,2
205,duplikati,1404_0.wav,duplikati,diuplikati,False,1
206,속이다,54_0.wav,sʰo̞ɡida̠,soɡida,True,3
207,baru,577_0.wav,baru,bau,True,1
208,bigamie,1270_0.wav,bigami,biami,True,1
209,가름,1453_0.wav,ka̠ɾɯm,ka,False,4
210,tatapan,376_0.wav,tatapan,tatapan,True,0
211,آتزر,1026_0.wav,aːtazir,ai,False,5
212,小さい,67_0.wav,tɕiisai,isai,False,3
213,annan,764_0.wav,²'anːan,anan,True,3
214,비싸다,447_0.wav,pis͈a̠da̠,pisada,True,3
215,가결의하다,1636_0.wav,ˈka̠ːɡjʌ̹ɾɰiɦa̠da̠,kaɡjaiada,False,10
216,afum,906_0.wav,afum,afu,False,1
217,亚麻布,915_0.wav,ja˥˩ ma˧˥ pu˥˩,jamapu,True,8
218,慕う,523_0.wav,ɕitaɯ,ita,True,2
219,beliau,1005_0.wav,bəliau,bəliau,True,0
220,cheap,443_0.wav,ˈtʃip,tʃip,True,1
221,Fíat,1243_0.wav,fiːjat,fiat,False,2
222,batí,1031_0.wav,baˈti,bai,False,2
223,방황하다,259_0.wav,pa̠ŋβwa̠ŋɦa̠da̠,pamaŋada,False,8
224,giratar,1260_0.wav,dʒiratar,dʒiata,True,2
225,Pirat,1427_0.wav,piˈʁaːt,piat,False,3
226,agamaku,836_0.wav,agamaku,amaku,False,2
227,أدبك,878_0.wav,ʔaddabaka,adaba,False,4
228,påkalla,1265_0.wav,²p'oːkalːa,pokala,True,4
229,下雨,1173_0.wav,ɕja˥˩ y˨˩˦,a,False,9
230,chí tái chí tam,1208_0.wav,ci˩˧ taj˩˧ ci˩˧ tam˧˥,iaitam,False,15
231,bau,260_0.wav,bau,bau,True,0
232,의존하다,247_0.wav,ɰid͡ʑo̞nɦa̠da̠,idonada,True,7
233,mía,896_0.wav,ˈmia,mia,True,1
234,사나이,148_0.wav,sʰa̠na̠i,sanai,True,3
235,terkulai,466_0.wav,tərkulai,əkulai,False,2
236,ĉirkaŭ,612_0.wav,t͡ʃirkau,tʃikau,True,2
237,ＧＡＢＡ,1538_0.wav,gjaba,ama,False,3
238,横たわる,340_0.wav,jokotaɰᵝaɾɯ,jokta,False,6
239,Kanada,859_0.wav,ˈkanada,kada,False,3
240,얕은,245_0.wav,ja̠tʰɯn,jatn,True,3
241,acumularea,1286_0.wav,akumularĕa,auma,False,6
242,儿媳妇儿,1466_0.wav,aɻ˧˥ ɕi˧˥ fu˧ aɻ˧,afua,False,13
243,가득히,1249_0.wav,ka̠dɯkçi,kadki,True,3
244,retrieve,224_0.wav,ɹiˈtɹiv,i,False,6
245,곱하다,120_0.wav,ko̞pʰa̠da̠,kopada,True,4
246,가기하다,723_0.wav,ka̠ɡiɦa̠da̠,kaɡiada,True,4
247,胡子拉碴,1329_0.wav,xu˧˥ tsɯ˧ la˥˥ ʈʂʰa˥˥,usla,False,17
248,ＣＰ,1539_0.wav,ɕiːpiː,ipi,True,3
249,puŝi,346_0.wav,puʃi,puʃi,True,0
250,biadi,768_0.wav,biadi,biadi,True,0
251,마수,263_0.wav,ma̠sʰu,masu,True,2
252,bajingan,535_0.wav,badʒiŋan,badʒiŋan,True,0
253,porno,1577_0.wav,porno,pono,True,1
254,이상,609_0.wav,isʰa̠ŋ,isaŋ,True,2
255,serigala,661_0.wav,sərigala,siala,False,3
256,humila,303_0.wav,humila,umila,True,1
257,bruñí,902_0.wav,bɾuˈɲi,bɲi,False,3
258,abdicaba,1637_0.wav,aβðikaβa,aika,False,4
259,أنغليكاني,787_0.wav,ʔanɣliːkaːnijj,anlikanaij,False,6
260,하프,555_0.wav,ha̠pʰɯ,ap,True,4
261,ramai,128_0.wav,ramai,amai,True,1
262,통과하다,179_0.wav,tʰo̞ŋɡwa̠ɦa̠da̠,toŋɡwada,False,7
263,알다,590_0.wav,a̠ɭda̠,ada,True,3
264,a la hán,1001_0.wav,a˧˥ la˧˥ haŋ˩˧,alaŋ,False,10
265,시합,589_0.wav,ɕʰiɦa̠p̚,ia,False,6
266,花花绿绿,1603_0.wav,xwa˥˥ xwa˥˥ ly˥˩ ly˥˩,wawaly,False,15
267,أخصائي,947_0.wav,ʔaxisˤˤaːʔijj,saij,False,9
268,동그라미,1237_0.wav,to̞ŋɡɯɾa̠mi,toŋami,False,5
269,大胆,474_0.wav,ta˥˩ tan˨˩˦,tatan,True,6
270,失う,72_0.wav,ɯɕinaɯ,sina,False,3
271,가감은휘,1223_0.wav,ka̠ɡa̠mɯnɦɥi,kaɡamni,False,5
272,bilis,1129_0.wav,bilis,bilis,True,0
273,媳妇儿,1085_0.wav,ɕi˧˥ fu˧ aɻ˧,ifa,False,9
274,الأباجور,1156_0.wav,aːlʔabaːdʒuːr,alabadʒu,True,5
275,ingat,40_0.wav,iŋat,iŋat,True,0
276,不寒而栗,761_0.wav,pu˥˩ xan˧˥ aɻ˧˥ li˥˩,puali,False,15
277,Abruf,985_0.wav,ˈʔapˌɾuːf,apu,False,6
278,Kakadu,857_0.wav,ˈkakaˌduː,kakalu,False,4
279,부족하다,122_0.wav,pud͡ʑo̞kʰa̠da̠,pudokada,True,6
280,가와사끼 시,910_0.wav,ka̠wa̠sʰa̠k͈i ɕʰi,kasaki,False,11
281,낙하산,282_0.wav,na̠kʰa̠sʰa̠n,nakasan,True,5
282,モットー,657_0.wav,motːoː,moto,True,2
283,ba-xí ba-tú,1069_0.wav,ba˧˥-si˩˧ ba˧˥-tu˩˧,basibatu,True,11
284,utama,565_0.wav,utama,,False,5
285,お久,863_0.wav,oçisa,oisa,True,1
286,これと言った,1197_0.wav,koɾetoitːa,koetoita,True,2
287,吐き出す,600_0.wav,hakidasɯ,kakias,False,3
288,berbagai,68_0.wav,bərbagai,bəbai,False,3
289,bahaduri,1499_0.wav,bahaduri,badui,False,3
290,samaran,607_0.wav,samaran,saman,False,2
291,béatifie,1356_0.wav,beatifi,beatfi,False,1
292,sease,349_0.wav,ˈsiz,sis,False,2
293,abarrotaba,867_0.wav,aβarotaβa,ata,False,6
294,미라,162_0.wav,miɾa̠,mida,False,2
295,疑う,511_0.wav,ɯtagaɯ,ta,False,4
296,atacuri,1075_0.wav,atakurʲ,ataku,True,2
297,equivalí,1218_0.wav,ekiβaˈli,ekali,False,3
298,６日,1366_0.wav,mɯika,mika,True,1
299,귤피,1592_0.wav,kjuɭpʰi,kupi,False,3
300,bền gan vững chí,823_0.wav,ben˦˨ ɣaŋ˧˥ jɯŋ˧˩˨ ci˩˧,beaŋi,False,18
301,おしゃまさん,1630_0.wav,oɕamasaɴ,oasa,False,4
302,timigi,291_0.wav,timigi,timi,False,2
303,affabulâmes,1419_0.wav,afabylam,afabylam,True,0
304,dijaga,336_0.wav,didʒaga,bidʒa,False,3
305,不遗余力,1639_0.wav,pu˥˩ i˧˥ y˧˥ li˥˩,puili,False,12
306,navigi,327_0.wav,navigi,navi,False,2
307,lojala,677_0.wav,loiala,loiala,True,0
308,가시관,1240_0.wav,ka̠ɕʰiɡwa̠n,kaiɡan,False,5
309,或いは,689_0.wav,aɾɯiha,aia,True,3
310,imagi,1274_0.wav,imagi,imai,True,1
311,비싼,209_0.wav,pis͈a̠n,pisan,True,2
312,玉玺,1528_0.wav,y˥˩ ɕi˨˩˦,i,False,8
313,騒がしい,278_0.wav,saɰᵝagaɕii,sai,False,7
314,真っ赤,695_0.wav,makːa,maka,True,1
315,أرناوطي,1224_0.wav,ʔarnaːwutˤijj,anawutij,False,5
316,biara,356_0.wav,biara,bia,False,2
317,引っ張る,220_0.wav,çipːaɾɯ,ipa,True,4
318,流す,451_0.wav,nagasɯ,nas,False,3
319,akar,579_0.wav,akar,aka,True,1
320,tuko,463_0.wav,tuko,tluko,False,1
321,pedagogia,330_0.wav,pedagogia,pedaoia,True,2
322,哈哈儿,1017_0.wav,xa˥˥ xa˧ aɻ˧,a,False,11
323,إدواردو,726_0.wav,ʔidwaːrduː,aldiadu,False,6
324,kemilau,469_0.wav,kəmilau,kəmilau,True,0
325,akui,1126_0.wav,akui,akui,True,0
326,파노라마,296_0.wav,pʰa̠no̞ɾa̠ma̠,paŋama,False,8
327,budianu,751_0.wav,budijanu,buijanlu,False,2
328,Árný,737_0.wav,aurni,ani,False,2
329,カラス,675_0.wav,kaɾasɯ,kas,False,3
330,diubah,248_0.wav,diubah,diuba,True,1
331,acapullaba,1490_0.wav,akapuʎaβa,akapua,False,3
332,figura,762_0.wav,figura,fiua,True,2
333,취하다,57_0.wav,t͡ɕʰɥiɦa̠da̠,iada,False,8
334,동의하다,101_0.wav,to̞ŋɰiɦa̠da̠,toŋiada,True,5
335,喇叭裤,1556_0.wav,la˨˩˦ pa˧ kʰu˥˩,lapaku,True,9
336,larĝa,274_0.wav,lard͡ʒa,ladʒa,True,2
337,ハスキー,696_0.wav,hasɯkiː,aski,True,3
338,ĉina,1228_0.wav,t͡ʃina,tʃina,True,1
339,上がる,632_0.wav,agaɾɯ,a,False,4
340,aga,1533_0.wav,aɡa,aba,False,1
341,bardagann,946_0.wav,partaɣan,patan,False,3
342,menghargai,84_0.wav,məŋhargai,məŋai,False,4
343,사기,348_0.wav,sʰa̠ɡi,saɡi,True,2
344,어울리다,24_0.wav,ʌ̹uɭʎida̠,uida,True,5
345,bit,1338_0.wav,bit,bi,False,1
346,baŭ,1311_0.wav,bau,bau,True,0
347,刈る,103_0.wav,kaɾɯ,ka,True,2
348,다다구,1118_0.wav,ta̠da̠ɡu,nadaɡu,False,3
349,abataj,846_0.wav,abataʒ,abataʒ,True,0
350,チルダ,628_0.wav,tɕiɾɯda,tida,True,3
351,달하다,129_0.wav,ta̠ɾɦa̠da̠,tada,False,6
352,拙い,544_0.wav,tsɯtanai,kstanai,False,2
353,미사,388_0.wav,misʰa̠,misa,True,2
354,áp-ga-ni,880_0.wav,ap˦˥-ɣa˧˥-ni˧˥,apani,True,9
355,riang,194_0.wav,riaŋ,iaŋ,True,1
356,위시,901_0.wav,ɥiɕʰi,i,False,4
357,memarahi,157_0.wav,məmarahi,məmai,False,3
358,porĉiama,415_0.wav,port͡ʃiama,potʃiama,True,2
359,armaturi,1552_0.wav,armaturi,amatui,True,2
360,amuk,112_0.wav,amuʔ,amu,True,1
361,abagiu,732_0.wav,abadʒiw,abadʒiw,True,0
362,أتأيم,1222_0.wav,ʔataʔajjam,atajm,False,5
363,kaya,549_0.wav,kaja,kaja,True,0
364,italy,1458_0.wav,itali,italij,False,1
365,빠른,602_0.wav,p͈a̠ɾɯn,pan,True,4
366,aprobarea,736_0.wav,aprobarĕa,apoba,False,4
367,나타나다,15_0.wav,na̠tʰa̠na̠da̠,natanada,True,5
368,amasigi,1139_0.wav,amasigi,amasi,False,2
369,weave,450_0.wav,ˈwiv,wi,False,2
370,leafy,167_0.wav,ˈɫifi,ifi,True,2
371,animala,1230_0.wav,animala,alimala,False,1
372,caí,834_0.wav,kaˈi,kai,True,1
373,Rotor,1450_0.wav,ˈɾoːtoɾ,to,False,5
374,adam,759_0.wav,adam,adam,True,0
375,vojaĝi,418_0.wav,voiad͡ʒi,voiadʒi,True,1
376,abangan,852_0.wav,abaŋan,abaŋan,True,0
377,doudoune,970_0.wav,dudun,dudu,False,1
378,leavy,384_0.wav,ˈɫivi,ivi,True,2
379,dukun,662_0.wav,dukun,bukun,False,1
380,bani,318_0.wav,bani,bani,True,0
381,akuŝi,1217_0.wav,akuʃi,akuʃi,True,0
382,adiaŭ,794_0.wav,adiau,adiau,True,0
383,babi,528_0.wav,babi,babi,True,0
384,菱形,597_0.wav,çiɕigata,ʃiata,False,4
385,accaparâmes,983_0.wav,akapaʁam,akapam,False,2
386,乾いた,485_0.wav,kaɰᵝaita,kaita,False,3
387,난류,1550_0.wav,na̠ɭʎju,naju,True,3
388,ripari,360_0.wav,ripari,ipai,True,2
389,lucarii,854_0.wav,lukarij,lukaij,True,1
390,あま噛み,1024_0.wav,amakami,amakami,True,0
391,menakuti,290_0.wav,mənakuti,mənakuti,True,0
392,afmarkaða,1018_0.wav,avmar̥kaða,amaka,False,5
393,putih,499_0.wav,putih,kuti,False,2
394,규모,603_0.wav,kjumo̞,kmo,False,3
395,ostatici,735_0.wav,ostatitʃʲ,ostatitʃ,True,1
396,sleek,448_0.wav,ˈsɫik,sik,True,2
397,bariu,1562_0.wav,barju,balju,False,1
398,meratapi,44_0.wav,məratapi,məatapi,True,1
399,antaranya,1565_0.wav,antaraɲa,ataɲa,False,3
400,Modi,1369_0.wav,ˈmoːdi,mi,False,4
401,memulai,125_0.wav,məmulai,məmulai,True,0
402,가나,1656_0.wav,ka̠na̠,kana,True,2
403,马戏团,1236_0.wav,ma˨˩˦ ɕi˥˩ tʰwan˧˥,maitwan,True,11
404,tanah,648_0.wav,tanah,tana,True,1
405,dimulai,422_0.wav,dimulai,dimulai,True,0
406,afoniza,1443_0.wav,afoniza,afoniza,True,0
407,bravaĉa,1568_0.wav,bravat͡ʃa,blavatʃa,False,2
408,rahang,522_0.wav,rahaŋ,aŋ,False,3
409,canalicular,961_0.wav,kanalikular,kanaliula,False,2
410,가마니바늘,1073_0.wav,ka̠ma̠niba̠nɯɭ,kamaninan,False,6
411,bi đát,1583_0.wav,bi˧˥ dak˦˥,bida,False,6
412,말하다,5_0.wav,ma̠ɾɦa̠da̠,nada,False,7
413,pugo,591_0.wav,pugo,po,False,2
414,aŭtomata,969_0.wav,automata,atomata,False,1
415,hodiaŭ,1530_0.wav,hodiau,odiau,True,1
416,バラン,674_0.wav,baɾaɴ,a,False,4
417,１０代,1348_0.wav,dʑɯɯdai,dai,False,4
418,スノー,659_0.wav,sɯnoː,sno,True,2
419,sandiwara,673_0.wav,sandiwara,sandiwa,False,2
420,씨앗,38_0.wav,ɕ͈ia̠t̚,iat,True,4
421,abadi,1108_0.wav,abadi,abadi,True,0
422,memahami,238_0.wav,məmahami,məmami,False,2
423,amaĵi,1178_0.wav,amaʒi,amaʒi,True,0
424,aplanata,843_0.wav,aplanata,aplalnata,False,1
425,bubung,1185_0.wav,bubuŋ,bubuŋ,True,0
426,acclimata,1295_0.wav,aklimata,aklmata,False,1
427,analiza,1094_0.wav,analiza,anaiza,False,1
428,ＳＩｅｒ,1284_0.wav,esɯaiaː,a,False,6
429,bit,1407_0.wav,bit,bit,True,0
430,liris,41_0.wav,liris,lis,False,2
431,bisi,840_0.wav,bisi,bisi,True,0
432,imaginara,78_0.wav,imaginara,imanina,False,3
433,akan,707_0.wav,akan,akan,True,0
434,bằng hữu chi giao,822_0.wav,băŋ˦˨ hɯw˧˩˨ ci˧˥ jaw˧˥,bŋwijaw,True,16
