,request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
55,가르치다,ko,verb,/ka̠ɾɯt͡ɕʰida̠/,pɶupϕybɶ,teach,delapida,ro,adjective,/delapida/,bølɶpybɶ,defraud
56,arretiert,de,verb,/ʔaɾˈɾətiːɾt/,bɶəpyp,locked,간핍,ko,noun,/ka̠npʰip̚/,pɶmpyp,Deficiency
57,귀걸이,ko,adjective,/kɥiɡʌ̹ɾi/,pyɔy,earring,fiore,en,noun,/fiˈɔɹi/,ϕyɔy,fiore
58,驯服,zh-cn,verb,/ɕyn˥˩ fu˧˥/,ϕymϕu,tame,강수,ko,noun,/ka̠ŋsʰu/,pɶmϕu,Precipitation
59,tamer,en,adjective,/ˈteɪmɝ/,pøʏm,tamer,Göring,de,noun,/ˈgøːɾɪŋ/,bøʏm,Gaining
60,skeel,en,verb,/ˈskiɫ/,ϕpy,skeel,schi,ro,noun,/skʲ̩i/,ϕpy,skiing
61,gebracht,de,verb,/gəˈbraxt/,bəbrɶϕp,brought,fantasc,ro,adjective,/fantask/,ϕɶmpɶϕp,fantasasc
62,想,zh-cn,verb,/ɕjɑŋ˨˩˦/,ϕɒm,miss you,fahrner,en,noun,/ˈfɑɹnɝ/,ϕɒm,fahrner
63,wanna,en,verb,/ˈwɑnə/,rɒmə,wanna,bahne,de,verb,/ˈbɑnə/,bɒmə,till
64,송곳니,ko,verb,/sʰo̞ŋɡo̞nni/,ϕomommy,canine,mcinerny,en,noun,/məˈkɪnɝni/,məpʏmmy,mcinerny
65,젖꼭지,ko,adjective,/t͡ɕʌ̹t̚k͈o̞k̚t͡ɕ͈i/,pϕɔppoppϕy,nipple,consfinți,ro,noun,/konsfintsi/,pomϕϕympϕy,consecrate
66,족장,ko,adjective,/t͡ɕo̞k̚t͡ɕ͈a̠ŋ/,pϕoppϕɶm,Patriarchy,abatojan,es,verb,/aβatoxan/,ɶβɶpoϕɶm,Abatojan
67,merokok,id,verb,/mərokoʔ/,məropob,smoke,amfipod,ro,noun,/amfipod/,ɶmϕypob,amphipods
68,smoke,en,verb,/ˈsmoʊk/,ϕmoʊp,smoke,Hauruck,de,noun,/ˈhaoɾʊk/,rɶoʊp,Hauruck
69,抽烟,zh-cn,verb,/ʈʂʰoʊ˥˥ jɛn˥˥/,oʊœm,smokes,Kutschern,de,noun,/ˈkʊʧɛɾn/,pʊœm,Coach
70,연기,ko,verb,/jʌ̹nɡi/,ɔmy,Acting,ghormley,en,noun,/ˈɡɔɹmɫi/,ɔmy,ghormley
71,known,en,verb,/ˈnoʊn/,moʊm,known,Bohrung,de,noun,/ˈboːʀʊŋ/,boʊm,drilling
72,众所周知,zh-cn,verb,/ʈʂʊŋ˥˩ suɔ˨˩˦ ʈʂoʊ˥˥ ʈʂɚ˥˥/,ʊmϕuɔoʊ,Well-known,castoro,en,noun,/kɑˈstɔɹoʊ/,pɒϕpɔoʊ,castoro
73,tamparan,id,verb,/tamparan/,pɶmpɶrɶm,slap,不上算,zh-cn,verb,/pu˧˥ ʂɑŋ˥˩ swan˥˩/,puɒmϕrɶm,Not on
74,menghina,id,verb,/məŋhina/,məmrymɶ,insulting,가고시마,ko,noun,/ka̠ɡo̞ɕʰima̠/,pɶoϕymɶ,Go to Shima
75,erniedrigen,de,verb,/ʔɛːɐˈniːdɾɪgən/,bœɐmybʏbəm,humiliate,chernomyrdin,en,adjective,/ˌtʃɛɹnoʊˈmɪɹdən/,pœmoʊmʏbəm,chernomyrdin
76,gummi,en,adjective,/ˈɡəmi/,əmy,gummi,任意,zh-cn,noun,/ʐən˥˩ i˥˩/,əmy,Arbitrary
77,bedeutete,de,verb,/bəˈdɔøtətə/,bəbɔøpəpə,meant,agrochemical,en,noun,/ˌæɡɹoʊˈkɛməkəɫ/,æoʊpœməpə,agrochemical
78,berarti,id,adjective,/bərarti/,bərɶrpy,mean,alporti,eo,verb,/alporti/,ɶlporpy,to bring
79,摆,zh-cn,verb,/paɪ˨˩˦/,pɶʏ,put,cai,en,noun,/ˈkaɪ/,pɶʏ,cai
80,berayun,id,verb,/bərajun/,bərɶum,swinging,가파른,ko,adjective,/ka̠pʰa̠ɾɯn/,pɶpɶum,sharp
81,swung,en,verb,/ˈswəŋ/,ϕrəm,swung,arem,id,noun,/arəm/,ɶrəm,Arem.
82,geschwenkt,de,verb,/gəˈʃvɛŋkt/,bəβœmpp,pivoted,debunked,en,verb,/dɪˈbəŋkt/,bʏbəmpp,debunked
83,bitsy,en,adjective,/ˈbɪtsi/,bʏpϕy,bitsy,Ｈ,ja,noun,/eitɕi/,øypϕy,H
84,vocal,en,adjective,/ˈvoʊkəɫ/,βoʊpə,vocal,flutschte,de,verb,/ˈflʊʧtə/,ϕlʊpə,slip
85,memihak,id,verb,/məmihaʔ/,məmyrɶb,Wide,basarabi,ro,noun,/basarabʲ/,bɶϕɶrɶb,Basarabi
86,마차,ko,verb,/ma̠t͡ɕʰa̠/,mɶpϕɶ,carriage,biopsia,es,noun,/bjopsja/,bopϕɶ,biopsy
87,slain,en,verb,/ˈsɫeɪn/,ϕøʏm,slain,Göring,de,noun,/ˈgøːɾɪŋ/,bøʏm,Gaining
88,죽이다,ko,verb,/t͡ɕuɡida̠/,pϕuybɶ,To kill,colibaș,ro,verb,/kolibaʃ/,polybɶ,Colibaş
89,terbunuh,id,verb,/tərbunuh/,pərbumur,killed,consumuri,ro,noun,/konsumurʲ/,pomϕumur,consumption
90,Sirio,eo,adjective,/sirio/,ϕyryo,Syria,chirrío,es,noun,/tʃiˈrio/,pyryo,chirry
91,ŝvebi,eo,verb,/ʃvebi/,βøby,hover,legii,ro,noun,/ledʒij/,løby,laws
92,schweben,de,verb,/ˈʃveːbən/,βøbəm,hover,adan,en,noun,/ˈeɪdən/,øʏbəm,adan
93,유체,ko,adjective,/jut͡ɕʰe̞/,upϕø,Fluid,Juxe,de,noun,/ˈjuːkse/,upϕø,Juxe
94,젖꼭지,ko,adjective,/t͡ɕʌ̹t̚k͈o̞k̚t͡ɕ͈i/,pϕɔppoppϕy,nipple,antaŭfiksi,eo,noun,/antaufiksi/,ɶmpɶuϕypϕy,prefix
95,forto,eo,verb,/forto/,ϕorpo,Force,bérko,id,noun,/berko/,børpo,Bérko.
96,cacing,id,adjective,/tʃatʃiŋ/,pɶpym,worm,귀띔,ko,noun,/kɥit͈im/,pypym,suggestion
97,불행,ko,adjective,/puɾɦɛ̝ŋ/,puœm,Unhappiness,古谚,zh-cn,noun,/ku˨˩˦ jɛn˥˩/,puœm,Ancient comrades
98,시작하다,ko,verb,/ɕʰid͡ʑa̠kʰa̠da̠/,ϕybβɶpɶbɶ,Start,persuada,ro,noun,/persuwada/,pørϕurɶbɶ,persuade
99,进入,zh-cn,verb,/tɕɪn˥˩ ʐu˥˩/,pϕʏmu,enter,zbigniew,en,noun,/ˈzbɪɡnu/,βbʏmu,zbigniew
100,memasukkan,id,verb,/məmasuʔkan/,məmɶϕubpɶm,enter,chibulcutean,ro,adjective,/kʲ̩ibulkutĕan/,pybulpupɶm,Chibulutean
101,덕분,ko,verb,/tʌ̹k̚p͈un/,pɔppum,thanks for,tántum,es,verb,/ˈtantum/,pɶmpum,tantum
102,강조,ko,verb,/ka̠ŋd͡ʑo̞/,pɶmbβo,emphasis,おこじょ,ja,noun,/okodʑo/,opobβo,Mood
103,kementerian,id,adjective,/kəməntərian/,pəməmpəryɶm,Ministry,Maximilian,de,noun,/mɑksimilian/,mɒpϕymylyɶm,Maximilian
104,追求,zh-cn,verb,/ʈʂweɪ˥˥ tɕʰjoʊ˧˥/,røʏpϕoʊ,pursue,adapso,en,noun,/əˈdæpsoʊ/,əbæpϕoʊ,adapso
105,weiten,de,verb,/ˈvaɪ̯tn̩/,βɶʏpm,expand,heitner,en,noun,/ˈhaɪtnɝ/,rɶʏpm,heitner
106,绿色,zh-cn,adjective,/ly˥˩ sɤ˥˩/,lyϕo,green,aguijó,es,verb,/aɣiˈxo/,ɶyϕo,Aguijo.
107,hijau,id,adjective,/hidʒau/,rybɶu,green,erbașu,ro,noun,/erbaʃu/,ørbɶu,Erbaşu.
108,지키다,ko,verb,/t͡ɕikçida̠/,pϕypybɶ,Protect,たまり場,ja,noun,/tamaɾiba/,pɶmɶybɶ,Palm
109,사단,ko,verb,/sʰa̠da̠n/,ϕɶbɶm,division,aldrán,es,verb,/aˈldɾan/,ɶlbɶm,Aldrán.
110,berteriak,id,verb,/bərtəriaʔ/,bərpəryɶb,Shout,asclepiad,ro,verb,/asklepijad/,ɶϕpløpyɶb,Asclepiad
111,叫ぶ,ja,verb,/sakebɯ/,ϕɶpøbu,call out,랑데부,ko,adjective,/ɾa̠ŋde̞bu/,ɶmbøbu,rendezvous
112,외침,ko,verb,/ø̞t͡ɕʰim/,øpϕym,shout,Achim,de,noun,/ˈʔaxim/,bɶϕym,Achim
113,喊,zh-cn,verb,/xan˨˩˦/,ϕɶm,call,산,ko,noun,/sʰa̠n/,ϕɶm,mountain
114,schreien,de,verb,/ˈʃraiən/,rɶyəm,scream,伎人,zh-cn,noun,/tɕi˥˩ ʐən˧˥/,pϕyəm,Trick
115,무릎,ko,verb,/muɾɯp̚/,muup,knee,buyut,id,verb,/bujut/,buup,Buying
116,zustimmen,de,verb,/ˈtsuːˌʃtɪmən/,pϕupʏməm,agree,alaskamen,en,noun,/əˈɫæskəmən/,əæϕpəməm,alaskamen
117,동의하다,ko,verb,/to̞ŋɰiɦa̠da̠/,pomyɶbɶ,Agree,adiraja,id,noun,/adiradʒa/,ɶbyrɶbɶ,Adiraja
118,setuju,id,verb,/sətudʒu/,ϕəpubu,agree,노부부,ko,noun,/no̞bubu/,mobubu,Nobster
119,同意,zh-cn,verb,/tʰʊŋ˧˥ i˥˩/,pʊmy,agree,aronie,en,noun,/ɝˈoʊni/,oʊmy,aronie
120,높은,ko,adjective,/no̞pʰɯn/,mopum,High,antum,ro,adjective,/antum/,ɶmpum,Antum
121,tinggi,id,adjective,/tiŋgi/,pymby,high,겸비,ko,noun,/kjʌ̹mbi/,pɔmby,Combination
122,vista,en,adjective,/ˈvɪstə/,βʏϕpə,vista,baftă,ro,noun,/baftə/,bɶϕpə,good luck
123,멈추다,ko,verb,/mʌ̹mt͡ɕʰuda̠/,mɔmpϕubɶ,Stop,アウトフィールダー,ja,noun,/aɯtoɸiːɾɯdaː/,ɶupoyubɶ,Outfirder
124,停止,zh-cn,verb,/tʰɪŋ˧˥ ʈʂɚ˨˩˦/,pʏm,Stop,chin,en,noun,/ˈtʃɪn/,pʏm,chin
125,난로,ko,verb,/na̠ɭɭo̞/,mɶo,Fireplace,maŝo,eo,noun,/maʃo/,mɶo,mesh
126,forno,eo,verb,/forno/,ϕormo,oven,durno,id,noun,/durno/,burmo,Durno
127,kompor,id,verb,/kompor/,pompor,stove,abator,ro,adjective,/abator/,ɶbɶpor,abattoir
128,kucai,id,adjective,/kutʃai/,pupɶy,Kucai,ＯＦＦ会,ja,noun,/oɸɯkai/,oupɶy,OFF meeting
129,schweben,de,verb,/ˈʃveːbən/,βøbəm,hover,cedăm,ro,verb,/tʃedəm/,pøbəm,yield
130,무거운,ko,adjective,/muɡʌ̹un/,muɔum,heavy,storeroom,en,noun,/ˈstɔɹˌɹum/,ϕpɔum,storeroom
131,hefty,en,adjective,/ˈhɛfti/,rœϕpy,hefty,chestii,ro,noun,/kʲ̩estij/,pøϕpy,things
132,prone,en,adjective,/ˈpɹoʊn/,poʊm,prone,Bohrung,de,noun,/ˈboːʀʊŋ/,boʊm,drilling
133,inklina,eo,adjective,/inklina/,ymplymɶ,prone,からし菜,ja,noun,/kaɾaɕina/,pɶɶϕymɶ,Vegetables
134,senapan,id,verb,/sənapan/,ϕəmɶpɶm,gun,갈비탕,ko,noun,/ka̠ɭbitʰa̠ŋ/,pɶbypɶm,Ribs
135,소총,ko,verb,/sʰo̞t͡ɕʰo̞ŋ/,ϕopϕom,rifle,alofon,id,adjective,/alofon/,ɶloϕom,allophone
136,rifle,en,verb,/ˈɹaɪfəɫ/,ɶʏϕə,rifle,misse,de,verb,/ˈmɪsə/,mʏϕə,mere
137,ahnt,de,verb,/ˈʔɑnt/,bɒmp,ahn,barndt,en,adjective,/ˈbɑɹnt/,bɒmp,barndt
138,다행,ko,verb,/ta̠ɦɛ̝ŋ/,pɶœm,Relief,下咽,zh-cn,verb,/ɕja˥˩ jɛn˥˩/,ϕɶœm,Swallow
139,透ける,ja,verb,/sɯkeɾɯ/,ϕupøu,Transparent,렛테루,ko,noun,/ɾe̞t̚tʰe̞ɾu/,øppøu,Prettute
140,맷돌,ko,adjective,/mɛ̝t̚t͈o̞ɭ/,mœppo,millstone,Aktor,de,noun,/ˈʔaktoɾ/,bɶppo,Actual
141,눈물,ko,verb,/nunmuɭ/,mummu,tear,公亩,zh-cn,noun,/kʊŋ˥˥ mu˨˩˦/,pʊmmu,Male
142,trifft,de,verb,/ˈtɾɪfft/,pʏϕϕp,meets,bathurst,en,noun,/ˈbæθɝst/,bæϕϕp,bathurst
143,gamba,en,adjective,/ˈɡæmbə/,æmbə,gamba,Ende,de,noun,/ˈɛndə/,œmbə,end
144,짜다,ko,verb,/t͡ɕ͈a̠da̠/,pϕɶbɶ,salty,あさだ,ja,noun,/asada/,ɶϕɶbɶ,So-called
145,gewirkt,de,verb,/gəˈvɪɾkt/,bəβʏpp,worked,bewitched,en,verb,/bɪˈwɪtʃt/,bʏrʏpp,bewitched
146,bruna,eo,adjective,/bruna/,brumɶ,brown,afuma,ro,noun,/afuma/,ɶϕumɶ,smoke
147,갈색,ko,adjective,/ka̠ɭsʰɛ̝k̚/,pɶϕœp,Brown,befährt,de,verb,/bəˈfɛɾt/,bəϕœp,tremble
148,cokelat,id,adjective,/tʃokəlat/,popəlɶp,chocolate,acrilat,ro,verb,/akrilat/,ɶprylɶp,acrylate
149,brown,en,adjective,/ˈbɹaʊn/,bɶʊm,brown,撒种,zh-cn,verb,/sa˨˩˦ ʈʂʊŋ˨˩˦/,ϕɶʊm,Sprinkle
150,malfari,eo,verb,/malfari/,mɶlϕɶry,undo,ochelarii,ro,noun,/okʲ̩elarij/,opølɶry,spectacles
151,소원,ko,verb,/sʰo̞wʌ̹n/,ϕorɔm,wish,bighorn,en,adjective,/ˈbɪɡˌhɔɹn/,bʏrɔm,bighorn
152,刈る,ja,verb,/kaɾɯ/,pɶu,mow,kau,id,noun,/kau/,pɶu,you
153,menuai,id,verb,/mənuai/,məmuɶy,reap,samurai,es,noun,/samuɾai/,ϕɶmuɶy,samurai
154,reaps,en,verb,/ˈɹips/,ypϕ,reaps,iț,ro,noun,/its/,ypϕ,IT
155,gebunden,de,verb,/ɡəˈbʊndn̩/,əbʊmbm,bound,springborn,en,adjective,/ˈspɹɪŋɡbɝn/,ϕpʏmbm,springborn
156,terikat,id,verb,/tərikat/,pərypɶp,bound,Advokat,de,noun,/atvoˈkaːt/,ɶpβopɶp,Advocate
157,알제리,ko,adjective,/a̠ɭd͡ʑe̞ɾi/,ɶbβøy,Algeria,libreri,es,adjective,/liβɾeɾi/,lyβøy,Libreri.
158,grasen,de,verb,/ˈgɾɑːzən/,bɒβəm,graze,algorithm,en,noun,/ˈæɫɡɝˌɪðəm/,æʏβəm,algorithm
159,찰과상,ko,verb,/t͡ɕʰa̠ɭɡwa̠sʰa̠ŋ/,pϕɶrɶϕɶm,abrasion,Beatfan,de,noun,/bəʔatˈfan/,bəbɶpϕɶm,Beatfan
160,pasto,eo,verb,/pasto/,pɶϕpo,dough,agostó,es,verb,/aɣoˈsto/,ɶoϕpo,August
161,rantau,id,verb,/rantau/,rɶmpɶu,Rantau,늦가을,ko,noun,/nɯt̚k͈a̠ɯɭ/,muppɶu,Late autumn
162,verschwommen,de,verb,/fɛːɐ̯ˈʃvɔmmən/,ϕœɐβɔmməm,blurred,acționăm,ro,verb,/aktsionəm/,ɶppϕyoməm,act
163,躲藏,zh-cn,verb,/tuɔ˨˩˦ tsʰɑŋ˧˥/,puɔpϕɒm,hide,Eckzahn,de,noun,/ˈʔɛktsɑn/,bœppϕɒm,canine
164,독소,ko,verb,/to̞ks͈o̞/,popϕo,toxin,lapso,es,adjective,/lapso/,lɶpϕo,lapse
165,usual,en,adjective,/ˈjuʒəwəɫ/,uərə,usual,fără,ro,,/fərə/,ϕərə,free
166,biasa,id,adjective,/biasa/,byɶϕɶ,Ordinary,abaja,es,verb,/aβaxa/,ɶβɶϕɶ,ABAJA.
167,kutima,eo,adjective,/kutima/,pupymɶ,usual,baginya,id,noun,/bagiɲa/,bɶbymɶ,For him
168,debit,en,verb,/ˈdɛbɪt/,bœbʏp,debit,Gedicht,de,noun,/gəˈdɪçt/,bəbʏp,poem
169,퇴치,ko,verb,/tʰø̞t͡ɕʰi/,pøpϕy,Fading,boksi,eo,verb,/boksi/,bopϕy,Boxing
170,妄りに,ja,adjective,/midaɾini/,mybɶymy,Unexpectedly,berbini,id,noun,/bərbini/,bərbymy,Thread
171,징조,ko,verb,/t͡ɕiŋd͡ʑo̞/,pϕymbβo,symptom,Antigvo,eo,noun,/antigvo/,ɶmpybβo,Antigua
172,merebus,id,verb,/mərəbus/,mərəbuϕ,boil,schinduf,ro,verb,/skʲ̩induf/,ϕpymbuϕ,fenugreek
173,mengusir,id,verb,/məŋusir/,məmuϕyr,Expel,elixir,ro,noun,/eliksir/,ølypϕyr,elixir
174,퇴거하다,ko,verb,/tʰø̞ɡʌ̹ɦa̠da̠/,pøɔɶbɶ,Retire,Ｆナンバー,ja,noun,/eɸɯnaɴbaː/,øumɶbɶ,F number
175,evict,en,verb,/ɪˈvɪkt/,ʏβʏpp,evict,blickt,de,verb,/ˈblɪkt/,blʏpp,look
176,elfosi,eo,verb,/elfosi/,ølϕoϕy,elfosi,お通し,ja,noun,/otooɕi/,opooϕy,Trick
177,踪迹,zh-cn,verb,/tsʊŋ˥˥ tɕi˥˩/,pϕʊmpϕy,trace,autopsi,id,adjective,/autopsi/,ɶupopϕy,autopsy
178,mengganggu,id,adjective,/məŋgaŋgu/,məmbɶmbu,disturb,가정부,ko,noun,/ka̠d͡ʑʌ̹ŋbu/,pɶbβɔmbu,housekeeper
179,괴롭히다,ko,adjective,/kø̞ɾo̞pʰida̠/,pøopybɶ,bully,aŭdvida,eo,adjective,/audvida/,ɶubβybɶ,Audiovisual
180,annoy,en,adjective,/əˈnɔɪ/,əmɔʏ,annoy,knorrig,de,,/ˈknɔɾɾɪç/,pmɔʏ,gnarled
181,평지,ko,adjective,/pʰjʌ̹ŋd͡ʑi/,pɔmbβy,flat,vanderzee,en,adjective,/ˈvændɝˌzi/,βæmbβy,vanderzee
182,신시,ko,adjective,/ɕʰinɕʰi/,ϕymϕy,Current,丙戌,zh-cn,noun,/pɪŋ˨˩˦ ɕy˥˥/,pʏmϕy,Bingshi
183,uap,id,adjective,/uap/,uɶp,steam,류학,ko,noun,/ɾjuɦa̠k̚/,uɶp,Rotology
184,vaporo,eo,adjective,/vaporo/,βɶporo,steam,おほんおっほん,ja,noun,/ohoɴohːoɴ/,orooro,Oonhon
185,증기,ko,adjective,/t͡ɕɯŋɡi/,pϕumy,steam,お国,ja,noun,/okɯni/,opumy,Country
186,파란,ko,adjective,/pʰa̠ɾa̠n/,pɶɶm,blue,baian,ro,noun,/bajan/,bɶɶm,Baiana
