request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
menderita,id,verb,/məndərita/,əməyɶ,suffer,苦しむ,vi tiểu hình hoá,vi,adjective,/ji˧˥ tiəw˧˩˨ hin˦˨ hwa˩˧/,yyəyɶ,microchemical,ミクロ化学的
endure,en,verb,/ɛnˈdjʊɹ/,œmʊ,endure,耐える,tempo,sv,verb,/t'ɛmːpʊ/,œmʊ,tempo,テンポ
balenă,ro,adjective,/balenə/,ɶøə,whale,鯨,dastehe,de,verb,/daˈʃteːə/,ɶøə,stand up,立ち上がる
plajă,ro,verb,/plaʒə/,bɶə,Beach,ビーチ,Flasche,de,noun,/ˈflaʃə/,bɶə,Bottle,ボトル
calendar,ro,adjective,/kalendar/,ɶømɶ,calendar,カレンダー,talenta,eo,adjective,/talenta/,ɶømɶ,talented,才能
sonreír,es,verb,/sonreˈiɾ/,oøy,smile,笑顔,coperiș,ro,noun,/koperiʃ/,oøy,other capital,その他の首都
atrium,ro,adjective,/atrium/,ɶyum,atrium,アトリウム,فلبوم,ar,noun,/falibuːm/,ɶyum,Famo,FAMO
auftauchen,de,verb,/ˈʔaofˌtaoxən/,ɶobɶoəm,Pop up,現れる,弄假成真,zh-cn,verb,/nʊŋ˥˩ tɕja˨˩˦ ʈʂʰɤŋ˧˥ ʈʂən˥˥/,ʊmbɶoəm,Fake,偽
länk,sv,verb,/lɛŋːk/,œmb,link,リンク,sengt,de,verb,/ˈzɛŋt/,œmb,beyond,超えて
link,en,verb,/ˈɫɪŋk/,ʏmb,link,リンク,grind,sv,verb,/grɪnːd/,ʏmb,gate,ゲート
remolino,es,adjective,/remolino/,øoyo,swirl,渦巻き,孫芋,ja,noun,/magoimo/,ɶoyo,Grandson,孫芋
estándar,es,verb,/eˈstandaɾ/,øbɶmɶ,standard,標準,deplanta,ro,noun,/deplanta/,øbɶmɶ,Mo,MO
standard,ro,adjective,/standard/,bɶmɶb,standard,標準,clamsasse,fr,noun,/klamsas/,bɶmɶb,clamsasse,クラムサス
십자가,ko,verb,/ɕʰip̚t͡ɕ͈a̠ɡa̠/,ybbɶɶ,The Cross,十字架,displaza,es,verb,/displaθa/,ybbɶɶ,Displaza,ディスケンサ
Kruco,eo,verb,/krut͡so/,ubo,Cross,クロス,駆除,ja,noun,/kɯdʑo/,ubo,Extermination,駆除
skrika,sv,verb,/skr'iːkɛr/,byœ,scream,悲鳴,svíney,is,noun,/sviːnɛj/,byœ,ciger,Ciger
huutaa,fi,verb,/ˈhuutɑɑ/,uuɑɑ,yell,エール,épouvantant,fr,verb,/epuvɑ̃tɑ̃/,øuɑɑ,terrifying,恐ろしい
hrópa,is,verb,/r̥ouːpa/,ouɶ,shout,叫ぶ,dây cu-roa,vi,noun,/jɤ̆j˧˥ ku˧˥-ʐwa˧˥/,ouɶ,Cu-r wire,Cu-Rワイヤ
kêu la,vi,verb,/kɛu˧˥ la˧˥/,œuɶ,shout,叫ぶ,ferroutages,fr,verb,/fɛʁutaʒ/,œuɶ,ferrouts,フェラー
menjerit,id,adjective,/məndʒərit/,əməyb,screaming,叫ぶ,humphries,en,noun,/ˈhəmfɝiz/,əməyb,humphries,ハンフリー
hurler,fr,adjective,/ʼyʁle/,ybø,to yell,叫ぶこと,dribler,ro,noun,/dribler/,ybø,dribbler,ドリブラー
비명,ko,adjective,/pimjʌ̹ŋ/,yɔm,scream,悲鳴,sillonnes,fr,noun,/sijɔn/,yɔm,crosses,十字架
tuoda,fi,verb,/ˈtuodɑ/,uoɑ,bring,持っていく,Judoka,de,noun,/ˈjuːdokɑ/,uoɑ,Judoka,柔道
احضر,ar,verb,/ʔaħdˤara/,ɶbɶɶ,Bring,持っていく,aclama,ro,noun,/aklama/,ɶbɶɶ,acclaim,称賛
sterben,de,verb,/ˈʃtɛʁbən/,œbəm,die,死ぬ,freston,en,noun,/ˈfɹɛstən/,œbəm,freston,フレストン
묶다,ko,verb,/muk̚t͈a̠/,ubɶ,tie,ネクタイ,tự ngã,vi,noun,/tɯ˨ˀ˩ʔ ŋa˧˩˨/,ubɶ,ego,自我
fästa,sv,verb,/f'ɛsːtɛr/,œbœ,attach,取り付けます,쾌재,ko,noun,/kʰwɛ̝d͡ʑɛ̝/,œbœ,Pleasure,喜び
fasten,en,verb,/ˈfæsən/,æəm,fasten,締めます,hacken,de,verb,/hækən/,æəm,chop,チョップ
boucler,fr,verb,/bukle/,ubø,buckle,バックル,Juxe,de,noun,/ˈjuːkse/,ubø,Jug,水差し
光荣,zh-cn,verb,/kwɑŋ˥˥ ʐʊŋ˧˥/,ɑʊm,glory,栄光,barndom,sv,noun,/²b'ɑːɳɖʊmː/,ɑʊm,childhood,子供時代
đáng kính,vi,adjective,/daŋ˩˧ kin˩˧/,ɶmym,venerable,由緒ある,nanquín,es,adjective,/naˈŋkin/,ɶmym,nankeen,ナンキーン
مشرف,ar,adjective,/maʃraf/,ɶɶb,supervisor,監督者,carrasses,fr,noun,/kaʁas/,ɶɶb,carrasses,キャラス
virðuleg,is,adjective,/vɪrðʏlɛɣ/,ʏʏœ,respectable,立派,livingwell,en,adjective,/ˈɫɪvɪŋˌwɛɫ/,ʏʏœ,livingwell,リビングウェル
screeching,en,verb,/ˈskɹitʃɪŋ/,byʏm,screeching,金切り声,snyting,sv,noun,/²sn'yːtɪŋ/,byʏm,Tytting,Tytting
闪烁,zh-cn,verb,/ʂan˨˩˦ ʂuɔ˥˩/,ɶuɔ,Flickering,ちらつき,labourions,fr,verb,/labuʁjɔ̃/,ɶuɔ,plows,プラウ
determinat,ro,verb,/determinat/,øøyɶb,determined,決定,fratérnitas,id,noun,/fraternitas/,ɶøyɶb,fratérnitas,Fratérnitas
xác định,vi,verb,/sak˦˥ din˨ˀ˩ʔ/,ɶbymb,determined,決定,السمط,ar,adjective,/aːlsimtˤ/,ɶbymb,Fetish,フェチ
tailor,en,verb,/ˈteɪɫɝ/,øʏə,tailor,仕立て屋,schwedische,de,adjective,/ˈʃveːdɪʃə/,øʏə,Swedish,スウェーデンの
خياط,ar,verb,/xiːaːtˤ/,yɶb,tailor,仕立て屋,Spital,de,noun,/ʃpiˈtaːl/,yɶb,hospital,病院
재단사,ko,verb,/t͡ɕɛ̝da̠nsʰa̠/,bœɶmɶ,tailor,仕立て屋,útgefanda,is,noun,/uːtcɛvanta/,uœɶmɶ,issuer,発行者
skräddare,sv,verb,/²skr'ɛdːarɛ/,bœɶœ,tailor,仕立て屋,타래타래,ko,noun,/tʰa̠ɾɛ̝tʰa̠ɾɛ̝/,ɶœɶœ,Tarae,タラエ
normalizar,es,verb,/noɾmaliθaɾ/,oɶyɶ,normalize,ノーマライズ,gradueras,fr,noun,/gʁadyʁa/,bɶyɶ,Gradueras,卒業生
normalisoida,fi,verb,/ˈnormɑliˌsoidɑ/,oɑyoyɑ,normalize,ノーマライズ,Ziehharmonika,de,noun,/ˈtsiːaɾmonikɑ/,byɶoyɑ,Accordion,アコーディオン
부족,ko,verb,/pud͡ʑo̞k̚/,ubob,lack,足らない,buldog,id,noun,/buldog/,ubob,bulldog,ブルドッグ
puuttua,fi,verb,/ˈpuuttuɑ/,uubuɑ,intervene,介入,froufroutants,fr,noun,/fʁufʁutɑ̃/,bubuɑ,frills,フリル
manko,eo,verb,/manko/,ɶmo,deficiency,欠乏,Manko,de,noun,/ˈmaŋko/,ɶmo,Shortcoming,欠点
brist,sv,verb,/brɪsːt/,ʏbb,lack,足らない,clicked,en,verb,/ˈkɫɪkt/,ʏbb,clicked,クリックしました
rotnun,is,verb,/rɔhtnʏn/,ɔbʏm,decay,減衰,boskin,en,noun,/ˈbɔskɪn/,ɔbʏm,boskin,ボスキン
부식,ko,verb,/puɕʰik̚/,uyb,corrosion,腐食,kutrit,fi,noun,/ˈkutrit/,uyb,locks,ロック
تسوس,ar,verb,/tasawwasa/,ɶɶɶɶ,Decay,減衰,rappakalja,sv,noun,/²r'apːakalːja/,ɶɶɶɶ,RAPKALJA,ラプカルジャ
symbolisera,sv,verb,/sʏmbʊlɪs'eːra/,ʏmʊʏøɶ,emblematize,象徴,Sláturfélag,is,noun,/slauːtʏrfjeːlaɣ/,bɶuʏøɶ,Beatings,暴行
melambangkan,id,verb,/məlambaŋkan/,əɶmɶmɶm,symbolize,象徴する,구관당상,ko,verb,/kuɡwa̠nda̠ŋsʰa̠ŋ/,uɶmɶmɶm,Spur,拍車
tákna,is,verb,/tʰauhkna/,ɶubɶ,represent,代表する,ونطن,ar,noun,/wanutˤna/,ɶubɶ,Natin,ナティン
象征,zh-cn,verb,/ɕjɑŋ˥˩ ʈʂɤŋ˥˥/,ɑom,Symbol,シンボル,Stadion,de,noun,/ʃtɑˈdĭoːn/,ɑom,Stadion,スタディオン
symbolize,en,verb,/ˈsɪmbəˌɫaɪz/,ʏməɶʏb,symbolize,象徴する,Eigenheit,de,noun,/ˈaɪ̯ɡənhaɪ̯t/,ɶʏəɶʏb,Peculiarity,特異性
闪烁,zh-cn,verb,/ʂan˨˩˦ ʂuɔ˥˩/,ɶuɔ,Flickering,ちらつき,mazoutons,fr,noun,/mazutɔ̃/,ɶuɔ,mazoutons,マズウトン
etiqueta,es,adjective,/etiketa/,øyøɶ,label,ラベル,elibera,ro,noun,/elibera/,øyøɶ,ISSUE,問題
datang,id,verb,/dataŋ/,ɶɶm,come,来て,tardan,es,verb,/taɾðan/,ɶɶm,take,取った
lessive,fr,adjective,/lɛsiv/,œyb,laundry,ランドリー,serviert,de,verb,/zɛɾˈviːɾt/,œyb,served,提供
tvätt,sv,adjective,/tvɛtː/,bœb,laundry,ランドリー,sterkt,is,adjective,/stɛr̥t/,bœb,fierce,激しい
vătămare,ro,adjective,/vətəmare/,əəɶø,damage,ダメージ,crevassez,fr,verb,/kʁəvase/,bəɶø,Create,作成
walking,en,verb,/ˈwɔkɪŋ/,ɔʏm,walking,歩く,Schottin,de,noun,/ˈʃɔtɪn/,ɔʏm,Scottish,スコットランド
caminando,es,verb,/kaminando/,ɶyɶmo,walking,歩く,alilando,eo,noun,/alilando/,ɶyɶmo,foreigner,外国人
歩く,ja,verb,/aɾɯkɯ/,ɶuu,walk,歩く,bajuku,id,noun,/badʒuku/,ɶuu,my shirt,私のシャツ
berjalan,id,verb,/bərdʒalan/,əɶɶm,walk,歩く,săracan,ro,noun,/sərakan/,əɶɶm,pauper,貧しい
مالح,ar,adjective,/maːliħ/,ɶyb,salty,塩辛い,anrührt,de,verb,/ˈʔanˌɾyɾt/,ɶyb,touched,触れた
salt,sv,adjective,/salːt/,ɶbb,salt,塩,faks,id,noun,/faʔs/,ɶbb,fax,ファックス
suolainen,fi,adjective,/ˈsuolɑinen/,uoɑyøm,salty,塩辛い,kaskadieren,de,verb,/kaskɑˈdiːɾen/,ɶbɑyøm,cascading,カスケード
asin,id,adjective,/asin/,ɶym,salty,塩辛い,أمين,ar,noun,/ʔamiːn/,ɶym,Ameen,アミーン
logaĵo,eo,verb,/logaʒo/,oɶo,bait,餌,コラボ,ja,noun,/koɾabo/,oɶo,Collaboration,コラボ
momeală,ro,adjective,/momĕalə/,oɶə,bait,餌,lokale,de,adjective,/loˈkalə/,oɶə,local,ローカル
umpan,id,verb,/umpan/,umɶm,bait,餌,رمان,ar,verb,/rummaːn/,umɶm,pomegranate,ザクロ
finding,en,verb,/ˈfaɪndɪŋ/,ɶʏmʏm,finding,発見,万应锭,zh-cn,verb,/wan˥˩ ɪŋ˥˩ tɪŋ˥˩/,ɶʏmʏm,Universal ingot,ユニバーサルインゴット
发现,zh-cn,verb,/fa˥˥ ɕjɛn˥˩/,ɶœm,Find,探す,moyennent,fr,noun,/mwajɛn/,ɶœm,medium,中くらい
bucată,ro,adjective,/bukatə/,uɶə,piece,ピース,duale,de,adjective,/dualə/,uɶə,dual,デュアル
