request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
تحطيم,ar,verb,/taħtˤiːm/,ɶbym,Smashing,スマッシング,đạo binh,vi,noun,/daw˨ˀ˩ʔ bin˧˥/,ɶbym,religion,宗教
fracasser,fr,verb,/fʁakase/,bɶɶø,smash,スマッシュ,alarmarte,es,verb,/alaɾmaɾte/,ɶɶɶø,alarm,警報
المجيد,ar,adjective,/aːlmudʒiːd/,ɶbuyb,Glorious,輝かしい,dazuführt,de,verb,/daˈtsuːˌfyɾt/,ɶbuyb,led,導いた
vinh quang,vi,adjective,/jin˧˥ waŋ˧˥/,yɶm,glory,栄光,titan,es,verb,/titan/,yɶm,titan,巨人
輝かしい,ja,adjective,/kagajakaɕii/,ɶɶɶɶyy,Glorious,輝かしい,ékstradisi,id,noun,/eʔstradisi/,øbbɶyy,extradition,引き渡し
辉煌,zh-cn,verb,/xweɪ˥˥ xwɑŋ˧˥/,øʏɑm,brilliant,素晴らしい,napalm,en,noun,/ˈneɪpɑm/,øʏɑm,napalm,ナパーム
دائري,ar,verb,/daːʔirijj/,ɶyy,circular,円形,ban chỉ huy,vi,noun,/baŋ˧˥ ci˧˩˨ hwi˧˥/,ɶyy,Steering committee,運営委員会
runden,de,verb,/ˈʁʊndən/,ʊməm,round,円形,kundun,en,noun,/ˈkʊndən/,ʊməm,kundun,クンドゥン
rundă,ro,adjective,/rundə/,umə,round,円形,mungia,en,noun,/ˈmundʒə/,umə,mungia,ムンギア
bulat,id,verb,/bulat/,uɶb,round,円形,frodas,sv,verb,/²fr'uːdas/,uɶb,thrive,繁栄する
salvia,fi,verb,/ˈsɑlviɑ/,ɑbyɑ,sage,セージ,saksida,en,noun,/ˌsɑkˈsiˌdɑ/,ɑbyɑ,saksida,saksida
salvie,ro,adjective,/salvije/,ɶbyø,sage,セージ,カジメ,ja,noun,/kadʑime/,ɶbyø,Kajime,カジメ
dâm dục,vi,adjective,/jɤ̆m˧˥ juk͡p˨ˀ˩ʔ/,oubbb,lewd,わいせつ,fólks,is,noun,/foul̥ks/,oubbb,people,人
surkea,fi,adjective,/ˈsurkeɑ/,uøɑ,puny,ちっぽけな,sous-payât,fr,adjective,/supejɑ/,uøɑ,sub-scan,サブスキャン
puutiainen,fi,verb,/ˈpuutiˌɑinen/,uuyɑyøm,tick,ティック,Krepppapieren,de,noun,/kɾɛpppɑˈpiːɾen/,œbbɑyøm,Crepe papers,クレープペーパー
진드기,ko,verb,/t͡ɕindɯɡi/,bymuy,mite,ダニ,كسيمفوني,ar,noun,/kasiːmfuːnijj/,ɶymuy,Camvoni,カムボーニ
kräkas,sv,verb,/krɛːks/,œbb,vomit,吐瀉物,nets,en,noun,/ˈnɛts/,œbb,nets,ネット
vomir,fr,verb,/vɔmiʁ/,ɔyb,To vomit,嘔吐する,longleaf,en,noun,/ˈɫɔŋˌɫif/,ɔyb,longleaf,ロングリーフ
vomit,en,verb,/ˈvɑmət/,ɑəb,vomit,吐瀉物,Schlages,de,noun,/ˈʃlɑːgəs/,ɑəb,Blow,吹く
fasole,ro,adjective,/fasole/,ɶoø,beans,豆,kaose,eo,noun,/kaose/,ɶoø,chaos,混沌
تجاوز,ar,verb,/tadʒaːwaza/,ɶɶɶɶ,Override,オーバーライド,mohatrada,es,verb,/moatɾaða/,oɶɶɶ,Mohatrada,モハトラダ
outrun,en,verb,/aʊˈtɹən/,ɶʊəm,outrun,アウトラン,Frauen,de,noun,/fʀaʊən/,ɶʊəm,Women,女性
dépasser,fr,verb,/depase/,øɶø,exceed,超えた,legate,eo,verb,/legate/,øɶø,Legate,Legate
adaptable,fr,adjective,/adaptabl/,ɶɶbɶbb,adaptable,適応可能,tam giác đạc,vi,verb,/tam˧˥ jak˦˥ dak˨ˀ˩ʔ/,ɶɶbɶbb,triangle,三角形
Mandoline,de,adjective,/mandoˈliːnə/,ɶmoyə,mandolin,マンドリン,phéc-mơ-tuya,vi,noun,/fɛk˦˥-mɤ˧˥-twiə˧˥/,œboyə,Flats,フラット
kedudukan,id,verb,/kədudukan/,əuuɶm,position,位置,아무르강,ko,noun,/a̠muɾɯɡa̠ŋ/,ɶuuɶm,Amur River,アミュール川
seisova,fi,verb,/ˈseisovɑ/,øyoɑ,standing,立っている,ankylosant,fr,verb,/ɑ̃kilozɑ̃/,ɑyoɑ,nagging,しつこい
الوقوف,ar,verb,/aːlwuquːf/,ɶuub,stand up,立ち上がる,caoutchoute,fr,noun,/kautʃut/,ɶuub,rubber,ゴム
afacere,ro,adjective,/afatʃere/,ɶɶøø,business,仕事,enralecer,es,verb,/enraleθeɾ/,øɶøø,Enralde,エンラルデ
공군,ko,verb,/ko̞ŋɡun/,omum,air Force,空軍,trợn trừng,vi,verb,/ʈɤŋ˨ˀ˩ʔ ʈɯŋ˦˨/,omum,widen,広がります
flugherinn,is,verb,/flʏɣhɛrɪn/,bʏœʏm,air force,空軍,白血病,zh-cn,noun,/paɪ˧˥ ɕɥœ˥˩ pɪŋ˥˩/,ɶʏœʏm,leukemia,白血病
không quân,vi,verb,/xoŋ͡m˧˥ wɤ̆ŋ˧˥/,omom,air Force,空軍,tomtom,fi,noun,/ˈtomtom/,omom,tom-tom,トムトム
bitten,en,verb,/ˈbɪtən/,ʏəm,bitten,噛まれた,Tischen,de,noun,/ˈtɪʃən/,ʏəm,Tables,テーブル
used,en,verb,/ˈjuzd/,ubb,used,使用済み,lux,ro,noun,/luks/,ubb,luxury,贅沢
가치,ko,adjective,/ka̠t͡ɕʰi/,ɶby,value,価値,dați,ro,verb,/datsʲ/,ɶby,Dates,日付
يستحق,ar,adjective,/jastaħiqq/,ɶbɶybb,Deserves,ふさわしい,massakrierst,de,noun,/maszakˈɾiːɾst/,ɶbɶybb,massacre,虐殺
回避,zh-cn,verb,/xweɪ˧˥ pi˥˩/,øʏy,avoid,避ける,daley,en,noun,/ˈdeɪɫi/,øʏy,daley,デイリー
evaziv,ro,adjective,/evaziv/,øɶyb,elusive,とらえどころのない,separiert,de,verb,/zeˈpaɽiːɾt/,øɶyb,separate,分ける
begrava,sv,verb,/bɛgr'ɑːvɛr/,œɑœ,bury,埋め込む,incendiai,fr,verb,/ɛ̃sɑ̃djɛ/,œɑœ,undernocked,閉じ込められていない
chôn,vi,verb,/coŋ͡m˧˥/,omm,bury,埋め込む,domn,ro,noun,/domn/,omm,gentleman,紳士
haudata,fi,verb,/ˈhɑudɑtɑ/,ɑuɑɑ,bury,埋め込む,ébouillantant,fr,noun,/ebujɑ̃tɑ̃/,øuɑɑ,garbage,ごみ
hủy hoại,vi,verb,/huj˧˩˨ hwaj˨ˀ˩ʔ/,uɶb,destroy,破壊する,سعال,ar,noun,/suʕaːl/,uɶb,Cough,咳
破坏,zh-cn,verb,/pʰɔ˥˩ xuaɪ˥˩/,ɔuɶʏ,destroy,破壊する,Árvakur,is,adjective,/aurvakʏr/,ɶuɶʏ,Watchful,注意深い
destruir,es,verb,/destɾwiɾ/,øby,destroy,破壊する,sexy,ro,verb,/seksi/,øby,sexy,セクシー
هدم,ar,verb,/hadama/,ɶɶɶ,destroy,破壊する,hacana,ro,noun,/hakana/,ɶɶɶ,Hacana,ハカナ
lounge,en,verb,/ˈɫaʊndʒ/,ɶʊmb,lounge,ラウンジ,Wachhund,de,noun,/ˈvaxʊnt/,ɶʊmb,guard dog,ガードドッグ
astua,fi,verb,/ˈɑstuɑ/,ɑbuɑ,step,ステップ,embrouillements,fr,noun,/ɑ̃bʁujmɑ̃/,ɑbuɑ,confusion,錯乱
schreiten,de,verb,/ʃˈɾəiːtən/,əyəm,walk,歩く,urian,en,noun,/ˈjɝiən/,əyəm,urian,ウリアン
surveillance,fr,verb,/syʁvɛjɑ̃s/,ybœɑb,surveillance,監視,Mietvertrag,de,noun,/ˈmiːtvɛɾtɾɑk/,ybœɑb,rental contract,賃貸借契約
giám sát,vi,verb,/jam˩˧ ʂak˦˥/,ɶɶb,monitoring,モニタリング,lalat,id,verb,/lalat/,ɶɶb,fly,飛ぶ
pemantauan,id,verb,/pəmantauan/,əɶmɶuɶm,monitoring,モニタリング,cộng hoà tư sản,vi,noun,/koŋ͡m˨ˀ˩ʔ hwa˦˨ tɯ˧˥ ʂaŋ˧˩˨/,ommɶuɶm,bourgeois Republic,ブルジョア共和国
يراقب,ar,verb,/juraːqib/,uɶyb,Monitor,モニター,bourratif,fr,verb,/buʁatif/,uɶyb,grunt,うなり声
监视,zh-cn,verb,/tɕjɛn˥˥ ʂɚ˥˩/,bœə,Monitor,モニター,fletsche,de,adjective,/ˈflɛʧə/,bœə,flug,互いに
salt,sv,adjective,/salːt/,ɶbb,salt,塩,Akt,de,noun,/ˈʔakt/,ɶbb,act,行為
asin,id,adjective,/asin/,ɶym,salty,塩辛い,画因,ja,noun,/gaiɴ/,ɶym,art motif,画因
짠,ko,adjective,/t͡ɕ͈a̠n/,bɶm,braided,編組,clan,es,verb,/klan/,bɶm,clan,一族
gătit,ro,adjective,/ɡətit/,əyb,cooked,調理済み,setip,id,adjective,/sətip/,əyb,as thin,薄い
cooking,en,verb,/ˈkʊkɪŋ/,ʊʏm,cooking,料理,荣膺,zh-cn,verb,/ʐʊŋ˧˥ ɪŋ˥˥/,ʊʏm,Be honored,光栄です
cuisine,fr,verb,/kɥizin/,yym,kitchen,キッチン,ký-ninh,vi,verb,/ki˩˧-nin˧˥/,yym,Sign,サイン
طبخ,ar,verb,/tˤabaxa/,ɶɶɶ,cooking,料理,abattages,fr,noun,/abataʒ/,ɶɶɶ,slaughter,虐殺
anghinare,ro,adjective,/angʲ̩inare/,ɶmyyɶø,artichoke,アーティチョーク,evaporizarse,es,verb,/eβapoɾiθaɾse/,øɶoyɶø,evaporate,蒸発します
kronärtskocka,sv,verb,/²kr'uːnäʈʂkɔkːa/,umɔɶ,artichoke,アーティチョーク,문서화,ko,noun,/munsʰʌ̹βwa̠/,umɔɶ,Documentation,ドキュメンテーション
인쇄,ko,verb,/insʰwɛ̝/,ymœ,print,印刷,vinbär,sv,adjective,/v'iːnbɛːr/,ymœ,currant,カラント
printing,en,verb,/ˈpɹɪnɪŋ/,ʏʏm,printing,印刷,龂龂,zh-cn,verb,/ɪn˧˥ ɪn˧˥/,ʏʏm,Bleak,暗い
alkaa,fi,verb,/ˈɑlkɑɑ/,ɑbɑɑ,start,始める,engrangement,fr,adjective,/ɑ̃gʁɑ̃ʒmɑ̃/,ɑbɑɑ,garnish,ガーニッシュ
开始,zh-cn,verb,/kʰaɪ˥˥ ʂɚ˨˩˦/,ɶʏə,start,始める,briner,en,noun,/ˈbɹaɪnɝ/,ɶʏə,briner,ブリナー
empezar,es,verb,/empeθaɾ/,ømøɶ,start,始める,禅寺,ja,noun,/zeɴdeɾa/,ømøɶ,Zen temple,禅寺
preserves,en,verb,/pɹəˈzɝvz/,əəbb,preserves,ジャム,begebt,de,verb,/bəgəˈpt/,əəbb,sought -after,引っ張りだこ
säilytys,fi,verb,/ˈsæilytys/,æyyyb,preservation,保存,définitif,id,noun,/definitif/,øyyyb,definitive,決定的
eyða,is,verb,/eiːða/,øyɶ,spend,費やす,dévisa,id,noun,/devisa/,øyɶ,foreign exchange,外国為替
낭비,ko,verb,/na̠ŋbi/,ɶmy,waste,廃棄物,ننكه,ar,noun,/nankih/,ɶmy,Nink it,ニンクします
طبخ,ar,verb,/tˤabaxa/,ɶɶɶ,cooking,料理,khái quát hoá,vi,verb,/xaj˩˧ wak˦˥ hwa˩˧/,ɶɶɶ,generalize,一般化します
cooking,en,verb,/ˈkʊkɪŋ/,ʊʏm,cooking,料理,烘影,zh-cn,noun,/xʊŋ˥˥ ɪŋ˨˩˦/,ʊʏm,Baking,ベーキング
nấu nướng,vi,verb,/nɤ̆w˩˧ nɯəŋ˩˧/,ouəm,cooking,料理,notulen,id,noun,/notulən/,ouəm,Minutes,分
cuisine,fr,verb,/kɥizin/,yym,kitchen,キッチン,임인,ko,noun,/imin/,yym,Person,人
hormiga,es,verb,/oɾmiɣa/,oyɶ,ant,蟻,コシダ,ja,noun,/koɕida/,oyɶ,Koshida,コシダ
apostar,es,verb,/apostaɾ/,ɶobɶ,bet,ベット,bạo hổ bằng hà,vi,noun,/baw˨ˀ˩ʔ ho˧˩˨ băŋ˦˨ ha˦˨/,ɶobɶ,Tiger violence,虎の暴力
إيقاف,ar,verb,/ʔiːqaːf/,yɶb,turning off,オフになります,fouinâtes,fr,adjective,/fwinat/,yɶb,crazy,クレイジー
tangkai,id,verb,/taŋkai/,ɶmɶy,stalk,茎,تنثني,ar,verb,/tanθaniː/,ɶmɶy,Penetrate,浸透します
stam,sv,verb,/stamː/,bɶm,tribe,部族,ジャーン,ja,noun,/dʑaːɴ/,bɶm,Jarn,ジャーン
stem,en,verb,/ˈstɛm/,bœm,stem,幹,frêne,fr,noun,/fʁɛn/,bœm,ash,灰
þreyttur,is,adjective,/θreihtʏr/,øyʏ,tired,疲れた,demütig,de,,/ˈdeːmytɪç/,øyʏ,humble,謙虚
疲れた,ja,verb,/tsɯkaɾeta/,buɶøɶ,tired,疲れた,bombarderar,sv,noun,/bɔmbaɖ'eːrar/,ɔmɶøɶ,bombing,爆撃
tired,en,adjective,/ˈtaɪɝd/,ɶʏəb,tired,疲れた,heikel,de,noun,/ˈhaɪ̯kəl/,ɶʏəb,delicacy,繊細さ
飯場,ja,verb,/haɴba/,ɶmɶ,bunkhouse,飯場,vankar,sv,noun,/²v'aŋːkar/,ɶmɶ,Vanks,バンク
