request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
courageous,en,adjective,/kɝˈeɪdʒəs/,əøʏəb,courageous,勇気のある,generisches,de,adjective,/gəˈneːɾɪʃəs/,əøʏəb,generic,ジェネリック
einlægur,is,adjective,/einlaiɣʏr/,øymɶyʏ,sincere,誠実,antirachitisch,de,,/ˈʔanˌtiːɾaxitɪʃ/,ɶmyɶyʏ,anti -rachitic,抗ラキチック
誠実,ja,adjective,/seidʑitsɯ/,øybybu,sincerity,誠実,ihmiskirppu,fi,noun,/ˈihmisˌkirppu/,yybybu,human flea,人間のノミ
sincères,fr,adjective,/sɛ̃sɛʁ/,œœb,sincere,誠実,깰깩,ko,verb,/k͈ɛ̝ɭk͈ɛ̝k̚/,œœb,Wake up,起きろ
vilpitön,fi,adjective,/ˈvilpitøn/,ybyøm,sincere,誠実,tripliquen,es,verb,/tɾipliken/,ybyøm,Tripliquen,三級
rejoindre,fr,verb,/ʁəʒwɛ̃dʁ/,əœbb,rejoin,再会,berlet's,en,noun,/ˈbɝˈɫɛts/,əœbb,berlet's,ベルレット
انضم,ar,verb,/indˤamma/,ymɶmɶ,join,加入,인상파,ko,noun,/insʰa̠ŋpʰa̠/,ymɶmɶ,Impressionist,印象派
join,en,verb,/ˈdʒɔɪn/,ɔʏm,join,加入,borrning,sv,noun,/b'ɔrːnɪŋ/,ɔʏm,Drilling,掘削
simplify,en,verb,/ˈsɪmpɫəˌfaɪ/,ʏməɶʏ,simplify,簡素化する,Österreich,de,noun,/ˈøːstəʁaɪç/,øbəɶʏ,Austria,オーストリア
menyederhanakan,id,verb,/məɲədərhanakan/,əəəɶɶɶm,simplify,簡素化する,魚雷発射管,ja,noun,/gjoɾaihaɕːakaɴ/,oɶyɶɶɶm,Torpedo launch pipe,魚雷発射管
يختار,ar,verb,/jaxtaːr/,ɶbɶ,Choose,選ぶ,ガチャ,ja,noun,/gatɕa/,ɶbɶ,Gacha,ガチャ
选择,zh-cn,verb,/ɕɥœn˨˩˦ tsɤ˧˥/,œmbo,choose,選ぶ,냉초,ko,noun,/nɛ̝ŋt͡ɕʰo̞/,œmbo,Chiller,チラー
elegir,es,verb,/elexiɾ/,øøy,to choose,選択する,régrési,id,noun,/regresi/,øøy,regression,回帰
mengakui,id,verb,/məŋakui/,əɶuy,confess,告白する,desaturdir,es,verb,/desatuɾðiɾ/,øɶuy,Desaturdir,desaturdir
agnoski,eo,verb,/agnoski/,ɶboby,to acknowledge,認める,absolví,es,verb,/aβsoˈlβi/,ɶboby,Absavi,アブサビ
承认,zh-cn,verb,/ʈʂʰɤŋ˧˥ ʐən˥˩/,oəm,admit,認める,gorden,id,noun,/gordən/,oəm,curtain,カーテン
erkänna,sv,verb,/²'eːrɕɛnːɛr/,øœœ,admit,認める,décaissai,fr,verb,/dekɛsɛ/,øœœ,disbursed,支払った
recunoaște,ro,verb,/rekunŏaʃte/,øuɶø,recognize,認識,đa mưu đa kế,vi,noun,/da˧˥ mɯw˧˥ da˧˥ ke˩˧/,ɶuɶø,Multi -plans,マルチプラン
admitir,es,verb,/aðmitiɾ/,ɶbyy,admit,認める,hạ nghị sĩ,vi,noun,/ha˨ˀ˩ʔ ŋi˨ˀ˩ʔ ʂi˧˩˨/,ɶbyy,Congressman,下院議員
塩辛い,ja,verb,/ɕiokaɾai/,yoɶɶy,Spicy,塩辛い,小儿麻痹,zh-cn,noun,/ɕjɑʊ˨˩˦ aɻ˧˥ ma˧˥ pi˥˩/,ɑʊɶɶy,Puzzle,パズル
asin,id,adjective,/asin/,ɶym,salty,塩辛い,Kamin,de,noun,/kaˈmiːn/,ɶym,Chimney,煙突
saltur,is,adjective,/sal̥tʏr/,ɶbʏ,salty,塩辛い,Nachtisch,de,noun,/ˈnaxˌtɪʃ/,ɶbʏ,Dessert,デザート
مالح,ar,adjective,/maːliħ/,ɶyb,salty,塩辛い,David,eo,noun,/david/,ɶyb,David,デビッド
casarse,es,verb,/kasaɾse/,ɶɶø,get marry,結婚する,pavare,ro,noun,/pavare/,ɶɶø,pavement,舗装
energisk,sv,adjective,/ɛn'ɛrːgɪsk/,œœʏbb,energetic,エネルギッシュ,RMiste,fr,noun,/ɛʁɛmɪst/,œœʏbb,Rmist,rmist
énergique,fr,adjective,/enɛʁʒik/,øœyb,energetic,エネルギッシュ,Fehlerbit,de,verb,/felɛɾˈbiːt/,øœyb,Error bit,エラービット
energinen,fi,adjective,/ˈenerˌginen/,øøyøm,energetic,エネルギッシュ,delegieren,de,verb,/deleˈgiːɾen/,øøyøm,delegate,委任
do dự,vi,adjective,/jɔ˧˥ jɯ˨ˀ˩ʔ/,ɔub,hesitant,ためらう,어둑,ko,verb,/ʌ̹duk̚/,ɔub,Dim,薄暗い
hezitema,eo,adjective,/hezitema/,øyøɶ,hesitant,ためらう,alinéa,id,noun,/alinea/,ɶyøɶ,paragraph,段落
犹豫,zh-cn,verb,/joʊ˧˥ y˥˩/,oʊy,hesitate,躊躇,oldie,en,noun,/ˈoʊɫdi/,oʊy,oldie,オールディー
vapina,fi,adjective,/ˈvɑpinɑ/,ɑyɑ,tremor,身震い,entubant,fr,adjective,/ɑ̃tybɑ̃/,ɑyɑ,stubborn,頑固
run rẩy,vi,adjective,/ʐuŋ͡m˧˥ ʐɤ̆j˧˩˨/,umo,trembling,震え,hundo,es,verb,/undo/,umo,I have,私は持っている
zittern,de,verb,/ˈtsɪtɛɾn/,bʏœm,tremble,震える,st,sv,noun,/st'ʏkːɛn/,bʏœm,st,st
يرتعش,ar,adjective,/jartaʕiʃ/,ɶɶy,Tremble,震える,apati,sv,noun,/apat'iː/,ɶɶy,apathy,無関心
temblar,es,verb,/temblaɾ/,ømbɶ,tremble,震える,レンジャー,ja,noun,/ɾeɴdʑaː/,ømbɶ,Ranger,レンジャー
震える,ja,verb,/ɸɯɾɯeɾɯ/,uuøu,Tremble,震える,à tous les coups,fr,noun,/atuleku/,ɶuøu,every time,毎回
keras,id,adjective,/kəras/,əɶb,hard,難しい,tăiat,ro,verb,/təjat/,əɶb,cut,切る
보고서,ko,verb,/po̞ɡo̞sʰʌ̹/,ooɔ,report,報告,rắc rối tơ vò,vi,noun,/ʐăk˦˥ ʐoj˩˧ tɤ˧˥ jɔ˦˨/,ooɔ,The silk trouble,絹のトラブル
laporan,id,verb,/laporan/,ɶoɶm,report,報告,가로망,ko,noun,/ka̠ɾo̞ma̠ŋ/,ɶoɶm,Horizontal network,水平ネットワーク
împrăștiat,ro,verb,/ɨmprəʃtijat/,ʉməyɶb,scattered,散らばっている,contresignâtes,fr,noun,/kɔ̃tʁəsiɲat/,ɔbəyɶb,countersign,countersign
rải rác,vi,verb,/ʐaj˧˩˨ ʐak˦˥/,ɶɶb,scattered,散らばっている,barkass,sv,verb,/bark'asː/,ɶɶb,launch,発売
مبعثر,ar,verb,/mubaʕθar/,uɶbɶ,Scattered,散らばっている,ngũ giác đài,vi,noun,/ŋu˧˩˨ jak˦˥ daj˦˨/,uɶbɶ,pentagon,五角形
khoe khoang,vi,adjective,/xwe˧˥ xwaŋ˧˥/,øɶm,brag,自慢,Seemann,de,noun,/ˈzeːman/,øɶm,sailor,船乗り
멋진,ko,adjective,/mʌ̹t̚t͡ɕ͈in/,ɔbbym,Cool,涼しい,học chính,vi,noun,/hɔk͡p˨ˀ˩ʔ cin˩˧/,ɔbbym,main study,主な研究
فاخر,ar,adjective,/faːxara/,ɶɶɶ,deluxe,デラックス,à la carte,sv,noun,/alak'aʈː/,ɶɶɶ,à la carte,アラカルト
onnistunut,fi,adjective,/ˈonnisˌtunut/,omybuub,successful,成功,لكورفسقفوس,ar,noun,/likuːrfisqufuːs/,yuybuub,For Corvehsafus,Corvehsafusの場合
kiljua,fi,adjective,/ˈkiljuɑ/,yuɑ,squeal,鳴き声,cibula,en,noun,/tʃiˈbuɫɑ/,yuɑ,cibula,王室
비명,ko,adjective,/pimjʌ̹ŋ/,yɔm,scream,悲鳴,gigogne,fr,adjective,/ʒigɔɲ/,yɔm,tiny,小さな
avsikt,sv,verb,/²'ɑːvsɪkːt/,ɑbʏbb,intention,目的,rosneft,en,noun,/ˈɹɑznɪft/,ɑbʏbb,rosneft,ロスネフチ
의도하다,ko,verb,/ɰido̞ɦa̠da̠/,yoɶɶ,Intend,意図する,anormala,eo,adjective,/anormala/,ɶoɶɶ,an abnormal,異常
intention,fr,verb,/ɛ̃tɑ̃sjɔ̃/,œɑɔ,intention,目的,messamore,en,verb,/mɛˈsɑmɔɹ/,œɑɔ,messamore,メッソモア
intend,en,verb,/ˌɪnˈtɛnd/,ʏmœmb,intend,意図する,innbrennt,is,verb,/ɪmprɛn̥t/,ʏmœmb,broken,壊れた
haukkua,fi,verb,/ˈhɑukˌkuɑ/,ɑubuɑ,bark,吠える,froufroutants,fr,noun,/fʁufʁutɑ̃/,bubuɑ,frills,フリル
höggva,is,verb,/hœkva/,œbɶ,chop,チョップ,phép nhà,vi,noun,/fɛp˦˥ ɲa˦˨/,œbɶ,house,家
hacken,de,verb,/hækən/,æəm,chop,チョップ,packham,en,noun,/ˈpækhəm/,æəm,packham,パックハム
armonios,ro,adjective,/armonios/,ɶoyob,harmonious,調和,Pornokinos,de,noun,/ˈpɔɾnokinos/,ɔoyob,Porn cinema,ポルノ映画
harmonious,en,adjective,/hɑɹˈmoʊniəs/,ɑoʊyəb,harmonious,調和,masturbiertet,de,verb,/mastʊɾˈbiːɾtət/,ɶbʊyəb,masturbated,自慰行為
harmonis,id,adjective,/harmonis/,ɶoyb,harmonious,調和,galofil,ro,noun,/ɡalofil/,ɶoyb,gallophil,絞首台
harmonia,eo,adjective,/harmonia/,ɶoyɶ,harmonious,調和,좁히다,ko,adjective,/t͡ɕo̞pʰida̠/,boyɶ,make narrow,狭くする
愤怒,zh-cn,verb,/fən˥˩ nu˥˩/,əmu,anger,怒り,undue,en,adjective,/ənˈdu/,əmu,undue,過度
ilsken,sv,verb,/²'ɪlːskɛn/,ʏbbœm,Angry,怒り,Schnüfflern,de,noun,/ˈʃnʏfflɛɾn/,ʏbbœm,Sniff,スニッフ
iritat,ro,verb,/iritat/,yyɶb,peevishly,ピーヴィッシュに,dipijak,id,noun,/dipidʒaʔ/,yyɶb,SEPED,seped
skrika,sv,adjective,/skr'iːkɛr/,byœ,scream,悲鳴,찌개,ko,noun,/t͡ɕ͈iɡɛ̝/,byœ,soup,スープ
비명,ko,adjective,/pimjʌ̹ŋ/,yɔm,scream,悲鳴,Símon,is,noun,/siːmɔn/,yɔm,Simon,サイモン
skicklig,sv,adjective,/²ɧ'ɪkːlɪg/,ʏbʏb,skilled,熟練,witzig,en,noun,/ˈwɪtzɪɡ/,ʏbʏb,witzig,witzig
hábil,es,adjective,/ˈaβil/,ɶyb,skilled,熟練,arkiv,sv,noun,/ark'iːv/,ɶyb,file,ファイル
abil,ro,adjective,/abil/,ɶyb,skillful,熟練,lærð,is,noun,/lairð/,ɶyb,scholar,学者
kunnátta,is,adjective,/kʰʏnauhta/,ʏɶuɶ,skill,スキル,tezaurar,ro,adjective,/tezaurar/,øɶuɶ,treasury,財務省
震える,ja,verb,/ɸɯɾɯeɾɯ/,uuøu,Tremble,震える,deuteriu,ro,noun,/deuterju/,øuøu,deuterium,重水素
inteligente,es,adjective,/intelixente/,ymøyømø,intelligent,知的,妖怪変化,ja,noun,/joɯkaiheɴge/,ouɶyømø,Change of youkai,妖怪変化
idiot,ro,verb,/idiot/,yyob,idiotic,ばかげています,Idiot,de,noun,/ʔiˈdi̯oːt/,yyob,idiot,愚か者
crédible,fr,adjective,/kʁedibl/,bøybb,credible,信頼できる,bleikt,is,adjective,/pleixt/,bøybb,pink,ピンク
credible,en,adjective,/ˈkɹɛdəbəɫ/,œəə,credible,信頼できる,ächtete,de,verb,/ˈʔɛçtətə/,œəə,ousted,追放された
trúverðugt,is,adjective,/tʰruːvɛrðʏxt/,uœʏbb,credible,信頼できる,eugenics,en,noun,/juˈdʒɛnɪks/,uœʏbb,eugenics,優生学
anta,sv,verb,/²'anːtɑːr/,ɶmɑ,adopt,採用,ansah,de,verb,/ˈʔanˌzɑː/,ɶmɑ,looked,見た
adoptar,es,verb,/aðoptaɾ/,ɶobɶ,to adopt,採用する,カボチャ,ja,noun,/kabotɕa/,ɶobɶ,Pumpkin,カボチャ
adopter,fr,verb,/adɔpte/,ɶɔbø,adopt,採用,산업계,ko,noun,/sʰa̠nʌ̹p̚k͈je̞/,ɶɔbø,Industry,業界
قديم,ar,adjective,/qadiːm/,ɶym,Old,年,khóa sinh,vi,verb,/xwa˩˧ ʂin˧˥/,ɶym,lock,ロック
vechi,ro,adjective,/vekʲ̩ʲ/,øyy,old,年,精義,ja,noun,/seigi/,øyy,Consciousness,精義
maljuna,eo,adjective,/maljuna/,ɶuɶ,old,年,harbulla,es,verb,/aɾβuʎa/,ɶuɶ,Harbulla,ハルブラ
menghadiri,id,verb,/məŋhadiri/,əɶyy,attend,出席,بلاتيني,ar,noun,/blaːtiːniː/,bɶyy,Platini,プラチーニ
参加,zh-cn,verb,/tsʰan˥˥ tɕja˥˥/,bɶmbɶ,join,加入,spanska,sv,adjective,/²sp'anːska/,bɶmbɶ,Spanish,スペイン語
närvara,sv,verb,/²n'ɛːrvɑːra/,œɑɶ,attend,出席,incendia,fr,noun,/ɛ̃sɑ̃dja/,œɑɶ,incendia,インセンディア
変更可能,ja,adjective,/heɴkoɯkanoɯ/,ømouɶou,Can be changed,変更可能,로스또브-나-도누,ko,noun,/ɾo̞sʰɯt͈o̞bɯ-na̠-do̞nu/,ououɶou,Ross Tob-Me-Donu,ロス・トブ・ミー・ドヌ
markiert,de,verb,/maɾˈkiːɾt/,ɶyb,marked,マークされた,fædd,is,verb,/fait/,ɶyb,born,生まれ
marcat,ro,verb,/markat/,ɶɶb,marked,マークされた,سأغد,ar,noun,/saʔaɣd/,ɶɶb,I will be tomorrow,私は明日になります
marked,en,verb,/ˈmɑɹkt/,ɑbb,marked,マークされた,valt,sv,verb,/vɑːlt/,ɑbb,Selected,選択しました
作る,ja,verb,/tsɯkɯɾɯ/,buuu,make,作る,sivuluku,fi,noun,/ˈsivuˌluku/,yuuu,side number,サイド番号
صنع,ar,verb,/sˤanaʕa/,ɶɶɶ,Manufacture,製造,马大哈,zh-cn,noun,/ma˨˩˦ ta˥˩ xa˥˥/,ɶɶɶ,careless,不注意
make,en,verb,/ˈmeɪk/,øʏb,make,作る,قيظ,ar,noun,/qeɪðˤ/,øʏb,Heat,熱
synonymous,en,adjective,/səˈnɑnəməs/,əɑəəb,synonymous,同義語,gebratenes,de,verb,/gəˈbrɑːtənəs/,əɑəəb,fried,揚げた
مرادف,ar,adjective,/muraːdif/,uɶyb,synonymous,同義語,bourrative,fr,verb,/buʁativ/,uɶyb,boring,つまらない
sinonimo,eo,adjective,/sinonimo/,yoyo,synonym,,愈々,ja,noun,/ijoijo/,yoyo,More and more,愈々
övervaka,sv,verb,/²'øːvɛrvɑːka/,øœɑɶ,monitor,モニター,Kamelhaar,de,noun,/kɑmɛlɑaɽ/,ɑœɑɶ,Camel hair,ラクダの髪
monitor,en,verb,/ˈmɑnətɝ/,ɑəə,monitor,モニター,Pakete,de,noun,/ˈpɑːkətə/,ɑəə,Packages,パッケージ
monitor,id,verb,/monitor/,oyo,monitor,モニター,mordicó,es,verb,/moɾðiˈko/,oyo,bite,一口
판사,ko,verb,/pʰa̠nsʰa̠/,ɶmɶ,judge,ジャッジ,vàng đá,vi,noun,/jaŋ˦˨ da˩˧/,ɶmɶ,stone,結石
bedöma,sv,verb,/bɛd'œmːɛr/,œœœ,assess,評価,애해해,ko,noun,/ɛ̝ɦɛ̝ɦɛ̝/,œœœ,Concerns,懸念
tuomari,fi,verb,/ˈtuomɑri/,uoɑy,judge,ジャッジ,测谎仪,zh-cn,noun,/tsʰɤ˥˩ xwɑŋ˨˩˦ i˧˥/,boɑy,Polygraph,ポリグラフ
ماهر,ar,adjective,/maːhara/,ɶɶɶ,Maher,マハー,braggana,is,noun,/prakana/,ɶɶɶ,roe,卵
taitava,fi,adjective,/ˈtɑitɑvɑ/,ɑyɑɑ,skilful,巧み,dichiara,en,noun,/dɪkiˈɑɹɑ/,ʏyɑɑ,dichiara,ディキアラ
ungur,is,adjective,/uŋkʏr/,umʏ,young,若い,boonville,en,,/ˈbunvɪɫ/,umʏ,boonville,ブーンビル
tineri,ro,adjective,/tinerʲ/,yøy,young people,若者,liquéfies,fr,noun,/likefi/,yøy,liquefies,液化
شكل,ar,verb,/ʃakala/,ɶɶɶ,appearance,外観,马大哈,zh-cn,noun,/ma˨˩˦ ta˥˩ xa˥˥/,ɶɶɶ,careless,不注意
bilden,de,verb,/ˈbɪldən/,ʏbəm,form,形,kitman,en,noun,/ˈkɪtmən/,ʏbəm,kitman,キットマン
endommagé,fr,verb,/ɑ̃dɔmaʒe/,ɑɔɶø,damaged,破損,전람회,ko,noun,/t͡ɕʌ̹ɭɭa̠mɦø̞/,bɔɶø,exhibition,エキシビション
손상,ko,verb,/sʰo̞nsʰa̠ŋ/,omɶm,damaged,破損,呑酸,ja,noun,/doɴsaɴ/,omɶm,Drink,呑酸
skemmd,is,verb,/scɛmt/,œmb,damage,ダメージ,höns,sv,noun,/hœnːs/,œmb,chicken,チキン
beschädigt,de,verb,/bəˈʃɛːdɪkt/,əœʏbb,damaged,破損,generics,en,noun,/dʒəˈnɛɹɪks/,əœʏbb,generics,ジェネリック
læsa,is,verb,/laiːsa/,ɶyɶ,lock,ロック,affinât,fr,noun,/afina/,ɶyɶ,affinât,affinât
kunci,id,verb,/kuntʃi/,umy,key,鍵,근시,ko,verb,/kɯnɕʰi/,umy,nearsighted,近視
sperren,de,verb,/ˈʃpɛʁən/,œəm,lock out,ロックアウト,jessen,en,noun,/ˈdʒɛsən/,œəm,jessen,ジェセン
bloquer,fr,verb,/blɔke/,bɔø,to block,封鎖する,철회,ko,noun,/t͡ɕʰʌ̹ɾɦø̞/,bɔø,Withdrawal,撤退
pieni,fi,adjective,/ˈpieni/,yøy,small,小さな,simétri,id,noun,/simetri/,yøy,symmetry,対称
malgranda,eo,adjective,/malgranda/,ɶbɶmɶ,small,小さな,낙산사,ko,noun,/na̠ks͈a̠nsʰa̠/,ɶbɶmɶ,Naksansa Temple,ナクサンサ寺院
meramalkan,id,verb,/məramalkan/,əɶɶbɶm,predicted,予測されました,placardâmes,fr,noun,/plakaʁdam/,bɶɶbɶm,closet,クローゼット
memulai,id,verb,/məmulai/,əuɶy,start,始める,知书达理,zh-cn,verb,/ʈʂɚ˥˥ ʂu˥˥ ta˧˥ li˨˩˦/,əuɶy,Zhishu,zhishu
激发,zh-cn,verb,/tɕi˥˥ fa˥˥/,byɶ,excitation,励起,時華,ja,noun,/dʑika/,byɶ,Time of the time,時華
일으키다,ko,verb,/iɾɯkçida̠/,yuyɶ,Raise,高める,汗如雨下,zh-cn,noun,/xan˥˩ ʐu˧˥ y˨˩˦ ɕja˥˩/,ɶuyɶ,Under the rain,雨の下
excitar,es,verb,/eksθitaɾ/,øbbyɶ,excite,エキサイト,extirpa,ro,verb,/ekstirpa/,øbbyɶ,remove,削除する
gustos,ro,adjective,/ɡustos/,ubob,tasty,美味しい,mullos,fi,noun,/ˈmullos/,ubob,mull,マル
tasty,en,adjective,/ˈteɪsti/,øʏby,tasty,美味しい,归去,zh-cn,verb,/kweɪ˥˥ tɕʰy˥˩/,øʏby,Go back,戻る
ngon,vi,adjective,/ŋɔŋ͡m˧˥/,ɔmm,yummy,うまい,Bonn,de,noun,/ˈbɔnn/,ɔmm,Bonn,ボン
regel,sv,verb,/²r'eːgɛl/,øœb,rule,ルール,혜택,ko,noun,/çje̞tʰɛ̝k̚/,øœb,Benefits,利点
규칙,ko,verb,/kjut͡ɕʰik̚/,ubyb,rule,ルール,تلئك,ar,verb,/tulʔik/,ubyb,Recite,暗唱します
aturan,id,verb,/aturan/,ɶuɶm,rule,ルール,가스랑,ko,noun,/ka̠sʰɯɾa̠ŋ/,ɶuɶm,Gas,ガス
qui định,vi,verb,/wi˧˥ din˨ˀ˩ʔ/,yymb,regulations,規則,لسمط,ar,noun,/lisimtˤ/,yymb,To hem,裾に
tyst,sv,adjective,/tʏsːt/,ʏbb,silent,静けさ,builds,en,verb,/ˈbɪɫdz/,ʏbb,builds,ビルド
هادئ,ar,adjective,/haːdiʔ/,ɶyb,calm,落ち着いて,깔깃,ko,adjective,/k͈a̠ɭɡit̚/,ɶyb,bedding,寝具
hiljainen,fi,adjective,/ˈhiljɑinen/,yɑyøm,quiet,静かな,glasieren,de,verb,/glɑˈziːɾen/,bɑyøm,glaze,釉薬
thẩm phán,vi,verb,/tʰɤ̆m˧˩˨ faŋ˩˧/,omɶm,judge,ジャッジ,撑伞,zh-cn,noun,/ʈʂʰɤŋ˥˥ san˨˩˦/,omɶm,Umbrella,傘
hakim,id,verb,/hakim/,ɶym,judge,ジャッジ,patine,fr,noun,/patin/,ɶym,patina,緑青
ワイプ,ja,verb,/ɰᵝaipɯ/,ɶyu,wipe,ワイプ,ولبرش,ar,verb,/waliburʃ/,ɶyu,And to spread,そして広がる
wipe,en,verb,/ˈwaɪp/,ɶʏb,wipe,ワイプ,Patrick,de,noun,/ˈpatɾɪk/,ɶʏb,Patrick,パトリック
menghapus,id,verb,/məŋhapus/,əɶub,delete,消去,pătratul,ro,noun,/pətratul/,əɶub,square,四角
mạnh mẽ,vi,adjective,/man˨ˀ˩ʔ mɛ˧˩˨/,ɶmbœ,strong,強い,旦角,zh-cn,verb,/tan˥˩ tɕɥœ˧˥/,ɶmbœ,Horn,ホーン
voimakas,fi,adjective,/ˈvoimɑkɑs/,oyɑɑb,strong,強い,manigançâtes,fr,verb,/manigɑ̃sɑt/,ɶyɑɑb,handling,取り扱い
قوي,ar,adjective,/qaʊiːa/,ɶʊyɶ,strong,強い,redovisa,sv,verb,/²r'eːdʊviːsa/,øʊyɶ,disclose,開示する、明らかにする
大きい,ja,adjective,/ookii/,ooyy,big,大きい,tricolici,ro,noun,/trikolitʃʲ/,yoyy,Tricoli,トリコリ
큰,ko,adjective,/kxɯn/,bum,big,大きい,blum,ro,noun,/blum/,bum,blum,ブラム
