request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
meratapi,id,verb,/məratapi/,əɶɶy,lamenting,嘆き,不寒而栗,zh-cn,verb,/pu˥˩ xan˧˥ aɻ˧˥ li˥˩/,uɶɶy,shudder,震え
hamppu,fi,adjective,/ˈhɑmppu/,ɑmbu,hemp,麻,桄子,zh-cn,noun,/kwɑŋ˥˩ tsɯ˧/,ɑmbu,Tadpole,タドポール
chanvre,fr,adjective,/ʃɑ̃vʁ/,ɑbb,hemp,麻,cobbs,en,verb,/ˈkɑbz/,ɑbb,cobbs,コブス
hemp,en,adjective,/ˈhɛmp/,œmb,hemp,麻,hẹn,vi,noun,/hɛŋ˨ˀ˩ʔ/,œmb,appointment,予定
协调,zh-cn,verb,/ɕjɛ˧˥ tʰjɑʊ˧˥/,œɑʊ,coordination,調整,senator,sv,noun,/²sɛn'ɑːtʊr/,œɑʊ,senator,上院議員
armonizar,es,verb,/aɾmoniθaɾ/,ɶoyɶ,harmonize,調和します,spånskiva,sv,noun,/²sp'oːnɧiːva/,boyɶ,chipboard,チップボード
harmonii,eo,verb,/harmonii/,ɶoyy,to harmonize,調和する,tekosyy,fi,verb,/ˈtekosyy/,øoyy,excuse,言い訳
menyelaraskan,id,verb,/məɲəlaraskan/,əəɶɶbɶm,harmonize,調和します,ستتألم,ar,noun,/satataʔallam/,ɶɶɶɶbɶm,You will be in pain,あなたは痛みを感じます
조화,ko,verb,/t͡ɕo̞βwa̠/,boɶ,Harmony,調和,ståta,sv,noun,/²st'oːta/,boɶ,parade,パレード
samræma,is,verb,/samraima/,ɶɶyɶ,coordinate,座標,깔딱이다,ko,noun,/k͈a̠ɭt͈a̠ɡida̠/,ɶɶyɶ,Fuck,くそ
tammenterho,fi,verb,/ˈtɑmmenˌterho/,ɑmømøo,acorn,ドングリ,diligenciero,es,adjective,/dilixenθjeɾo/,yyømøo,Diligenciero,ディリゲンシエロ
分泌,zh-cn,verb,/fən˥˥ mi˥˩/,əmy,secretion,分泌,pengki,id,adjective,/pəŋki/,əmy,Pengki,ペンキ
aborigen,es,adjective,/aβoɾixen/,ɶoyøm,aboriginal,アボリジニ,絞り弁,ja,noun,/ɕiboɾibeɴ/,yoyøm,Aperture valve,絞り弁
carte,fr,verb,/kaʁt/,ɶbb,map ,地図,باسك,ar,noun,/baːsk/,ɶbb,Pask,パスク
alacena,es,adjective,/alaθena/,ɶɶøɶ,cupboard,食器棚,serbanéka,id,noun,/sərbaneka/,əɶøɶ,Serbanéka,セルバネカ
lố bịch,vi,adjective,/lo˩˧ bit˨ˀ˩ʔ/,oybb,comical,コミカル,ónix,es,noun,/ˈoniks/,oybb,onyx,オニキス
verryttelypuku,fi,verb,/ˈverrytˌtelyˌpuku/,øybøyuu,tracksuit,トラックスーツ,희번지르르,ko,noun,/çibʌ̹nd͡ʑiɾɯɾɯ/,yɔmbyuu,Whisper,ささやきます
tostada,es,adjective,/tostaða/,obɶɶ,toast,トースト,ぼっちゃま,ja,noun,/botɕːama/,obɶɶ,Rabbit,ぼっちゃま
cuchillo,es,adjective,/kutʃiʎo/,uyo,knife,ナイフ,thư ghi số,vi,verb,/tʰɯ˧˥ ɣi˧˥ ʂo˩˧/,uyo,Letter notes,手紙のメモ
limit,en,verb,/ˈɫɪmət/,ʏəb,limit,制限,dürres,de,adjective,/ˈdʏɾɾəs/,ʏəb,drought,干ばつ
한계,ko,verb,/ha̠nɡje̞/,ɶmø,Limit,制限,散華,ja,noun,/saɴge/,ɶmø,Spur,散華
membatasi,id,verb,/məmbatasi/,əmɶɶy,limit,制限,devanagari,es,noun,/deβanaɣaɾi/,øɶɶɶy,Devanagari,デヴァナガリ
capcană,ro,adjective,/kapkanə/,ɶbɶə,trap,トラップ,Bastarde,de,noun,/ˈbastaɾdə/,ɶbɶə,Bastarde,バスタルド
طازج,ar,adjective,/tˤaːzidʒ/,ɶyb,Fresh,新鮮,latid,es,verb,/latið/,ɶyb,LATID,latid
partager,fr,verb,/paʁtaʒe/,ɶbɶø,to share,共有する,gasfrei,de,noun,/ˈgasfɾae/,ɶbɶø,gas -free,ガス - フリー
deila,is,verb,/teiːla/,øyɶ,argue,口論,Kenia,de,noun,/ˈkeːni̯a/,øyɶ,Kenya,ケニア
oktav,sv,verb,/ɔkt'ɑːv/,ɔbɑb,octave,オクターブ,forlances,fr,noun,/fɔʁlɑ̃s/,ɔbɑb,forlance,forlance
premise,en,verb,/ˈpɹɛmɪs/,œʏb,premise,前提,Mail,de,noun,/mɛɪ̯l/,œʏb,Mail,郵便
prémisse,fr,verb,/pʁemis/,bøyb,premise,前提,Kredit,de,noun,/kʁeˈdiːt/,bøyb,credit,クレジット
premisă,ro,adjective,/premisə/,øyə,premise,前提,élite,id,noun,/elitə/,øyə,elite,エリート
lähtökohta,fi,verb,/ˈlæhtøˌkohtɑ/,æøoɑ,starting point,出発点,préchauffant,fr,verb,/pʁeʃofɑ̃/,bøoɑ,preheat,予熱します
ثمين,ar,adjective,/θamiːn/,ɶym,costly,費用がかかります,과신,ko,noun,/kwa̠ɕʰin/,ɶym,overconfidence,自信過剰
precious,en,adjective,/ˈpɹɛʃəs/,œəb,precious,貴重,sähet,de,noun,/ˈzɛːət/,œəb,sewet,SEITET
kallisarvoinen,fi,adjective,/ˈkɑllisɑrˌvoinen/,ɑbyɑoyøm,precious,貴重,applaudieren,de,verb,/ʔapplaoˈdiːɾen/,ɶbbɶoyøm,applaud,拍手
đề cương,vi,verb,/de˦˨ kɯəŋ˧˥/,øuəm,outline,概要,derulăm,ro,verb,/deruləm/,øuəm,rewind,巻き戻し
översikt,sv,verb,/²'øːvɛʂɪkːt/,øœʏbb,overview,概要,Segelschiff,de,noun,/ˈzeːgɛlʃɪff/,øœʏbb,Sailing ship,帆船
부추,ko,verb,/put͡ɕʰu/,ubu,chives,チャイブ,cự phú,vi,adjective,/kɯ˨ˀ˩ʔ fu˩˧/,ubu,rich,リッチ
كراث,ar,verb,/karraːθ/,ɶɶb,Dehydration,脱水,Rabatt,de,noun,/ʀaˈbat/,ɶɶb,Discount,割引
الطائش,ar,adjective,/aːltˤaːʔiʃ/,ɶbɶy,Recklessness,無謀,팍팍이,ko,noun,/pʰa̠k̚pʰa̠ɡi/,ɶbɶy,Pakpak,パクパック
imbécil,es,adjective,/iˈmbeθil/,ymøyb,fool,バカ,vinkeys,fi,noun,/ˈvinkeys/,ymøyb,tips,チップ
mindless,en,adjective,/ˈmaɪndɫəs/,ɶʏməb,mindless,心のない,dahingeht,de,verb,/daˈhɪngəˌht/,ɶʏməb,going on by this,これで続けています
vô tâm,vi,adjective,/jo˧˥ tɤ̆m˧˥/,oom,heartless,ハートレス,hårsmån,sv,noun,/²h'oːʂmoːn/,oom,Hair moan,髪のうめき声
mezcla,es,verb,/meθkla/,øbbɶ,mixture,混合,medverka,sv,verb,/²m'eːdvärːka/,øbbɶ,contribute,助ける
