,word,collocation_id,collocation_word,collocation_relation
122,blue,3095939,blue law,N:nn:N
123,blue,3095940,cloudless blue,N:mod:A
124,blue,3095941,dark blue,N:mod:A
125,blue,3095942,colour blue,N:nn:N
126,blue,3095943,vivid blue,N:mod:A
127,blue,3095945,blue spectacle,N:mod:A
128,blue,3095944,blue festival,N:nn:N
129,blue,3095946,blue collar,N:mod:A
130,blue,3095947,blue box,N:mod:A
131,blue,3095948,blue robe,N:mod:A
132,blue,3095949,eye blue,N:nn:N
133,blue,3095950,indigo blue,N:nn:N
134,blue,3095951,blue room,N:nn:N
135,blue,3095952,soft blue,N:mod:A
136,blue,3095953,boy blue,N:nn:N
137,blue,3095954,blue tint,N:mod:A
138,blue,3095955,blue clay,N:mod:A
139,blue,3095956,blue short,N:mod:A
140,blue,3095957,to change to blue,V:prep:N
141,blue,3095958,blue sock,N:mod:A
142,blue,3095959,blue handkerchief,N:mod:A
143,blue,3095960,color blue,N:mod:A
144,blue,3095962,blue violet,N:mod:A
145,blue,3095961,blue in color,N:prep:N
146,blue,3095963,blue fox,N:nn:N
147,blue,3095964,blue cloud,N:mod:A
148,blue,3095965,blue raider,N:nn:N
149,blue,3095966,blue mist,N:mod:A
150,blue,3095967,true blue,N:mod:A
151,blue,3095968,blue tunic,N:mod:A
152,blue,3095969,sapphire blue,N:nn:N
153,blue,3095970,to paint in blue,V:prep:N
154,blue,3095971,blue heron,N:mod:A
155,blue,3095972,blue feather,N:mod:A
156,blue,3095973,blue bird,N:mod:A
157,blue,3095974,blue riband,N:mod:A
158,blue,3095975,blue dome,N:mod:A
159,blue,3095976,blue curtain,N:mod:A
160,blue,3095978,metallic blue,N:mod:A
161,blue,3095977,blue roan,N:mod:A
162,blue,3095979,pure blue,N:mod:A
163,blue,3095980,to get blue,V:obj:N
164,blue,3095981,blue ink,N:mod:A
165,blue,3095982,hard blue,A:mod:A
166,blue,3095983,blue network,N:nn:N
167,blue,3095984,blue tile,N:mod:A
168,blue,3095985,blue wave,N:mod:A
169,blue,3095986,blue in the face,N:prep:N
170,blue,3095987,blue forget-me-not,N:mod:A
171,blue,3095988,blue depth,N:mod:A
172,blue,3095989,admiral of the blue,N:prep:N
173,blue,3095990,blue style,N:nn:N
174,blue,3095991,cornflower blue,N:nn:N
175,blue,3095992,blue of sky,N:prep:N
176,blue,3095993,blue bell,N:nn:N
177,blue,3095995,blue with cold,N:prep:N
178,blue,3095994,color blue,N:nn:N
179,blue,3095996,blue room,N:mod:A
180,blue,3095997,blue dragon,N:mod:A
181,blue,3095998,red blue,N:nn:N
182,blue,3095999,blue enamel,N:mod:A
183,blue,3096000,blue band,N:mod:A
184,blue,3096001,dull blue,N:mod:A
185,blue,3096002,blue player,N:nn:N
186,blue,3096003,blue frock coat,N:mod:A
187,blue,3096004,blue streak,N:mod:A
188,blue,3096005,blue team,N:nn:N
189,blue,3096007,blue veil,N:mod:A
190,blue,3096006,blue expanse,N:mod:A
191,blue,3096008,blue scarf,N:mod:A
192,blue,3096009,blue egg,N:mod:A
193,blue,3096010,blue team,N:mod:A
194,blue,3096011,blue in colour,N:prep:N
195,blue,3096012,blue mediterranean,N:mod:A
196,blue,3096013,blue vinyl,N:mod:A
197,blue,3096014,blue ice,N:mod:A
198,blue,3096015,eye as blue,N:prep:N
199,blue,3096019,blue spot,N:mod:A
200,blue,3096018,blue ensign,N:mod:A
201,blue,3096017,beautiful blue,N:mod:A
202,blue,3096016,blue pigment,N:mod:A
203,blue,3096020,blue shark,N:nn:N
204,blue,3096021,blue pill,N:mod:A
205,blue,3096022,color of blue,N:prep:N
206,blue,3096023,blue one,N:mod:A
207,blue,3096024,blue eyes,N:mod:A
208,blue,3096025,blue distance,N:mod:A
209,blue,3096027,to clothe in blue,V:prep:N
210,blue,3096026,midnight blue,N:nn:N
211,blue,3096028,blue bland,N:nn:N
212,blue,3096030,blue wave,V:subj:N
213,blue,3096029,to include blue,V:obj:N
214,blue,3096032,vice admiral of the blue,N:prep:N
215,blue,3096031,blue vault of heaven,N:mod:A
216,blue,3096033,to paint blue,V:obj:N
217,blue,3096034,blue hat,N:mod:A
218,blue,3096035,blue rock,N:nn:N
219,blue,3096038,bar blue,N:nn:N
220,blue,3096037,blue steel,N:mod:A
221,blue,3096036,blue strip,V:subj:N
222,blue,3096039,iridescent blue,N:mod:A
223,blue,3096040,blue horizon,N:mod:A
224,blue,3096041,blue sapphire,N:mod:A
225,blue,3096042,blue pant,N:mod:A
226,blue,3096043,jump blue,N:nn:N
227,blue,3096044,chicago blue,N:nn:N
228,blue,3096046,blue blazer,N:mod:A
229,blue,3096045,blue shield,N:mod:A
230,blue,3096047,little boy blue,N:nn:N
231,blue,3096048,blue hall of fame,N:nn:N
232,blue,3096049,heavenly blue,N:mod:A
233,blue,3096051,blue overcoat,N:mod:A
234,blue,3096050,blue grass,N:nn:N
235,blue,3096052,blue orb,N:mod:A
236,blue,3096053,intensely blue,A:mod:A
237,blue,3096054,blue grass,N:mod:A
238,blue,3096056,to use blue,V:obj:N
239,blue,3096055,rich blue,N:mod:A
240,blue,3096057,to play blue,V:obj:N
241,blue,3096058,blue patch,N:mod:A
242,blue,3096059,blue denim,N:mod:A
243,blue,3096060,blue screen,N:mod:A
244,blue,3096061,black gives way to blue,N:prep:N
245,blue,3096062,blue gingham,N:mod:A
246,blue,3096063,blue print,V:subj:N
247,blue,3096065,columbia blue,N:nn:N
248,blue,3096064,blue planet,N:nn:N
249,blue,3096067,stripe of blue,N:prep:N
250,blue,3096066,to show blue,V:obj:N
251,blue,3096068,to light blue,V:obj:N
252,blue,3096069,blue mantle,N:mod:A
253,blue,3096070,blue cross,N:nn:N
254,blue,3096072,blue smock,N:mod:A
255,blue,3096071,blue card,N:mod:A
256,blue,3096073,to change from blue,V:prep:N
257,blue,3096074,eye of the blue,N:prep:N
258,blue,3096075,light blue,N:nn:N
259,blue,3096076,something blue,N:nn:N
260,blue,3096078,blue circle,N:mod:A
261,blue,3096077,blue dressing gown,N:mod:A
262,blue,3096079,blue murder,N:nn:N
263,blue,3096080,blue beret,N:mod:A
264,blue,3096081,blue blue,N:mod:A
265,blue,3096083,blue cotton,N:mod:A
266,blue,3096082,blue necktie,N:mod:A
267,blue,3096084,to become blue,V:obj:N
268,blue,3096085,blue symbolize,V:subj:N
269,blue,3096086,faint blue,N:mod:A
270,blue,3096088,to sing blue,V:obj:N
271,blue,3096087,blue skin,N:mod:A
272,blue,3096089,blue hawaii,N:nn:N
273,blue,3096091,blue monday,N:mod:A
274,blue,3096090,blue crystal,N:mod:A
275,blue,3096092,field of blue,N:prep:N
276,blue,3096093,blue lip,N:mod:A
277,blue,3096096,delicate blue,N:mod:A
278,blue,3096095,blue of the sea,N:prep:N
279,blue,3096094,blue sweater,N:mod:A
280,blue,3096097,mixture of blue,N:prep:N
281,blue,3096098,blue of the heaven,N:prep:N
282,blue,3096100,blue color,V:subj:N
283,blue,3096099,blue scene,N:nn:N
284,blue,3096102,blue pianist,N:nn:N
285,blue,3096101,blue triangle,N:mod:A
286,blue,3096103,blue ether,N:mod:A
287,blue,3096106,steely blue,N:mod:A
288,blue,3096105,blue with stripe,N:prep:N
289,blue,3096104,blue recording,N:nn:N
290,blue,3096107,fit of the blue,N:prep:N
291,blue,3096109,blue vault,N:mod:A
292,blue,3096108,blue family,N:nn:N
293,blue,3096111,blue rose,N:mod:A
294,blue,3096110,blue earth,N:nn:N
295,blue,3096112,grayish blue,N:mod:A
296,blue,3096114,misty blue,N:mod:A
297,blue,3096113,blue print,N:mod:A
298,blue,3096115,blue car,N:mod:A
299,blue,3096116,blue jumper,N:mod:A
300,blue,3096117,blue cape,N:mod:A
301,blue,3096118,blue standard,N:nn:N
302,blue,3096120,blue of heaven,N:prep:N
303,blue,3096119,girl in blue,N:prep:N
304,blue,3096121,violet blue,N:nn:N
305,blue,3096122,ocean blue,N:nn:N
306,blue,3096123,uniform of blue,N:prep:N
307,blue,3096124,blue diamond,N:nn:N
308,blue,3096125,to win blue,V:obj:N
309,blue,3096126,to burn blue,V:obj:N
310,blue,3096127,to come out of blue,V:prep:N
311,blue,3096129,green to blue,N:prep:N
312,blue,3096128,dazzling blue,N:mod:A
313,blue,3096130,blue guitar,N:nn:N
314,blue,3096131,blue flannel,N:mod:A
315,blue,3096132,blue gentian,N:mod:A
316,blue,3096133,blue taj mahal,N:nn:N
317,blue,3096134,blue robert johnson,N:nn:N
318,blue,3096135,evans blue,N:nn:N
319,blue,3096136,blue sleeve,N:mod:A
320,blue,3096138,blue iris,N:mod:A
321,blue,3096137,blue fade,V:subj:N
322,blue,3096139,suit of blue,N:prep:N
323,blue,3096140,blue cornflower,N:mod:A
324,blue,3096141,robe of blue,N:prep:N
325,blue,3096143,pacific blue,N:nn:N
326,blue,3096142,blue enamel,V:subj:N
327,blue,3096145,to have blue,V:obj:N
328,blue,3096144,blue linen,N:mod:A
329,blue,3096146,blue ridge,N:mod:A
330,blue,3096147,blue indicate,V:subj:N
331,blue,3096149,red to blue,N:prep:N
332,blue,3096148,blue crew,N:nn:N
333,blue,3096150,blue supergiant,N:mod:A
334,blue,3096151,to play in blue,V:prep:N
335,blue,3096153,bit of blue,N:prep:N
336,blue,3096152,blue performer,N:nn:N
337,blue,3096154,colour of blue,N:prep:N
338,blue,3096155,blue muslin,N:mod:A
339,blue,3096157,so blue,A:mod:A
340,blue,3096156,blue club,N:nn:N
341,blue,3096158,blue hair,N:mod:A
342,blue,3096159,blue worker,N:mod:A
343,blue,3096160,blue win,V:subj:N
344,blue,3096161,blue dye,N:mod:A
345,blue,3096162,to stain blue,V:obj:N
346,blue,3096164,blue banner,N:mod:A
347,blue,3096163,blue vase,N:mod:A
348,blue,3096165,blue become,V:subj:N
349,blue,3096166,to blue sea,V:obj:N
350,blue,3096167,kindly blue,A:mod:A
351,blue,3096168,blue as indigo,N:prep:N
352,blue,3096171,blue ball,N:mod:A
353,blue,3096170,kind of blue,N:prep:N
354,blue,3096169,lovely blue,N:mod:A
355,blue,3096173,blue coloration,N:mod:A
356,blue,3096172,blue blaze,N:mod:A
357,blue,3096176,blue cat,N:nn:N
358,blue,3096175,blue bowl,N:mod:A
359,blue,3096174,blue ribband,N:mod:A
360,blue,3096178,blue wrapper,N:mod:A
361,blue,3096177,blue lightning,N:mod:A
362,blue,3096179,blue bag,N:mod:A
363,blue,3096180,blue ground,N:mod:A
364,blue,3096182,blue firmament,N:mod:A
365,blue,3096181,blue domino,N:mod:A
366,blue,3096183,traditional blue,N:mod:A
367,blue,3096185,tint of blue,N:prep:N
368,blue,3096184,to play for blue,V:prep:N
369,blue,3096186,blue fire,N:mod:A
370,blue,3096187,lip blue,N:nn:N
371,blue,3096188,blue flame,N:nn:N
372,blue,3096189,blue ribbon,N:mod:A
373,blue,3096191,lady in blue,N:prep:N
374,blue,3096190,tender blue,N:mod:A
375,blue,3096193,blue eagle,N:mod:A
376,blue,3096192,blue shoe,N:mod:A
377,blue,3096194,blue shade,N:mod:A
378,blue,3096195,blue wreath,N:mod:A
379,blue,3096197,blue river,N:mod:A
380,blue,3096196,blue boy,N:nn:N
381,blue,3096200,blue hue,N:mod:A
382,blue,3096199,encyclopedia of the blue,N:prep:N
383,blue,3096198,to see blue,V:obj:N
384,blue,3096201,blue bay,N:mod:A
385,blue,3096202,blue harp,N:nn:N
386,blue,3096203,blue to red,N:prep:N
387,blue,3096204,blue laser,N:mod:A
388,blue,3096205,blue light,N:nn:N
389,blue,3096206,band of blue,N:prep:N
390,blue,3096207,blue belt,N:mod:A
391,blue,3096209,blue ring,N:mod:A
392,blue,3096208,blue logo,N:mod:A
393,blue,3096210,blue umbrella,N:mod:A
394,blue,3096211,blue slipper,N:mod:A
395,blue,3096212,blue china,N:mod:A
396,blue,3096214,blue tie,N:mod:A
397,blue,3096213,expanse of blue,N:prep:N
398,blue,3096215,blue with smoke,N:prep:N
399,blue,3096217,blue tinge,N:mod:A
400,blue,3096216,blue in the night,N:prep:N
401,blue,3096218,dusky blue,N:mod:A
402,blue,3096219,blue helmet,N:mod:A
403,blue,3096222,blue hole,N:nn:N
404,blue,3096221,blue blanket,N:mod:A
405,blue,3096220,guide to the blue,N:prep:N
406,blue,3096223,blue overhead,N:mod:A
407,blue,3096224,blue calico,N:mod:A
408,blue,3096226,celestial blue,N:mod:A
409,blue,3096225,line of blue,N:prep:N
410,blue,3096227,to shine blue,V:obj:N
411,blue,3096228,blue canopy,N:mod:A
412,blue,3096231,little blue,N:mod:A
413,blue,3096230,blue army,N:nn:N
414,blue,3096229,blue paint,N:mod:A
415,blue,3096233,blue paint,V:subj:N
416,blue,3096232,transparent blue,N:mod:A
417,blue,3096234,blue button,N:mod:A
418,blue,3096235,blue glow,N:mod:A
419,blue,3096237,to repaint in blue,V:prep:N
420,blue,3096236,depth of blue,N:prep:N
421,blue,3096239,big book of blue,N:prep:N
422,blue,3096238,blue with the cold,N:prep:N
423,blue,3096241,blue trim,V:subj:N
424,blue,3096240,blue bottle,N:mod:A
425,blue,3096243,blue bow,N:mod:A
426,blue,3096242,blue to purple,N:prep:N
427,blue,3096244,electra glide in blue,N:prep:N
428,blue,3096246,steel blue,N:nn:N
429,blue,3096245,to ting with blue,V:prep:N
430,blue,3096248,blue steel,N:nn:N
431,blue,3096247,album blue,N:nn:N
432,blue,3096250,color from blue,N:prep:N
433,blue,3096249,ribbon of blue,N:prep:N
434,blue,3096251,blue plate,N:mod:A
435,blue,3096252,pretty blue,N:mod:A
436,blue,3096255,blue kerchief,N:mod:A
437,blue,3096254,blue brick,N:mod:A
438,blue,3096253,blue cushion,N:mod:A
439,blue,3096256,roomful of blue,N:prep:N
440,blue,3096257,blue thread,N:mod:A
441,blue,3096258,figure in blue,N:prep:N
442,blue,3096259,blue train,N:nn:N
443,blue,3096260,blue waistcoat,N:mod:A
444,blue,3096262,blue morocco,N:mod:A
445,blue,3096261,blue b. b. king,N:nn:N
446,blue,3096263,blue t-shirt,N:mod:A
447,blue,3096266,gown of blue,N:prep:N
448,blue,3096265,combination of blue,N:prep:N
449,blue,3096264,blue lagoon,N:mod:A
450,blue,3096267,to feel blue,V:obj:N
451,blue,3096271,blue finish,V:subj:N
452,blue,3096270,blue predominate,V:subj:N
453,blue,3096269,turn blue,N:nn:N
454,blue,3096268,blue peterels,N:mod:A
455,blue,3096273,blue polo shirt,N:mod:A
456,blue,3096272,cold blue,N:mod:A
457,blue,3096275,blue dye,V:subj:N
458,blue,3096274,blue ray,N:mod:A
459,blue,3096276,blue brocade,N:mod:A
460,blue,3096278,blue broadcloth,N:mod:A
461,blue,3096277,blue goggles,N:mod:A
462,blue,3096279,blue carpet,N:mod:A
463,blue,3096280,egyptian blue,N:mod:A
464,blue,3096282,blue list,N:nn:N
465,blue,3096281,blue wool,N:mod:A
466,blue,3096286,blue dot,N:mod:A
467,blue,3096285,blue lettering,N:mod:A
468,blue,3096284,slate blue,N:nn:N
469,blue,3096283,blue progression,N:nn:N
470,blue,3096289,blue ball,N:nn:N
471,blue,3096288,blue stain,V:subj:N
472,blue,3096287,blue drapery,N:mod:A
473,blue,3096290,to dye blue,V:obj:N
474,blue,3096291,background of blue,N:prep:N
475,blue,3096293,blue mesa,N:nn:N
476,blue,3096292,blue disease,N:nn:N
477,blue,3096294,to give me blue,V:obj1+2:N
478,blue,3096297,very blue,A:mod:A
479,blue,3096296,to highlight in blue,V:prep:N
480,blue,3096295,blue wing,N:nn:N
481,blue,3096298,to melt into blue,V:prep:N
482,blue,3096302,blue leds,N:mod:A
483,blue,3096301,blue asbestos,N:mod:A
484,blue,3096300,silvery blue,N:mod:A
485,blue,3096299,vault of blue,N:prep:N
486,blue,3096304,blue kimono,N:mod:A
487,blue,3096303,blue dusk,N:mod:A
488,blue,3096305,blue petticoat,N:mod:A
489,blue,3096306,blue pinafore,N:mod:A
490,blue,3096307,blue hyacinth,N:mod:A
491,blue,3096308,blue hood,N:mod:A
492,blue,3096310,blue lily,N:mod:A
493,blue,3096309,blue cockade,N:mod:A
494,blue,3096311,hazy blue,N:mod:A
495,blue,3096313,to color blue,V:obj:N
496,blue,3096312,blue wall,N:mod:A
497,blue,3096314,limpid blue,N:mod:A
498,blue,3096317,blue pajama,N:mod:A
499,blue,3096316,blue harmonica,N:nn:N
500,blue,3096315,shade of the blue,N:prep:N
501,blue,3096318,blue pigeon,N:mod:A
502,blue,3096320,blue daffodil,N:mod:A
503,blue,3096319,blue arch,N:mod:A
504,blue,3096321,translucent blue,N:mod:A
505,blue,3096322,blue marble,N:mod:A
506,blue,3096325,to trim with blue,V:prep:N
507,blue,3096324,blue green,N:mod:A
508,blue,3096323,blue eye,V:subj:N
509,blue,3096328,streak of blue,N:prep:N
510,blue,3096327,medium blue,N:mod:A
511,blue,3096326,ethereal blue,N:mod:A
512,blue,3096329,sea of blue,N:prep:N
513,blue,3096335,tone of blue,N:prep:N
514,blue,3096334,to award he blue,V:obj1+2:N
515,blue,3096333,blue with the stripe,N:prep:N
516,blue,3096332,blue sun,N:mod:A
517,blue,3096331,blue as sapphire,N:prep:N
518,blue,3096330,distinctive blue,N:mod:A
519,blue,3096336,blue heart,N:nn:N
520,blue,3096337,blue rectangle,N:mod:A
521,blue,3096339,blue wing,N:mod:A
522,blue,3096338,blue larkspur,N:mod:A
523,blue,3096340,to flash blue,V:obj:N
524,blue,3096344,blue influence,N:nn:N
525,blue,3096343,blue garment,N:mod:A
526,blue,3096342,tinge of blue,N:prep:N
527,blue,3096341,blue tune,N:nn:N
528,blue,3096345,blue sunbonnet,N:mod:A
529,blue,3096348,code blue,N:nn:N
530,blue,3096347,dark blue,N:nn:N
531,blue,3096346,dome of blue,N:prep:N
532,blue,3096353,blue cambric,N:mod:A
533,blue,3096352,blue costume,N:mod:A
534,blue,3096351,blue as eye,N:prep:N
535,blue,3096350,blue rug,N:mod:A
536,blue,3096349,blend of blue,N:prep:N
537,blue,3096356,blue plumage,N:mod:A
538,blue,3096355,to change color to blue,V:obj+prep:N
539,blue,3096354,blue rosette,N:mod:A
540,blue,3096358,blue in the distance,N:prep:N
541,blue,3096357,blue of the horizon,N:prep:N
542,blue,3096359,to give blue,V:obj:N
543,blue,3096360,sky of the blue,N:prep:N
544,blue,3096362,blue damask,N:mod:A
545,blue,3096361,blue turban,N:mod:A
546,blue,3096363,blue ballad,N:nn:N
547,blue,3096366,wonderful blue,N:mod:A
548,blue,3096365,blue house,N:nn:N
549,blue,3096364,blue blaze,V:subj:N
550,blue,3096368,blue spot,V:subj:N
551,blue,3096367,blue canvas,N:mod:A
552,blue,3096369,blue king crab,N:mod:A
553,blue,3096370,blue nun,N:nn:N
554,blue,3096373,blue van,N:mod:A
555,blue,3096372,to produce blue,V:obj:N
556,blue,3096371,soldier in blue,N:prep:N
557,blue,3096375,definitive guide to the blue,N:prep:N
558,blue,3096374,horizon blue,N:nn:N
559,blue,3096377,blue dungaree,N:mod:A
560,blue,3096376,to cover with blue,V:prep:N
561,blue,3096378,blue classic,N:nn:N
562,blue,3096380,blue scale,N:nn:N
563,blue,3096379,yellow blue,N:mod:A
564,blue,3096381,blue eye,N:nn:N
565,blue,3096384,han blue,N:nn:N
566,blue,3096383,blue revival,N:nn:N
567,blue,3096382,solid blue,N:mod:A
568,blue,3096387,dress of blue,N:prep:N
569,blue,3096386,blue on blue,N:prep:N
570,blue,3096385,blue allude to,V:subj:N
571,blue,3096390,blue breech,N:mod:A
572,blue,3096389,pair of blue,N:prep:N
573,blue,3096388,blue beard,N:mod:A
574,blue,3096391,one blue,N:nn:N
575,blue,3096396,blue kit,N:mod:A
576,blue,3096395,blue scheme,N:mod:A
577,blue,3096394,blue flash,V:subj:N
578,blue,3096393,blue riff,N:nn:N
579,blue,3096392,blue to black,N:prep:N
580,blue,3096397,flash of blue,N:prep:N
581,blue,3096398,blue for infantry,N:prep:N
582,blue,3096400,china blue,N:nn:N
583,blue,3096399,blue tights,N:mod:A
584,blue,3096404,blue appear,V:subj:N
585,blue,3096403,coat of blue,N:prep:N
586,blue,3096402,to decorate with blue,V:prep:N
587,blue,3096401,blue shine,V:subj:N
588,blue,3096407,blue nose,N:mod:A
589,blue,3096406,cambridge blue,N:nn:N
590,blue,3096405,blue mansion,N:nn:N
591,blue,3096408,white to blue,N:prep:N
592,blue,3096410,to dress she in blue,V:obj+prep:N
593,blue,3096409,blue hanging,N:mod:A
594,blue,3096412,dim blue,N:mod:A
595,blue,3096411,element of blue,N:prep:N
596,blue,3096417,sheet of blue,N:prep:N
597,blue,3096416,greyish blue,N:mod:A
598,blue,3096415,predominantly blue,A:mod:A
599,blue,3096414,blue like,V:subj:N
600,blue,3096413,blue roof,N:mod:A
601,blue,3096418,touch of blue,N:prep:N
602,blue,3096420,blue in the sky,N:prep:N
603,blue,3096419,blue vapour,N:mod:A
604,blue,3096422,to describe as blue,V:prep:N
605,blue,3096421,to choose blue,V:obj:N
606,blue,3096423,diamine blue,N:nn:N
607,blue,3096427,blue tail,N:mod:A
608,blue,3096426,blue rose,N:nn:N
609,blue,3096425,red blue,N:mod:A
610,blue,3096424,sae blue,N:nn:N
611,blue,3096432,distant blue,N:mod:A
612,blue,3096431,blue sheen,N:mod:A
613,blue,3096430,father of the blue,N:prep:N
614,blue,3096429,blue marking,N:mod:A
615,blue,3096428,blue genre,N:nn:N
616,blue,3096436,blue surtout,N:mod:A
617,blue,3096435,to repaint into blue,V:prep:N
618,blue,3096434,strip of blue,N:prep:N
619,blue,3096433,to consist of blue,V:obj:N
620,blue,3096440,blue jandek,N:nn:N
621,blue,3096439,blue streak,V:subj:N
622,blue,3096438,to award blue,V:obj:N
623,blue,3096437,blue mark,V:subj:N
624,blue,3096442,blue wildebeest,N:mod:A
625,blue,3096441,blue strip,N:mod:A
626,blue,3096446,blue of the water,N:prep:N
627,blue,3096445,big blue,N:mod:A
628,blue,3096444,blue peak,N:mod:A
629,blue,3096443,blue disc,N:mod:A
630,blue,3096449,blue bonnet,N:nn:N
631,blue,3096448,blue agave,N:mod:A
632,blue,3096447,blue point,N:nn:N
633,blue,3096453,blue vapor,N:mod:A
634,blue,3096452,blue vocalist,N:nn:N
635,blue,3096451,blue grouse,N:mod:A
636,blue,3096450,blue streamer,N:mod:A
637,blue,3096455,nypd blue,N:nn:N
638,blue,3096454,blue explosion,N:nn:N
639,blue,3096459,livid blue,N:mod:A
640,blue,3096458,to print in blue,V:prep:N
641,blue,3096457,sky as blue,N:prep:N
642,blue,3096456,blue signify,V:subj:N
643,blue,3096460,blue border,N:mod:A
