request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
ドルイド,ja,noun,/doɾɯido/,ouyo,Drud,교육지도,ko,noun,/kjojuk̚t͡ɕ͈ido̞/,ouyo,Education map
telos,en,noun,/ˈtɛɫoʊs/,œoʊ,telos,借口,zh-cn,noun,/tɕjɛ˥˩ kʰoʊ˨˩˦/,œoʊ,Excuse
礼節,ja,noun,/ɾeisetsɯ/,øyøu,Courtesy,니제르,ko,noun,/nid͡ʑe̞ɾɯ/,nyøu,Niger
バンプ,ja,noun,/baɴpɯ/,ɶnu,bump,Anflug,de,noun,/ˈanfluːk/,ɶnu,approach
カモメ,ja,noun,/kamome/,ɶnonø,Gull,가격 통제,ko,noun,/ka̠ɡjʌ̹k̚ tʰo̞ŋd͡ʑe̞/,ɶɔonø,Price control
갈매기,ko,noun,/ka̠ɭmɛ̝ɡi/,ɶnœy,Seagull,abernethy,en,noun,/ˈæbɝˌnɛθi/,ænœy,abernethy
Möwen,de,noun,/ˈmøːvən/,nøən,Seawoman,apelăm,ro,noun,/apeləm/,ɶøən,appeal
lindy,en,noun,/ˈɫɪndi/,ʏny,lindy,bündig,de,noun,/ˈbʏndiç/,ʏny,flush
冰淇淋,zh-cn,noun,/pɪŋ˥˥ tɕʰi˧˥ lɪn˧˥/,ʏnyʏn,ice cream,Anilin,de,noun,/ˈʔaniːlɪn/,ɶnyʏn,aniline
banjir,id,noun,/bandʒir/,ɶny,flood,abmühst,de,adjective,/ˈʔapˌmyst/,ɶny,troubled
洪水,ja,noun,/koɯzɯi/,ouuy,flood,bruftuluit,ro,noun,/bruftuluit/,uuuy,bruutulat
홍수,ko,noun,/ɸʷo̞ŋsʰu/,onu,flood,Hochmut,de,noun,/ˈhoːxmuːt/,onu,pride
洪水,zh-cn,noun,/xʊŋ˧˥ ʂweɪ˨˩˦/,ʊnøʏ,flood,airmail,en,noun,/ˈɛɹˌmeɪɫ/,œnøʏ,airmail
장갑,ko,noun,/t͡ɕa̠ŋɡa̠p̚/,ɶnɶ,Gloves,あな,ja,noun,/ana/,ɶnɶ,hole
Aufnahmen,de,noun,/ˈʔaofˌnɑmən/,ɶonɒnən,Recordings,accomplishment,en,noun,/əˈkɑmpɫɪʃmənt/,əɒnʏnən,accomplishment
拍摄,zh-cn,noun,/pʰaɪ˥˥ ʂɤ˥˩/,ɶʏo,Shoot,heilfroh,de,verb,/ˈhaɪ̯lˈfʁoː/,ɶʏo,healing
억제하다,ko,noun,/ʌ̹k̚t͡ɕ͈e̞ɦa̠da̠/,ɔøɶɶ,Inhibit,berséwaka,id,noun,/bərsewaka/,əøɶɶ,Bersihaka.
태평양,ko,noun,/tʰɛ̝pʰjʌ̹ŋɲja̠ŋ/,œɔnnɶn,Pacific ocean,adibintang,id,noun,/adibintaŋ/,ɶyynɶn,Adibnar.
帆船,ja,noun,/haɴseɴ/,ɶnøn,Sailing boat,amen,eo,noun,/amen/,ɶnøn,amen
Segeln,de,noun,/ˈzeːgɛln/,øœn,sailing,계쟁,ko,verb,/kje̞d͡ʑɛ̝ŋ/,øœn,Stunning
항해,ko,noun,/ha̠ŋɦɛ̝/,ɶnœ,sail,三月,zh-cn,noun,/san˥˥ ɥœ˥˩/,ɶnœ,March
沼沢,ja,noun,/ɕoɯtakɯ/,ouɶu,Swamp,agudaru,ro,adjective,/aɡudaru/,ɶuɶu,agudarous
居眠り,ja,noun,/inemɯɾi/,ynønuy,Sleeping,ausformulierst,de,noun,/ˈʔaosfɔɾmuˈliːɾst/,ɶoɔnuy,forform
berlari,id,noun,/bərlari/,əɶy,run,jăratic,ro,noun,/ʒəratik/,əɶy,embers
살인,ko,noun,/sʰa̠ɾin/,ɶyn,Murder,absint,ro,noun,/apsint/,ɶyn,absinthe
dukun,id,noun,/dukun/,uun,Dukun,くすん,ja,verb,/kɯsɯɴ/,uun,Dumpling
パニック,ja,noun,/panikːɯ/,ɶnyu,panic,bandicoot,en,noun,/ˈbændiˌkut/,ænyu,bandicoot
Panik,de,noun,/ˈpɑːnik/,ɒny,panic,alkermes,en,noun,/ɑɫˈkɝmiz/,ɒny,alkermes
공황,ko,noun,/ko̞ŋβwa̠ŋ/,onɶn,scare,あんさん,ja,noun,/aɴsaɴ/,ɶnɶn,Anan
恐慌,zh-cn,noun,/kʰʊŋ˨˩˦ xwɑŋ˥˥/,ʊnɒn,panic,algernon,en,noun,/ˈæɫdʒɝnɑn/,ænɒn,algernon
フレット,ja,noun,/ɸɯɾetːo/,uøo,fret,bruero,eo,noun,/bruero/,uøo,bruise
동전,ko,noun,/to̞ŋd͡ʑʌ̹n/,onɔn,coin,Ansporn,de,verb,/ˈʔanˌʃpɔɾn/,ɶnɔn,Spur
perselisihan,id,noun,/pərsəlisihan/,əəyyɶn,dispute,간또 지방,ko,noun,/ka̠nt͈o̞ t͡ɕiba̠ŋ/,ɶnoyɶn,Ganto Province
Fehden,de,noun,/ˈfedən/,øən,False,cedăm,ro,noun,/tʃedəm/,øən,yield
mueli,eo,noun,/mueli/,nuøy,grind,가드레일,ko,noun,/ka̠dɯɾe̞iɭ/,ɶuøy,Guard rail
grind,en,noun,/ˈɡɹaɪnd/,ɶʏn,grind,下令,zh-cn,verb,/ɕja˥˩ lɪŋ˥˩/,ɶʏn,Ordered
menggiling,id,noun,/məŋgiliŋ/,nənyyn,grind,가감지인,ko,noun,/ˈka̠ːɡa̠md͡ʑiin/,ɶɶnyyn,Autumn
schleifen,de,noun,/ˈʃlaɪ̯fɱ̩/,ɶʏn,grind,下令,zh-cn,verb,/ɕja˥˩ lɪŋ˥˩/,ɶʏn,Ordered
ハロン,ja,noun,/haɾoɴ/,ɶon,Halong,abon,id,noun,/abon/,ɶon,Floss
송곳니,ko,noun,/sʰo̞ŋɡo̞nni/,ononny,canine,mcinerny,en,noun,/məˈkɪnɝni/,nəʏnny,mcinerny
halon,en,noun,/ˈheɪˌɫɑn/,øʏɒn,halon,丐帮,zh-cn,noun,/kaɪ˥˩ pɑŋ˥˥/,ɶʏɒn,Gangster
gumpalan,id,noun,/gumpalan/,unɶɶn,Clump,가을바람,ko,noun,/ka̠ɯɭba̠ɾa̠m/,ɶuɶɶn,Autumn wind
潮汐,zh-cn,noun,/ʈʂʰɑʊ˧˥ ɕi˥˥/,ɒʊy,tidal,Akustik,de,noun,/ˈʔɑːkʊstik/,ɒʊy,Acoustics
ordentlich,de,noun,/ˈɔʁdəntlɪç/,ɔənʏ,neat,abramczyk,en,noun,/ˈɑbɹəmtʃɪk/,ɒənʏ,abramczyk
互いに,ja,noun,/tagaini/,ɶɶyny,One another,古细菌域,zh-cn,noun,/ku˨˩˦ ɕi˥˩ tɕyn˥˩ y˥˩/,uyyny,Ancient bacterial domain
Onkel,de,noun,/ˈɔŋkəl/,ɔnə,uncle,awkwardness,en,noun,/ˈɔkwɝdnəs/,ɔnə,awkwardness
uncle,en,noun,/ˈəŋkəɫ/,ənə,uncle,bengep,id,noun,/bəŋəp/,ənə,Bengep
삼촌,ko,noun,/sʰa̠mt͡ɕʰo̞n/,ɶnon,uncle,Bonbon,de,noun,/bɔnˈboːn/,ɔnon,sweet
paman,id,noun,/paman/,ɶnɶn,uncle,Osman,eo,noun,/osman/,onɶn,Osman
Harnstoff,de,noun,/ˈhaɾnstɔff/,ɶnɔ,urea,传播,zh-cn,noun,/ʈʂʰwan˧˥ pɔ˥˥/,ɶnɔ,spread
尿素,ja,noun,/njoɯso/,nouo,urea,absoluto,es,noun,/aβsoluto/,ɶouo,absolute
保险箱,zh-cn,noun,/pɑʊ˨˩˦ ɕjɛn˨˩˦ ɕjɑŋ˥˥/,ɒʊœnɒn,safe,ausimont,en,noun,/ˈaʊsɪˌmɑnt/,ɶʊʏnɒn,ausimont
금고,ko,noun,/kɯmɡo̞/,uno,safe,Bruno,eo,noun,/bruno/,uno,Bruno
エステル,ja,noun,/esɯteɾɯ/,øuøu,ester,기술제휴,ko,noun,/kisʰuɭd͡ʑe̞ʝju/,yuøu,Technical partnership
フレット,ja,noun,/ɸɯɾetːo/,uøo,fret,pudelwohl,de,noun,/ˈpuːdelˌvol/,uøo,puddle
四捨五入,ja,noun,/ɕiɕagonjɯɯ/,yɶonuu,Rounded out,Benzinzufuhr,de,noun,/bəˈntsɪntsufuɾ/,ənʏnuu,Gasoline
肉体,ja,noun,/nikɯtai/,nyuɶy,body,acapulláis,es,noun,/akapuˈʎais/,ɶɶuɶy,Acapullahis
染め,ja,noun,/some/,onø,dyed,Zone,de,noun,/ˈtsoːne/,onø,Zone
unarm,en,noun,/əˈnɑɹm/,ənɒn,unarm,abmahnst,de,noun,/ˈʔapˌmɑnst/,ɶnɒn,warn
