,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun,next_word_index_verb_count,next_word_index_adjective_count,next_word_index_noun_count
21,21,34,164,계속하다,ko,verb,/kje̞sʰo̞kʰa̠da̠/,øoɶɶ,Continue,848:985:1421,189:251:741:927:931:955:1257:1331:1608,686:736:760:781:829:832:860:878:916:992:1012:1054:1116:1168:1217:1419:1428,3,9,17
22,22,35,165,amuzi,eo,verb,/amuzi/,ɶuy,to entertain,93:277:283:368:409:569:710:870:1069:1164:1244,272:456:928:1343:1458:1570,615:629:635:696:737:817:849:926:1037:1042:1052:1100:1118:1163:1166:1171:1185:1186:1209:1231:1263:1424:1443:1444:1581:1585:1617:1622,11,6,28
23,23,37,180,早く,ja,adjective,/hajakɯ/,ɶɶu,quickly,722:780:1027:1160:1225,152:738:851:1423,725:749:815:838:857:884:900:951:962:1017:1083:1122:1132:1147:1174:1230:1302:1303:1449:1522:1560:1587,5,4,22
24,24,38,191,어울리다,ko,verb,/ʌ̹uɭʎida̠/,ɔuyɶ,comport,523:905:1218:1391:1395,106:159:293:463:592:891:1162:1625,689:708:739:846:867:961:991:998:1000:1050:1086:1104:1165:1197:1220:1265:1329:1440:1471:1558,5,8,20
25,25,39,210,rajdi,eo,verb,/raidi/,ɶyy,ride,125:234:351:785:796:895:1341:1390,20:33:65:74:110:169:227:263:295:330:358:494:512:854:1169:1243:1319:1571,604:734:735:740:777:837:894:906:941:969:973:981:1032:1070:1101:1102:1117:1124:1201:1206:1239:1264:1438,8,18,23
26,26,41,214,논하다,ko,verb,/no̞nɦa̠da̠/,oɶɶ,reason,848:985:1421,189:251:741:927:931:955:1257:1331:1608,686:736:760:781:829:832:860:878:916:992:1012:1054:1116:1168:1217:1419:1428,3,9,17
27,27,42,221,senpartia,eo,adjective,/senpartia/,ømɶyɶ,impartial,126:216:246:478:716:843:1375:1465:1476:1538:1554,0:73:114:850:959:965:1154:1214:1456,633:650:742:756:795:918:924:949:964:968:1002:1006:1059:1065:1066:1095:1115:1120:1246:1311:1426:1584:1628,11,9,23
28,28,43,222,kuraĝa,eo,adjective,/kurad͡ʒa/,uɶɶ,brave,1:14:63:217:261:282:298:782:816:1026:1075:1282:1447:1483,92:393:403:562:1267:1610,613:640:687:717:729:743:776:789:967:1051:1071:1111:1189:1248:1252:1321:1352:1397:1450:1489:1523:1589,14,6,22
29,29,45,233,akan,id,verb,/akan/,ɶɶm,will,124:204:238:268:448:466:471:537:539:984:1338,87:221:243:449:453:534:764,611:617:618:647:663:674:679:681:744:759:774:810:853:858:902:915:954:975:1199:1232:1250:1277:1324:1575:1592,11,7,25
30,30,47,237,fatala,eo,adjective,/fatala/,ɶɶɶ,fatal,5:11:15:91:97:100:116:131:157:162:165:187:203:252:274:299:316:318:362:404:444:799:814:861:901:976:1067:1179:1304:1318:1389:1500:1586,77:112:118:149:208:353:636:1008:1046:1591,645:653:697:721:727:730:745:769:825:840:845:862:889:898:919:1001:1007:1011:1015:1039:1058:1060:1061:1073:1099:1158:1159:1242:1256:1412:1533,33,10,31
31,31,49,240,기한,ko,verb,/kiɦa̠n/,yɶm,deadline,765:896:1109,47:182:241:1452,631:634:746:893:917:942:999:1004:1068:1170:1430:1534:1573,3,4,13
32,32,50,242,싸움,ko,verb,/s͈a̠um/,ɶum,Fight,309:747:960:1090,158:515:540,623:630:733:786:890:923:1010:1064:1205:1223:1371:1537:1568,4,3,13
33,33,52,248,誇らしい,ja,adjective,/hokoɾaɕii/,ooɶyy,proud,19:25:58:125:167:197:211:234:317:351:785:796:895:1103:1341:1368:1390:1466,854:1169:1243:1319:1571,735:740:748:777:837:894:906:941:969:973:981:1032:1070:1102:1117:1124:1201:1206:1239:1264:1407:1438,18,5,22
34,34,53,259,若い,ja,adjective,/ɰᵝakai/,ɶɶy,young,44:46:133:179:199:215:230:245:288:308:360:369:370:496:566:761:864:922:996:1016:1031:1184,68:111:134:143:331:408:788:1123,732:750:763:783:863:869:899:952:957:963:1005:1019:1057:1062:1089:1110:1145:1148:1161:1177:1190:1219:1247:1261:1350:1387:1413:1416:1459:1467:1469:1511:1515:1521:1547:1566,22,8,36
35,36,56,273,生み出す,ja,verb,/ɯmidasɯ/,uyɶu,produce,270:461:703:1074,109:226:325:536:1268:1410,612:726:751:791:794:804:836:841:875:921:966:987:994:1035:1040:1049:1088:1096:1098:1173:1229:1237:1305:1334:1348:1441:1493:1542:1553:1567:1621,4,6,31
36,37,57,275,괴롭히다,ko,adjective,/kø̞ɾo̞pʰida̠/,øoyɶ,bully,1167:1270:1373,64:164:222:273:321:379:415:502:753:772:929:978:1119:1253,693:784:805:844:904:989:1033:1093:1181:1204:1227:1333:1431:1601:1614,3,14,15
37,38,58,277,forno,eo,verb,/forno/,oo,oven,312:423:754:1024:1461,147:258:324:437:511,657:1127:1136:1274:1297:1301:1308:1349:1406:1545:1597,5,5,11
38,39,59,283,씨앗,ko,adjective,/ɕ͈ia̠t̚/,yɶb,seed,40:61:99:824,250:290:384:470:755:1376,757:827:914:1113:1176:1202:1388:1451:1513,4,6,9
39,40,60,288,stabila,eo,adjective,/stabila/,bɶyɶ,stable,126:216:246:478:716:843:1375:1465:1476:1538:1554,0:73:114:850:959:965:1154:1214:1456,633:650:742:756:795:918:924:949:964:968:1002:1006:1059:1065:1066:1095:1115:1120:1246:1311:1426:1584:1628,11,9,23
40,41,61,292,ingat,id,verb,/iŋat/,yɶb,remember,177:542:588:824,38:755:1376,757:779:827:914:1113:1176:1202:1388:1451:1513,4,3,10
41,42,65,313,liris,id,adjective,/liris/,yyb,lyrical,48:213:287:313:993:1056:1175:1354,1085:1094:1107,758:766:958:1013:1087,8,3,5
42,43,66,320,matang,id,adjective,/mataŋ/,ɶɶm,mature,124:204:238:268:448:466:471:537:539:984:1338,87:221:243:449:453:534:764,611:617:618:647:663:674:679:681:744:759:774:810:853:858:902:915:954:975:1199:1232:1250:1277:1324:1575:1592,11,7,25
43,45,69,330,유도하다,ko,verb,/judo̞ɦa̠da̠/,uoɶɶ,Induce,848:985:1421,189:251:741:927:931:955:1257:1331:1608,686:736:760:781:829:832:860:878:916:992:1012:1054:1116:1168:1217:1419:1428,3,9,17
44,46,70,334,meratapi,id,verb,/məratapi/,əɶɶy,mourni.,498:566:761:864:922:996:1014:1016:1031:1184,17:34:134:139:236:242:323:345:350:390:541:788:1123,599:624:626:732:750:763:783:839:863:869:899:952:957:963:1005:1019:1057:1062:1089:1145:1148:1153:1161:1177:1190:1247:1261:1292:1350:1416:1459:1469:1515:1521:1547:1566,10,13,36
45,48,75,353,이루다,ko,verb,/iɾuda̠/,yuɶ,accomplished,240:983:1030:1245:1517,160:206:892:947:1582,628:762:773:997:1055:1150:1183:1342:1377:1418:1422:1487:1612,5,5,13
46,49,76,354,mencapai,id,verb,/məntʃapai/,əmɶɶy,Achieve,498:566:761:864:922:996:1014:1016:1031:1184,17:34:134:139:236:242:323:345:350:390:541:788:1123,599:624:626:732:750:763:783:839:863:869:899:952:957:963:1005:1019:1057:1062:1089:1145:1148:1153:1161:1177:1190:1247:1261:1292:1350:1416:1459:1469:1515:1521:1547:1566,10,13,36
47,50,77,361,diam,id,adjective,/diam/,yɶm,Silence,31:265:765:896:1109,198:296:1452,609:631:746:893:917:942:999:1004:1170:1215:1430:1534:1573,5,3,13
48,51,79,368,repeat,en,verb,/ɹiˈpit/,yyb,repeat,993:1056:1175:1354,41:202:276:1085:1094:1107,758:766:958:1087:1125,4,6,5
49,52,82,377,halus,id,adjective,/halus/,ɶub,smooth,424:826:897:1280:1463,818:1036:1146,767:930:948:953:972:1155:1273:1358:1446:1620,5,3,10
50,53,83,379,苦い,ja,adjective,/nigai/,yɶy,bitter,104:190:310:352:400:501:1041:1233:1403:1484:1532,375:425:432:719:752:977:1228:1380,620:768:787:831:920:933:974:1034:1091:1114:1196:1236:1251:1322:1351:1374:1394:1396:1414:1445:1488:1531:1583:1627,11,8,24
51,54,84,381,amara,eo,adjective,/amara/,ɶɶɶ,bitter,5:11:15:91:97:100:116:131:157:162:165:187:203:252:274:299:316:318:362:404:444:799:814:861:901:976:1067:1179:1304:1318:1389:1500:1586,77:112:118:149:208:353:636:1008:1046:1591,645:653:697:721:727:730:745:769:825:840:845:862:889:898:919:1001:1007:1011:1015:1039:1058:1060:1061:1073:1099:1158:1159:1242:1256:1412:1533,33,10,31
52,56,86,389,mengurangi,id,verb,/məŋuraŋi/,əuɶy,Reduce,315:828:1048:1299:1381:1472,102:151:281:421:516:797:1172:1262,601:668:680:770:807:809:835:943:1137:1182:1200:1226:1269:1279:1295:1310:1320:1486:1510:1619,6,8,20
53,57,87,395,드문,ko,adjective,/tɯmun/,uum,rare,506:859:1325,4:132:720,662:771:903:956:982:1047:1152:1208:1316,3,3,9
54,58,88,406,속이다,ko,adjective,/sʰo̞ɡida̠/,oyɶ,chisel,1167:1270:1373,64:164:222:273:321:379:415:502:753:772:929:978:1119:1253,693:784:805:844:904:989:1033:1093:1181:1204:1227:1333:1431:1601:1614,3,14,15
55,59,89,429,기르다,ko,verb,/kiɾɯda̠/,yuɶ,cultivate,240:983:1030:1245:1517,160:206:892:947:1582,628:762:773:997:1055:1150:1183:1342:1377:1418:1422:1487:1612,5,5,13
56,60,90,432,datang,id,verb,/dataŋ/,ɶɶm,come,124:204:238:268:448:466:471:537:539:984:1338,87:221:243:449:453:534:764,611:617:618:647:663:674:679:681:744:759:774:810:853:858:902:915:954:975:1199:1232:1250:1277:1324:1575:1592,11,7,25
57,61,91,435,취하다,ko,verb,/t͡ɕʰɥiɦa̠da̠/,byɶɶ,drunk,7:327:348:387:775:830:988:1063:1106:1364:1543:1555:1603:1605,78:80:81:407:436:802:979:1097:1180:1401:1429:1508,597:598:608:661:673:677:792:800:803:806:820:856:925:944:945:946:1029:1045:1112:1126:1156:1193:1203:1216:1222:1259:1266:1298:1417:1565:1572:1609,14,12,32
58,62,93,443,dramigi,eo,verb,/dramigi/,ɶyy,dramatize,125:234:351:785:796:895:1341:1390,20:33:65:74:110:169:227:263:295:330:358:494:512:854:1169:1243:1319:1571,604:734:735:740:777:837:894:906:941:969:973:981:1032:1070:1101:1102:1117:1124:1201:1206:1239:1264:1438,8,18,23
59,63,94,448,fortikigi,eo,verb,/fortikigi/,oyyy,fortify,69:389:1240:1345,79:1344:1425:1607,685:778:790:793:801:950:1009:1043:1053:1105:1108:1151:1224:1238:1258:1260:1346:1353:1398:1432:1485:1509:1551:1563,4,4,24
60,64,97,456,瞬く,ja,verb,/ɕibatakɯ/,yɶɶu,Blink,722:780:1027:1160:1225,152:738:851:1423,725:749:815:838:857:884:900:951:962:1017:1083:1122:1132:1147:1174:1230:1302:1303:1449:1522:1560:1587,5,4,22
61,66,101,479,sinyal,id,verb,/siɲal/,yɶb,signal,177:542:588:824,38:755:1376,757:779:827:914:1113:1176:1202:1388:1451:1513,4,3,10
62,67,104,506,허용하다,ko,verb,/hʌ̹joŋɦa̠da̠/,ɔoɶɶ,permit,848:985:1421,189:251:741:927:931:955:1257:1331:1608,686:736:760:781:829:832:860:878:916:992:1012:1054:1116:1168:1217:1419:1428,3,9,17
63,68,105,508,보증하다,ko,verb,/po̞d͡ʑɯŋɦa̠da̠/,obuɶɶ,guarantee,782:816:1026:1075:1447:1483,28:92:403:426:562:1187:1267:1610,613:640:687:717:729:743:776:789:967:1051:1071:1189:1248:1252:1254:1321:1352:1397:1450:1489:1523:1589,6,8,22
64,69,106,511,malĝoja,eo,adjective,/mald͡ʒoia/,ɶboyɶ,sad,115:233:406:1167:1270:1372:1373,36:54:753:772:929:978:1119,671:693:784:805:844:904:989:1033:1038:1093:1181:1204:1227:1333:1431:1601,7,7,16
65,70,107,512,悲しい,ja,adjective,/kanaɕii/,ɶɶyy,sad,19:25:58:125:167:197:211:234:317:351:785:796:895:1103:1341:1368:1390:1466,854:1169:1243:1319:1571,735:740:748:777:837:894:906:941:969:973:981:1032:1070:1102:1117:1124:1201:1206:1239:1264:1407:1438,18,5,22
66,71,109,516,아픈,ko,adjective,/a̠pʰɯn/,ɶum,Hurt,309:747:960:1090,158:515:540,623:630:733:786:890:923:1010:1064:1205:1223:1371:1537:1568,4,3,13
67,72,111,521,小さい,ja,adjective,/tɕiisai/,byyɶy,small,104:190:310:352:400:501:1041:1233:1403:1484:1532,375:425:432:719:752:977:1228:1380,620:768:787:831:920:933:974:1034:1091:1114:1196:1236:1251:1322:1351:1374:1394:1396:1414:1445:1488:1531:1583:1627,11,8,24
68,74,114,533,berbagai,id,adjective,/bərbagai/,əɶɶy,various,498:566:761:864:922:996:1014:1016:1031:1184,17:34:134:139:236:242:323:345:350:390:541:788:1123,599:624:626:732:750:763:783:839:863:869:899:952:957:963:1005:1019:1057:1062:1089:1145:1148:1153:1161:1177:1190:1247:1261:1292:1350:1416:1459:1469:1515:1521:1547:1566,10,13,36
69,75,115,538,mengelilingi,id,verb,/məŋəliliŋi/,əəyyy,Surround,59:247:278:319:389:397:1240:1345,79:1344:1425:1607,685:698:778:790:801:950:1009:1043:1053:1105:1108:1151:1224:1258:1260:1346:1353:1398:1432:1485:1509:1551:1563,8,4,23
70,76,116,548,無駄になる,ja,adjective,/mɯdaninaɾɯ/,uɶyɶu,Become wasted,270:461:703:1074,109:226:325:536:1268:1410,612:726:751:791:794:804:836:841:875:921:966:987:994:1035:1040:1049:1088:1096:1098:1173:1229:1237:1305:1334:1348:1441:1493:1542:1553:1567:1621,4,6,31
71,77,118,563,유익하다,ko,adjective,/juikʰa̠da̠/,uyɶɶ,helpful,7:327:348:387:775:830:988:1063:1106:1364:1543:1555:1603:1605,78:80:81:407:436:802:979:1097:1180:1401:1429:1508,597:598:608:661:673:677:792:800:803:806:820:856:925:944:945:946:1029:1045:1112:1126:1156:1193:1203:1216:1222:1259:1266:1298:1417:1565:1572:1609,14,12,32
72,78,119,569,失う,ja,verb,/ɯɕinaɯ/,uyɶu,lose,270:461:703:1074,109:226:325:536:1268:1410,612:726:751:791:794:804:836:841:875:921:966:987:994:1035:1040:1049:1088:1096:1098:1173:1229:1237:1305:1334:1348:1441:1493:1542:1553:1567:1621,4,6,31
73,79,121,589,rahasia,id,adjective,/rahasia/,ɶɶyɶ,secret,126:216:478:716:843:1323:1375:1465:1476:1538:1554,0:27:39:122:183:185:214:244:314:329:535:578:850:959:965:1154:1456,621:633:650:714:742:756:795:855:918:924:949:964:1002:1006:1059:1065:1066:1095:1115:1120:1246:1426:1595:1628,11,17,24
74,80,122,592,忙しい,ja,adjective,/isogaɕii/,yoɶyy,busy,19:25:58:125:167:197:211:234:317:351:785:796:895:1103:1341:1368:1390:1466,854:1169:1243:1319:1571,735:740:748:777:837:894:906:941:969:973:981:1032:1070:1102:1117:1124:1201:1206:1239:1264:1407:1438,18,5,22
75,81,123,595,줄이다,ko,verb,/t͡ɕuɾida̠/,buyɶ,Reduce,523:905:1218:1391:1395,106:159:293:463:592:891:1162:1625,689:708:739:846:867:961:991:998:1000:1050:1086:1104:1165:1197:1220:1265:1329:1440:1471:1558,5,8,20
76,82,125,609,mengatakan,id,verb,/məŋatakan/,əɶɶɶm,say,267:724:798:970:1194:1462,12:971:990:1003:1306,728:847:852:932:986:1092:1221:1255:1317:1433:1480:1512:1598,6,5,13
77,83,126,611,朗らか,ja,adjective,/hogaɾaka/,oɶɶɶ,Cheerfulness,5:11:15:91:97:100:116:131:157:162:165:187:252:274:299:318:362:404:444:799:814:861:901:976:1067:1179:1304:1318:1389:1500:1586,30:51:112:118:149:208:223:300:414:1008:1046:1591,645:653:721:727:730:745:769:822:825:840:845:862:881:889:919:1001:1007:1011:1015:1039:1058:1060:1061:1072:1073:1158:1159:1242:1281:1296:1412:1533:1536,31,12,33
78,84,127,615,imaginara,eo,adjective,/imaginara/,yɶyɶɶ,imaginary,7:57:83:186:224:232:280:284:320:327:348:387:388:410:474:723:775:830:988:1063:1106:1121:1364:1543:1555:1603:1605,71:81:225:438:802:979:1401:1429:1508,597:598:608:661:672:673:800:803:806:820:856:925:944:945:946:1029:1045:1112:1156:1203:1216:1222:1259:1266:1293:1298:1347:1417:1604:1609,27,9,30
79,85,130,623,寂しい,ja,adjective,/sabiɕii/,ɶyyy,lonely,59:69:247:278:319:397:1240:1345,1344:1425:1607,698:778:790:793:801:950:1043:1053:1108:1151:1224:1238:1258:1260:1346:1353:1398:1432:1485:1509:1551:1563,8,3,22
80,86,132,630,ordinara,eo,adjective,/ordinara/,oyɶɶ,ordinary,7:57:83:186:224:232:280:284:320:327:348:387:388:410:474:723:775:830:988:1063:1106:1121:1364:1543:1555:1603:1605,71:81:225:438:802:979:1401:1429:1508,597:598:608:661:672:673:800:803:806:820:856:925:944:945:946:1029:1045:1112:1156:1203:1216:1222:1259:1266:1293:1298:1347:1417:1604:1609,27,9,30
81,87,133,631,biasa,id,adjective,/biasa/,yɶɶ,Ordinary,57:83:186:224:232:280:284:320:388:410:474:723:775:830:988:1063:1106:1121:1364:1543:1555:1603:1605,71:78:80:225:407:436:438:802:979:1097:1180:1401:1429:1508,597:598:672:677:792:800:803:820:856:925:944:945:946:1112:1126:1156:1193:1203:1216:1222:1259:1266:1293:1298:1347:1417:1565:1572:1604:1609,23,14,30
82,88,134,642,誓う,ja,verb,/tɕikaɯ/,byɶu,swear,270:461:703:1074,109:226:325:536:1268:1410,612:726:751:791:794:804:836:841:875:921:966:987:994:1035:1040:1049:1088:1096:1098:1173:1229:1237:1305:1334:1348:1441:1493:1542:1553:1567:1621,4,6,31
83,90,137,646,동의하다,ko,verb,/to̞ŋɰiɦa̠da̠/,oyɶɶ,Agree,7:327:348:387:775:830:988:1063:1106:1364:1543:1555:1603:1605,78:80:81:407:436:802:979:1097:1180:1401:1429:1508,597:598:608:661:673:677:792:800:803:806:820:856:925:944:945:946:1029:1045:1112:1126:1156:1193:1203:1216:1222:1259:1266:1298:1417:1565:1572:1609,14,12,32
84,91,139,648,kucai,id,adjective,/kutʃai/,uɶy,Kucai,315:828:1048:1299:1381:1472,102:151:281:421:516:797:1172:1262,601:668:680:770:807:809:835:943:1137:1182:1200:1226:1269:1279:1295:1310:1320:1486:1510:1619,6,8,20
85,92,140,654,刈る,ja,verb,/kaɾɯ/,ɶu,mow,191:253:254:482:486:487:530:552:557:938:1128:1275:1360,174:195:256:264:484:489:575:912:1077:1330:1356,642:808:868:908:934:939:1020:1022:1028:1082:1138:1234:1312:1359:1362:1370:1434:1453:1497:1506:1516:1529:1550:1576:1588:1602:1615,13,11,27
86,93,141,655,menuai,id,verb,/mənuai/,əuɶy,reap,315:828:1048:1299:1381:1472,102:151:281:421:516:797:1172:1262,601:668:680:770:807:809:835:943:1137:1182:1200:1226:1269:1279:1295:1310:1320:1486:1510:1619,6,8,20
87,94,143,658,파란,ko,adjective,/pʰa̠ɾa̠n/,ɶɶm,blue,29:56:128:184:204:229:268:285:420:466:517:984:1338:1455,42:168:178:271:457:481:507:764,611:618:646:647:674:679:707:744:759:774:810:853:858:902:975:1199:1232:1250:1277:1283:1324:1575:1592,14,8,23
88,95,144,660,cheat,en,verb,/ˈtʃit/,yb,cheat,452:493:524:550:718:872:940:1157,361:909:1178,811:823:877:913:936:1139:1141:1195:1211:1291:1300:1309:1340:1367:1478:1499:1504,8,3,17
89,96,145,663,seamy,en,adjective,/ˈsimi/,yy,seamy,346:396:416:595:819:885,95:192:1384,691:812:874:935:1144:1235:1271:1404:1454:1482:1491:1502:1503:1514:1530:1539:1548:1611:1613,6,3,19
90,97,146,664,파리,ko,adjective,/pʰa̠ɾi/,ɶy,Paris,150:304:306:467:469:490:525:813:1078:1080:1140:1142:1492,176:382:417:491:510:555:594:1081:1213:1363,596:649:651:664:670:876:882:1021:1084:1133:1272:1287:1335:1337:1411:1494:1535:1594:1596:1599,13,10,20
91,98,147,666,부담하다,ko,verb,/puda̠mɦa̠da̠/,uɶɶɶ,Bear,100:203:316:404:799:814:861:901:976:1067:1179:1304:1318:1389:1500,30:51:77:118:208:223:300:353:414:636:1008:1046:1591,697:721:727:730:745:769:822:825:840:845:862:881:889:898:919:1001:1007:1015:1039:1058:1061:1072:1073:1099:1158:1159:1242:1256:1281:1296:1412:1533:1536,15,13,33
92,99,151,673,juara,id,adjective,/dʒuara/,uɶɶ,champion,1:14:63:217:261:282:298:782:816:1026:1075:1282:1447:1483,28:393:426:1187:1267:1610,613:687:717:729:743:776:789:967:1051:1071:1111:1189:1248:1254:1321:1352:1397:1450:1489:1589,14,6,20
93,100,152,675,diketahui,id,verb,/dikətahui/,yəɶuy,is known,22:121:297:409:710:870:871:1069:1164:1244:1379,272:456:928:1343:1570,629:635:696:737:817:849:926:1037:1042:1052:1100:1118:1163:1166:1171:1185:1186:1209:1231:1263:1424:1444:1518:1581:1585:1617:1622:1626,11,5,28
94,101,154,679,amuk,id,verb,/amuʔ/,ɶub,Amuk,424:826:897:1280:1463,818:1036:1146,767:930:948:953:972:1155:1273:1358:1446:1620,5,3,10
