,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_noun,next_word_index_adjective
12,낙하산,ko,adjective,/na̠kʰa̠sʰa̠n/,ɶɶɶm,parachute,8:76:94:138:228:281:302:376:382:398:417:454:465:524:724:798:983:1231:1503,607:660:712:728:852:866:871:946:997:1036:1221:1222:1259:1261:1630,456:526:984:1001:1013:1344
13,煌く,ja,verb,/kagajakɯ/,ɶɶɶu,Shining,722:780:1062:1191:1209:1268,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,166:738:870:1470
14,자극하다,ko,verb,/t͡ɕa̠ɡɯkʰa̠da̠/,bɶuɶɶ,stimulate,782:837:1035:1061:1103:1490:1522,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1286:1290:1329:1359:1389:1435:1526:1557:1621,28:110:414:435:565:1225:1303:1642
15,나타나다,ko,verb,/na̠tʰa̠na̠da̠/,ɶɶɶɶ,appear,117:214:326:378:799:824:835:916:988:1096:1211:1342:1355:1428:1537,697:721:727:730:745:769:807:843:846:859:864:878:897:905:934:1011:1017:1025:1072:1088:1091:1100:1101:1136:1189:1190:1280:1292:1317:1334:1456:1565:1568,30:51:77:135:219:233:265:361:423:636:1018:1079:1623
16,bajingan,id,adjective,/badʒiŋan/,ɶyɶm,A bastard,1006:1226:1319:1345:1353:1440:1491:1505,861:1077:1208:1236:1240:1370:1419:1431:1459,731:1279:1351:1363
17,高い,ja,adjective,/takai/,ɶɶy,high,44:46:84:86:91:93:210:226:238:252:269:298:380:503:569:761:880:937:1007:1026:1066:1216,732:750:763:783:817:819:879:885:914:966:971:1015:1029:1087:1092:1108:1123:1131:1144:1178:1181:1192:1207:1227:1238:1285:1426:1457:1460:1500:1506:1508:1547:1549:1555:1579:1598,68:128:148:157:339:416:788:1157
18,많은,ko,adjective,/ma̠nɯn/,ɶum,Plenty,319:747:974:1124,623:630:733:786:906:938:1020:1055:1246:1266:1411:1569:1600,172:520:543
19,resanigi,eo,verb,/resanigi/,øɶyy,heal,140:242:359:785:796:911:1380:1429,604:734:735:740:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1138:1151:1158:1242:1480,20:33:65:74:127:183:236:267:278:338:366:501:517:873:1043:1281:1356:1603
20,恥ずかしい,ja,adjective,/hazɯkaɕii/,ɶuɶyy,Embarrassing,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,873:1043:1281:1356:1603
21,계속하다,ko,verb,/kje̞sʰo̞kʰa̠da̠/,øoɶɶ,Continue,867:996:1265:1468,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,200:258:741:941:945:969:1293:1368:1640
22,amuzi,eo,verb,/amuzi/,ɶuy,to entertain,98:111:290:311:377:572:710:886:1098:1194:1282,615:629:635:696:737:823:825:827:838:868:1071:1075:1083:1126:1137:1152:1196:1223:1224:1249:1262:1263:1272:1297:1613:1617:1649:1654,95:286:942:1381:1499:1602
23,早く,ja,adjective,/hajakɯ/,ɶɶu,quickly,722:780:1062:1191:1209:1268,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,166:738:870:1470
24,어울리다,ko,verb,/ʌ̹uɭʎida̠/,ɔuyɶ,comport,369:822:920:1430:1433:1461,689:708:739:865:883:975:1002:1008:1010:1082:1120:1140:1195:1234:1258:1301:1366:1413:1482:1510:1591,123:173:303:471:592:907:1193:1657
25,rajdi,eo,verb,/raidi/,ɶyy,ride,140:242:359:785:796:911:1380:1429,604:734:735:740:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1138:1151:1158:1242:1480,20:33:65:74:127:183:236:267:278:338:366:501:517:873:1043:1281:1356:1603
26,논하다,ko,verb,/no̞nɦa̠da̠/,oɶɶ,reason,867:996:1265:1468,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,200:258:741:941:945:969:1293:1368:1640
27,senpartia,eo,adjective,/senpartia/,ømɶyɶ,impartial,88:141:253:485:716:862:1051:1300:1358:1514:1518:1570:1587,633:650:742:756:795:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1149:1154:1284:1349:1472:1517:1616:1660,0:73:131:869:973:978:1128:1254:1497
28,kuraĝa,eo,adjective,/kurad͡ʒa/,uɶɶ,brave,1:14:63:90:227:276:307:782:837:1035:1061:1103:1318:1490:1522,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1145:1286:1329:1359:1389:1435:1526:1557:1621,110:405:414:565:1303:1642
29,akan,id,verb,/akan/,ɶɶm,will,139:215:246:283:457:474:479:540:542:811:1377,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,87:105:231:458:462:537:764
30,fatala,eo,adjective,/fatala/,ɶɶɶ,fatal,5:11:15:97:109:115:117:133:146:171:176:179:214:259:270:308:326:328:373:378:453:799:824:835:916:988:1096:1211:1342:1355:1428:1537:1618,645:653:697:721:727:730:745:769:807:846:859:864:878:905:934:1011:1017:1021:1025:1072:1088:1090:1091:1101:1136:1189:1190:1280:1292:1456:1565,77:129:135:163:219:361:636:1018:1079:1623
31,기한,ko,verb,/kiɦa̠n/,yɶm,deadline,765:912:1143,631:634:746:909:932:956:1009:1014:1097:1199:1327:1566:1605,47:194:249:1493
32,싸움,ko,verb,/s͈a̠um/,ɶum,Fight,319:747:974:1124,623:630:733:786:906:938:1020:1055:1246:1266:1411:1569:1600,172:520:543
33,誇らしい,ja,adjective,/hokoɾaɕii/,ooɶyy,proud,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,873:1043:1281:1356:1603
34,若い,ja,adjective,/ɰᵝakai/,ɶɶy,young,44:46:84:86:91:93:210:226:238:252:269:298:380:503:569:761:880:937:1007:1026:1066:1216,732:750:763:783:817:819:879:885:914:966:971:1015:1029:1087:1092:1108:1123:1131:1144:1178:1181:1192:1207:1227:1238:1285:1426:1457:1460:1500:1506:1508:1547:1549:1555:1579:1598,68:128:148:157:339:416:788:1157
35,生み出す,ja,verb,/ɯmidasɯ/,uyɶu,produce,271:469:703:1102,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,126:235:334:539:1304:1454
36,괴롭히다,ko,adjective,/kø̞ɾo̞pʰida̠/,øoyɶ,bully,1197:1306:1415,693:784:805:863:919:1000:1050:1067:1213:1245:1269:1372:1443:1474:1633:1646,64:178:232:266:287:330:424:464:753:772:943:990:1153:1289:1463
37,forno,eo,verb,/forno/,oo,oven,323:432:754:1059:1502,657:1160:1169:1310:1335:1339:1346:1387:1450:1577:1629,161:273:333:446:516
38,씨앗,ko,adjective,/ɕ͈ia̠t̚/,yɶb,seed,40:61:83:845,757:806:929:1047:1147:1202:1243:1427:1486:1492,257:300:394:478:755:1417:1583
39,stabila,eo,adjective,/stabila/,bɶyɶ,stable,88:141:253:485:716:862:1051:1300:1358:1514:1518:1570:1587,633:650:742:756:795:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1149:1154:1284:1349:1472:1517:1616:1660,0:73:131:869:973:978:1128:1254:1497
40,ingat,id,verb,/iŋat/,yɶb,remember,191:545:589:845,757:779:806:929:1047:1147:1202:1243:1427:1486:1492,38:755:1417:1583
41,liris,id,adjective,/liris/,yyb,lyrical,48:224:297:324:1004:1086:1201:1391,758:766:972:1023:1121,1044:1129:1132
42,matang,id,adjective,/mataŋ/,ɶɶm,mature,139:215:246:283:457:474:479:540:542:811:1377,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,87:105:231:458:462:537:764
43,유도하다,ko,verb,/judo̞ɦa̠da̠/,uoɶɶ,Induce,867:996:1265:1468,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,200:258:741:941:945:969:1293:1368:1640
44,meratapi,id,verb,/məratapi/,əɶɶy,mourni.,505:569:761:880:937:1007:1024:1026:1066:1216,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,17:34:148:153:244:250:332:353:358:403:544:788:1157
45,이루다,ko,verb,/iɾuda̠/,yuɶ,accomplished,248:995:1065:1283:1551,628:762:773:821:1085:1183:1205:1206:1215:1220:1402:1418:1466:1469:1484:1524:1644,174:217:908:961:1614
46,mencapai,id,verb,/məntʃapai/,əmɶɶy,Achieve,505:569:761:880:937:1007:1024:1026:1066:1216,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,17:34:148:153:244:250:332:353:358:403:544:788:1157
47,diam,id,adjective,/diam/,yɶm,Silence,31:280:765:912:1143,609:631:746:909:932:956:1009:1014:1199:1255:1327:1566:1605,209:305:1493
48,repeat,en,verb,/ɹiˈpit/,yyb,repeat,1004:1086:1201:1391,758:766:972:1121:1159,41:213:289:1044:1129:1132
49,halus,id,adjective,/halus/,ɶub,smooth,433:847:913:1316:1504,767:944:962:967:985:1057:1309:1395:1489:1652,839:1070:1179
50,苦い,ja,adjective,/nigai/,yɶy,bitter,121:201:320:360:411:418:1074:1106:1218:1274:1447,620:768:787:851:935:947:987:1068:1104:1125:1148:1233:1277:1288:1298:1299:1328:1388:1416:1434:1458:1488:1519:1525:1564:1615:1659,385:434:441:719:752:989:1270:1403:1404
51,amara,eo,adjective,/amara/,ɶɶɶ,bitter,5:11:15:97:109:115:117:133:146:171:176:179:214:259:270:308:326:328:373:378:453:799:824:835:916:988:1096:1211:1342:1355:1428:1537:1618,645:653:697:721:727:730:745:769:807:846:859:864:878:905:934:1011:1017:1021:1025:1072:1088:1090:1091:1101:1136:1189:1190:1280:1292:1456:1565,77:129:135:163:219:361:636:1018:1079:1623
52,mengurangi,id,verb,/məŋuraŋi/,əuɶy,Reduce,325:848:1081:1127:1337:1412:1420,601:668:680:770:818:830:854:957:1049:1053:1170:1214:1237:1241:1305:1315:1333:1348:1357:1523:1546:1651,119:165:294:430:521:797:1200:1219
53,드문,ko,adjective,/tɯmun/,uum,rare,510:877:1362,662:771:918:970:994:1080:1185:1248:1354,4:147:720
54,속이다,ko,adjective,/sʰo̞ɡida̠/,oyɶ,chisel,1197:1306:1415,693:784:805:863:919:1000:1050:1067:1213:1245:1269:1372:1443:1474:1633:1646,64:178:232:266:287:330:424:464:753:772:943:990:1153:1289:1463
55,기르다,ko,verb,/kiɾɯda̠/,yuɶ,cultivate,248:995:1065:1283:1551,628:762:773:821:1085:1183:1205:1206:1215:1220:1402:1418:1466:1469:1484:1524:1644,174:217:908:961:1614
56,datang,id,verb,/dataŋ/,ɶɶm,come,139:215:246:283:457:474:479:540:542:811:1377,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,87:105:231:458:462:537:764
57,취하다,ko,verb,/t͡ɕʰɥiɦa̠da̠/,byɶɶ,drunk,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,78:80:81:415:445:802:991:1134:1212:1445:1473:1545
58,dramigi,eo,verb,/dramigi/,ɶyy,dramatize,140:242:359:785:796:911:1380:1429,604:734:735:740:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1138:1151:1158:1242:1480,20:33:65:74:127:183:236:267:278:338:366:501:517:873:1043:1281:1356:1603
59,fortikigi,eo,verb,/fortikigi/,oyyy,fortify,69:402:1105:1383,685:778:790:793:801:964:1019:1042:1045:1076:1109:1141:1142:1184:1264:1267:1278:1294:1296:1371:1384:1390:1436:1475:1485:1584,79:1382:1462:1471:1639
60,瞬く,ja,verb,/ɕibatakɯ/,yɶɶu,Blink,722:780:1062:1191:1209:1268,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,166:738:870:1470
61,sinyal,id,verb,/siɲal/,yɶb,signal,191:545:589:845,757:779:806:929:1047:1147:1202:1243:1427:1486:1492,38:755:1417:1583
62,허용하다,ko,verb,/hʌ̹joŋɦa̠da̠/,ɔoɶɶ,permit,867:996:1265:1468,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,200:258:741:941:945:969:1293:1368:1640
63,보증하다,ko,verb,/po̞d͡ʑɯŋɦa̠da̠/,obuɶɶ,guarantee,782:837:1035:1061:1103:1490:1522,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1286:1290:1329:1359:1389:1435:1526:1557:1621,28:110:414:435:565:1225:1303:1642
64,malĝoja,eo,adjective,/mald͡ʒoia/,ɶboyɶ,sad,132:241:309:1197:1306:1414:1415,671:693:784:805:863:919:1000:1039:1050:1067:1213:1245:1269:1372:1443:1474:1633,36:54:753:772:943:990:1153:1463
65,悲しい,ja,adjective,/kanaɕii/,ɶɶyy,sad,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,873:1043:1281:1356:1603
66,아픈,ko,adjective,/a̠pʰɯn/,ɶum,Hurt,319:747:974:1124,623:630:733:786:906:938:1020:1055:1246:1266:1411:1569:1600,172:520:543
67,小さい,ja,adjective,/tɕiisai/,byyɶy,small,121:201:320:360:411:418:1074:1106:1218:1274:1447,620:768:787:851:935:947:987:1068:1104:1125:1148:1233:1277:1288:1298:1299:1328:1388:1416:1434:1458:1488:1519:1525:1564:1615:1659,385:434:441:719:752:989:1270:1403:1404
68,berbagai,id,adjective,/bərbagai/,əɶɶy,various,505:569:761:880:937:1007:1024:1026:1066:1216,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,17:34:148:153:244:250:332:353:358:403:544:788:1157
69,mengelilingi,id,verb,/məŋəliliŋi/,əəyyy,Surround,59:254:268:291:402:409:1105:1383,685:698:778:790:801:964:1019:1042:1076:1109:1141:1142:1184:1264:1267:1294:1296:1371:1384:1390:1436:1464:1475:1485:1584,79:1382:1462:1471:1639
70,無駄になる,ja,adjective,/mɯdaninaɾɯ/,uɶyɶu,Become wasted,271:469:703:1102,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,126:235:334:539:1304:1454
71,유익하다,ko,adjective,/juikʰa̠da̠/,uyɶɶ,helpful,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,78:80:81:415:445:802:991:1134:1212:1445:1473:1545
72,失う,ja,verb,/ɯɕinaɯ/,uyɶu,lose,271:469:703:1102,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,126:235:334:539:1304:1454
73,rahasia,id,adjective,/rahasia/,ɶɶyɶ,secret,88:141:485:716:862:1051:1300:1358:1360:1514:1518:1570:1587,621:633:650:714:742:756:795:812:933:939:963:977:1012:1016:1089:1094:1095:1133:1149:1154:1284:1472:1517:1627:1660,0:27:39:137:195:197:225:251:272:321:538:580:869:973:978:1128:1497
74,忙しい,ja,adjective,/isogaɕii/,yoɶyy,busy,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,873:1043:1281:1356:1603
75,줄이다,ko,verb,/t͡ɕuɾida̠/,buyɶ,Reduce,369:822:920:1430:1433:1461,689:708:739:865:883:975:1002:1008:1010:1082:1120:1140:1195:1234:1258:1301:1366:1413:1482:1510:1591,123:173:303:471:592:907:1193:1657
76,mengatakan,id,verb,/məŋatakan/,əɶɶɶm,say,282:724:798:983:1231:1503,728:820:866:871:946:997:1036:1221:1222:1259:1261:1291:1630,12:984:1001:1013:1344
77,朗らか,ja,adjective,/hogaɾaka/,oɶɶɶ,Cheerfulness,5:11:15:97:109:115:117:133:146:171:176:179:259:270:308:328:373:378:453:799:824:835:916:988:1096:1211:1342:1355:1428:1537:1618,645:653:721:727:730:745:769:843:846:859:864:878:897:905:934:1011:1017:1021:1025:1072:1088:1090:1091:1100:1101:1189:1190:1280:1317:1334:1456:1565:1568,30:51:129:135:163:219:233:265:423:1018:1079:1623
78,imaginara,eo,adjective,/imaginara/,yɶyɶɶ,imaginary,7:57:92:99:101:198:240:293:329:336:356:397:401:419:482:723:775:826:850:999:1093:1155:1401:1575:1588:1635:1637,597:598:608:661:672:673:800:803:828:841:874:940:958:959:960:1064:1078:1146:1187:1244:1256:1260:1295:1302:1331:1336:1385:1444:1465:1636:1641,71:81:234:447:802:991:1445:1473:1545
79,寂しい,ja,adjective,/sabiɕii/,ɶyyy,lonely,59:69:254:268:291:409:1105:1383,698:778:790:793:801:964:1042:1045:1076:1109:1142:1184:1264:1267:1278:1294:1296:1371:1384:1390:1436:1464:1475:1485:1584,1382:1462:1471:1639
80,ordinara,eo,adjective,/ordinara/,oyɶɶ,ordinary,7:57:92:99:101:198:240:293:329:336:356:397:401:419:482:723:775:826:850:999:1093:1155:1401:1575:1588:1635:1637,597:598:608:661:672:673:800:803:828:841:874:940:958:959:960:1064:1078:1146:1187:1244:1256:1260:1295:1302:1331:1336:1385:1444:1465:1636:1641,71:81:234:447:802:991:1445:1473:1545
81,biasa,id,adjective,/biasa/,yɶɶ,Ordinary,57:92:99:101:198:240:293:329:401:419:482:723:775:826:850:999:1093:1155:1401:1575:1588:1635:1637,597:598:672:677:792:800:803:841:874:940:958:959:960:1110:1146:1187:1230:1244:1256:1260:1295:1302:1331:1336:1385:1444:1465:1597:1604:1636:1641,71:78:80:234:415:445:447:802:991:1134:1212:1445:1473:1545
82,誓う,ja,verb,/tɕikaɯ/,byɶu,swear,271:469:703:1102,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,126:235:334:539:1304:1454
83,lihat,id,verb,/lihat/,yɶb,see,191:545:589:845,757:779:806:929:1047:1147:1202:1243:1427:1486:1492,38:755:1417:1583
84,menghargai,id,verb,/məŋhargai/,əɶɶy,appreciate,505:569:761:880:937:1007:1024:1026:1066:1216,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,17:34:148:153:244:250:332:353:358:403:544:788:1157
85,감독하다,ko,verb,/ka̠mdo̞kʰa̠da̠/,ɶmoɶɶ,Supervise,867:996:1265:1468,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,200:258:741:941:945:969:1293:1368:1640
86,mengawasi,id,verb,/məŋawasi/,əɶɶy,Oversee,505:569:761:880:937:1007:1024:1026:1066:1216,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,17:34:148:153:244:250:332:353:358:403:544:788:1157
87,빨간,ko,adjective,/p͈a̠ɭɡa̠n/,ɶɶm,Red,29:56:96:143:196:215:283:295:429:474:522:811:1377:1496,611:618:646:647:674:679:707:744:759:774:813:831:872:876:917:1107:1204:1239:1273:1313:1361:1607:1624,42:89:182:192:285:371:512:764
88,알리다,ko,verb,/a̠ɭʎida̠/,ɶyɶ,inform,253:485:716:862:1051:1300:1358:1360:1514:1587,621:650:714:742:756:795:812:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1154:1284:1349:1472:1517:1616:1627,27:39:73:131:137:195:197:225:251:272:321:538:580:869:978:1128:1254
89,asam,id,adjective,/asam/,ɶɶm,acid,139:215:246:283:457:474:479:540:542:811:1377,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,87:105:231:458:462:537:764
90,예측하다,ko,verb,/je̞t͡ɕʰɯkʰa̠da̠/,øbuɶɶ,predict,782:837:1035:1061:1103:1490:1522,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1286:1290:1329:1359:1389:1435:1526:1557:1621,28:110:414:435:565:1225:1303:1642
91,menyadari,id,verb,/məɲadari/,əɶɶy,Realize,505:569:761:880:937:1007:1024:1026:1066:1216,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,17:34:148:153:244:250:332:353:358:403:544:788:1157
92,무시하다,ko,verb,/muɕʰiɦa̠da̠/,uyɶɶ,Ignore,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,78:80:81:415:445:802:991:1134:1212:1445:1473:1545
93,dipahami,id,verb,/dipahami/,yɶɶy,Understood,505:569:761:880:937:1007:1024:1026:1066:1216,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,17:34:148:153:244:250:332:353:358:403:544:788:1157
94,catatan,id,verb,/tʃatatan/,ɶɶɶm,Note,282:724:798:983:1231:1503,728:820:866:871:946:997:1036:1221:1222:1259:1261:1291:1630,12:984:1001:1013:1344
95,明るい,ja,adjective,/akaɾɯi/,ɶɶuy,bright,22:98:100:111:290:306:311:377:572:886:887:1098:1194:1217:1282,615:737:823:827:838:868:1071:1075:1083:1126:1137:1152:1196:1223:1224:1249:1262:1263:1552:1613:1617:1649:1654:1658,942:1381:1499:1602
96,awam,id,verb,/awam/,ɶɶm,lay,139:215:246:283:457:474:479:540:542:811:1377,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,87:105:231:458:462:537:764
97,계산하다,ko,verb,/kje̞sʰa̠nɦa̠da̠/,øɶɶɶ,Calculate,117:214:326:378:799:824:835:916:988:1096:1211:1342:1355:1428:1537,697:721:727:730:745:769:807:843:846:859:864:878:897:905:934:1011:1017:1025:1072:1088:1091:1100:1101:1136:1189:1190:1280:1292:1317:1334:1456:1565:1568,30:51:77:135:219:233:265:361:423:636:1018:1079:1623
98,mengakui,id,verb,/məŋakui/,əɶuy,admit,22:100:306:377:710:886:887:1098:1194:1217:1282,629:635:696:737:823:825:827:838:868:1071:1075:1083:1137:1152:1196:1223:1224:1249:1262:1263:1272:1297:1552:1613:1617:1649:1654:1658,95:286:942:1381:1602
99,인식하다,ko,verb,/inɕʰikʰa̠da̠/,ymyɶɶ,Cognize,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,78:80:81:415:445:802:991:1134:1212:1445:1473:1545
100,saluti,eo,verb,/saluti/,ɶuy,salute,98:111:290:311:377:572:710:886:1098:1194:1282,615:629:635:696:737:823:825:827:838:868:1071:1075:1083:1126:1137:1152:1196:1223:1224:1249:1262:1263:1272:1297:1613:1617:1649:1654,95:286:942:1381:1499:1602
